r,q,episode,shock,n_obs,rel_var,offdiag_share
5,4,e2013_16,1,42,1.199570629329769,0.1713944620534055
5,4,e2013_16,2,42,1.2022312646839364,0.1713944620534055
5,4,e2013_16,3,42,0.8686074896895969,0.1713944620534055
5,4,e2013_16,4,42,1.0326979383357795,0.1713944620534055
5,4,e2017_19,1,36,0.7746376972512986,0.19667752547313014
5,4,e2017_19,2,36,0.7326796299862259,0.19667752547313014
5,4,e2017_19,3,36,1.1814746832991778,0.19667752547313014
5,4,e2017_19,4,36,0.9163374801136016,0.19667752547313014
5,4,e2020_21,1,24,8.038203890225947,0.11995811474178318
5,4,e2020_21,2,24,2.5467448101251478,0.11995811474178318
5,4,e2020_21,3,24,1.924862246060665,0.11995811474178318
5,4,e2020_21,4,24,1.6265970647941272,0.11995811474178318
5,4,e2022_25,1,45,1.4746134360518384,0.16819172626033843
5,4,e2022_25,2,45,1.8387817561598105,0.16819172626033843
5,4,e2022_25,3,45,1.0281096944371646,0.16819172626033843
5,4,e2022_25,4,45,0.757861847669916,0.16819172626033843
6,5,e2013_16,1,42,1.3083028782060422,0.20515590060469185
6,5,e2013_16,2,42,0.9941760265803062,0.20515590060469185
6,5,e2013_16,3,42,0.9906414252701539,0.20515590060469185
6,5,e2013_16,4,42,1.1078200731822279,0.20515590060469185
6,5,e2013_16,5,42,0.8195137124594457,0.20515590060469185
6,5,e2017_19,1,36,0.5928457463586878,0.23659637518084253
6,5,e2017_19,2,36,0.992051538614512,0.23659637518084253
6,5,e2017_19,3,36,1.0355589979311377,0.23659637518084253
6,5,e2017_19,4,36,0.8716590114526095,0.23659637518084253
6,5,e2017_19,5,36,1.2261630643350139,0.23659637518084253
6,5,e2020_21,1,24,4.922621186980989,0.15652539303322582
6,5,e2020_21,2,24,4.865085680209829,0.15652539303322582
6,5,e2020_21,3,24,2.0972111537050777,0.15652539303322582
6,5,e2020_21,4,24,1.4003071335289887,0.15652539303322582
6,5,e2020_21,5,24,0.6470512997211443,0.15652539303322582
6,5,e2022_25,1,45,1.9211332074269167,0.1887908003495189
6,5,e2022_25,2,45,1.0374936620122148,0.1887908003495189
6,5,e2022_25,3,45,1.444152115407751,0.1887908003495189
6,5,e2022_25,4,45,0.9971673736879774,0.1887908003495189
6,5,e2022_25,5,45,0.4222414990974357,0.1887908003495189
7,6,e2013_16,1,42,1.0195917754210788,0.1914062390524383
7,6,e2013_16,2,42,1.3100292247770777,0.1914062390524383
7,6,e2013_16,3,42,0.9175655043433423,0.1914062390524383
7,6,e2013_16,4,42,0.9835736728922195,0.1914062390524383
7,6,e2013_16,5,42,1.0405056521024307,0.1914062390524383
7,6,e2013_16,6,42,0.7985341362743895,0.1914062390524383
7,6,e2017_19,1,36,0.9599368392289718,0.21903470379233014
7,6,e2017_19,2,36,0.6283497769321734,0.21903470379233014
7,6,e2017_19,3,36,1.1214245331481612,0.21903470379233014
7,6,e2017_19,4,36,1.0406009003255843,0.21903470379233014
7,6,e2017_19,5,36,0.9404574032673304,0.21903470379233014
7,6,e2017_19,6,36,1.2510638346005036,0.21903470379233014
7,6,e2020_21,1,24,5.515768897995772,0.2530143264437475
7,6,e2020_21,2,24,2.9618605068490993,0.2530143264437475
7,6,e2020_21,3,24,2.0392941986961755,0.2530143264437475
7,6,e2020_21,4,24,1.8823145801452352,0.2530143264437475
7,6,e2020_21,5,24,1.1788910827524375,0.2530143264437475
7,6,e2020_21,6,24,0.48804298472038954,0.2530143264437475
7,6,e2022_25,1,45,2.7608553394884554,0.2317887193273591
7,6,e2022_25,2,45,1.9508694060496143,0.2317887193273591
7,6,e2022_25,3,45,1.3180269770475197,0.2317887193273591
7,6,e2022_25,4,45,1.293055309271222,0.2317887193273591
7,6,e2022_25,5,45,0.9914739330058701,0.2317887193273591
7,6,e2022_25,6,45,0.3292620544840735,0.2317887193273591
8,8,e2013_16,1,42,0.9580976117249901,0.20115483083708935
8,8,e2013_16,2,42,1.1152649926499942,0.20115483083708935
8,8,e2013_16,3,42,1.2680968744310503,0.20115483083708935
8,8,e2013_16,4,42,0.9956887002508379,0.20115483083708935
8,8,e2013_16,5,42,1.1527200849730528,0.20115483083708935
8,8,e2013_16,6,42,0.7948127777822109,0.20115483083708935
8,8,e2013_16,7,42,1.019741934100962,0.20115483083708935
8,8,e2013_16,8,42,0.8462052705648385,0.20115483083708935
8,8,e2017_19,1,36,1.0633421910420409,0.22525678151901807
8,8,e2017_19,2,36,0.8924555934761531,0.22525678151901807
8,8,e2017_19,3,36,0.6356003034080504,0.22525678151901807
8,8,e2017_19,4,36,1.0335517390214866,0.22525678151901807
8,8,e2017_19,5,36,0.8496627653992928,0.22525678151901807
8,8,e2017_19,6,36,1.249429565854188,0.22525678151901807
8,8,e2017_19,7,36,0.9736431491720964,0.22525678151901807
8,8,e2017_19,8,36,1.1994321329513842,0.22525678151901807
8,8,e2020_21,1,24,4.282864215314302,0.31075986672811884
8,8,e2020_21,2,24,2.7867035620991523,0.31075986672811884
8,8,e2020_21,3,24,3.19340660420513,0.31075986672811884
8,8,e2020_21,4,24,2.0427345988907595,0.31075986672811884
8,8,e2020_21,5,24,1.3201340442629244,0.31075986672811884
8,8,e2020_21,6,24,0.73484891629706794,0.31075986672811884
8,8,e2020_21,7,24,0.762750302978488,0.31075986672811884
8,8,e2020_21,8,24,0.3497835783818475,0.31075986672811884
8,8,e2022_25,1,45,2.9426066740969667,0.23237241047342824
8,8,e2022_25,2,45,2.5221345547532623,0.23237241047342824
8,8,e2022_25,3,45,2.038536429116797,0.23237241047342824
8,8,e2022_25,4,45,1.541293646495197,0.23237241047342824
8,8,e2022_25,5,45,1.050040414630557,0.23237241047342824
8,8,e2022_25,6,45,1.1879040499341322,0.23237241047342824
8,8,e2022_25,7,45,0.9154614208795006,0.23237241047342824
8,8,e2022_25,8,45,0.2704932305539464,0.23237241047342824
