r,q,pair,lr,p_boot
5,4,e2013_16 vs e2017_19,21.78407005345913,0.07973421926910298
5,4,e2013_16 vs e2020_21,17.02540130781099,0.5348837209302325
5,4,e2013_16 vs e2022_25,9.354282090206864,0.5780730897009967
5,4,e2017_19 vs e2020_21,22.205356704145476,0.3554817275747508
5,4,e2017_19 vs e2022_25,16.770130619121755,0.2691029900332226
5,4,e2020_21 vs e2022_25,19.46899856066605,0.5083056478405316
6,5,e2013_16 vs e2017_19,29.24402532074047,0.07973421926910298
6,5,e2013_16 vs e2020_21,23.976934852664048,0.5149501661129569
6,5,e2013_16 vs e2022_25,17.220443970732536,0.3654485049833887
6,5,e2017_19 vs e2020_21,34.95150480686271,0.22591362126245848
6,5,e2017_19 vs e2022_25,36.202412618826244,0.05647840531561462
6,5,e2020_21 vs e2022_25,20.413366239638467,0.6677740863787376
7,6,e2013_16 vs e2017_19,26.536017904500664,0.4053156146179402
7,6,e2013_16 vs e2020_21,28.980574727241994,0.5348837209302325
7,6,e2013_16 vs e2022_25,30.98802699101695,0.19269102990033224
7,6,e2017_19 vs e2020_21,40.93096472202252,0.29900332225913623
7,6,e2017_19 vs e2022_25,42.93398060246283,0.11960132890365449
7,6,e2020_21 vs e2022_25,27.7879573423202,0.6777408637873754
8,8,e2013_16 vs e2017_19,35.44561622692075,0.7873754152823921
8,8,e2013_16 vs e2020_21,50.962026052895375,0.5481727574750831
8,8,e2013_16 vs e2022_25,43.24932463783848,0.45514950166112955
8,8,e2017_19 vs e2020_21,58.63485489053068,0.46511627906976744
8,8,e2017_19 vs e2022_25,56.76559370371785,0.3920265780730897
8,8,e2020_21 vs e2022_25,46.02393415167951,0.7774086378737541
