r,q,p,n_pre,n_post,prop_lr,prop_p_boot,p_rot,min_rel_gap,gap_ci_lo,gap_ci_hi,lambda_max,lambda_min,candidate_shock,cand_lambda,cand_impact_y6m,cor_copom_cand,s4_pairs_rejecting,offdiag_share_max
5,4,6,78,69,16.786642142961146,0.43756243756243757,0.8832116788321168,0.17546862272185515,0.051642210274866554,0.460321767559791,3.6836468659481785,1.0889744247403488,3,1.3207192045682423,0.0016213847223224298,0.2279154768370005,0,0.19667752547313014
6,5,6,78,69,30.39675242911921,0.23876123876123875,0.7664233576642335,0.19010021302079907,0.046704353244882174,0.3887648549716195,2.9224851076889697,0.49979187030095196,4,1.1292201735989424,0.0017373592559940959,0.33577601321610084,0,0.23659637518084253
7,6,6,78,69,46.54170947439922,0.06493506493506493,0.19708029197080293,0.04304874417339762,0.0431983258432921,0.3208541103697423,3.719691347339701,0.3861444833374353,5,1.0474878756052033,0.0017415506064640315,0.2392635755091764,0,0.2530143264437475
8,8,6,78,69,64.49870510560568,0.14285714285714285,0.24817518248175183,0.06563642699470942,0.025676187195083508,0.24636910353809907,3.4094194815353145,0.29975302527798364,7,0.85065355899919,0.0011605157310590408,0.19750643303075444,0,0.31075986672811884
