sample,r,q,p,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,rank1_share,ratio_dir,ratio_dir_lo,ratio_dir_hi,p_perm,prop_p_boot,rank1_p_boot,share_lo,share_hi,crossp_n_rej,a2_n_violated,a3_cos,a3_norm_ratio,k_flag,p_perm_purged,ratio_purged,spanning_r2,iv_cos,impact_mp
full,5,4,6,98,49,0.7189346154843508,0.299659174944353,1.6791761856132685,0.311888313090157,2.3673612742829424,1.4699415639816382,5.134895262120635,0.4205794205794206,0.09580838323353294,0.43912175648702595,0.10398332965938295,0.61524093708872,0,0,0.7764808353192215,1.5114484614483128,0,0.7782217782217782,1.8126393609909288,0.6983861366595164,0.8693462303176289,8.895387656877447e-4
full,5,4,3,100,50,0.6805133009688054,0.2925910866466341,1.577646172668811,0.2810907745508805,2.234084613236155,1.4198951351066869,5.267642570580336,0.6313686313686314,0.11177644710578842,0.4491017964071856,0.07736518376426132,0.5999696208916305,0,0,0.5852385723493204,1.2389290495856502,0,0.6723276723276723,2.043397390836189,0.6983861366595164,0.9055683882829408,7.220977045213654e-4
full,6,5,6,98,49,0.7820450313788031,0.5229829954837816,1.8090293150462757,0.29582229665614374,2.616719336231116,1.9138043654600039,5.405076191503802,0.37962037962037964,0.15169660678642716,0.4491017964071856,0.14770177620537578,0.5194884909038973,0,0,0.21989250450126366,1.1221931721378853,0,0.48151848151848153,2.2781615091852565,0.8322458270977968,0.7142918144656167,0.0010583150107623016
full,6,5,3,100,50,0.6233158804376242,0.44056215523228304,1.720084756337596,0.2646913966549264,2.057967094836099,1.674970530842341,4.968916989383158,0.8611388611388612,0.43313373253493015,0.7684630738522954,0.10964518899583142,0.5222475771855901,0,0,0.16034694196965255,1.217957895457543,0,0.8361638361638362,1.9425161517589555,0.8322458270977968,0.6852782098023985,8.033034370699221e-4
full,7,6,6,98,49,0.8585882337072868,0.5926998077767538,1.9221568459813025,0.298588359808089,2.9865689934806627,2.1269808428838735,6.118441315901668,0.2677322677322677,0.2275449101796407,0.44510978043912175,0.15273719003857722,0.43395465064201355,0,0,0.4303129718277468,1.111420372930293,0,0.4255744255744256,2.43029730479044,0.8696542715280617,0.6618621624811429,9.335629609139494e-4
full,7,6,3,100,50,0.7663501522771087,0.5562212883630199,2.080133669789281,0.2524689247553067,2.5509538034939254,1.968815927751131,6.221128810743072,0.6513486513486514,0.3852295409181637,0.6007984031936128,0.12909337343078897,0.459430684213948,0,0,0.14449798751757473,1.1863159433389772,0,0.6033966033966034,2.1599942278748405,0.8696542715280617,0.3450757714622078,5.364966150426487e-4
full,8,8,6,98,49,4.04420241588765,2.067004715876011,10.295180558453747,0.32031107005189363,2.0067649436833066,1.6703657482203738,4.541891587131543,0.25674325674325676,0.6187624750499002,0.7005988023952096,0.14172517229975246,0.4928346808338323,0,0,0.7439153250818651,1.4269147955809158,0,0.6603396603396603,1.6387586066357527,0.8426371911974556,0.612755731538107,0.0010188793949372412
full,8,8,3,100,50,4.756417245522636,2.388112942324972,12.241894588841866,0.2874316259923611,1.9233901098746278,1.708256113001161,4.2884472416533805,0.47052947052947053,0.4351297405189621,0.34331337325349304,0.10722670187546912,0.5080147173434384,0,0,0.5512361327392421,1.1609156408390904,0,0.6973026973026973,1.7212562756211618,0.8426371911974556,0.4134420942948279,6.534508401834271e-4
pre_covid,5,4,6,52,26,0.7780850806374526,0.5910810838087642,1.6016574418337948,0.5062378188640612,2.6068292498028445,1.9977004502834335,6.842393954351337,0.32967032967032966,0.6047904191616766,0.8363273453093812,0.2832659182718847,0.630142658482064,0,0,NA,NA,0,0.7602397602397603,1.7267050536293695,0.9662336688471483,0.9841465954995183,0.0010750129146150536
pre_covid,5,4,3,54,27,0.7700731454604249,0.6059476019789933,1.8188497676851925,0.40091254930179815,2.5526217561501423,2.0483795908525115,6.999988515218257,0.3696303696303696,0.7624750499001997,0.562874251497006,0.3300617228667112,0.6630740909708901,0,0,NA,NA,0,0.16483516483516483,2.8550737993413766,0.9662336688471483,0.9078840645873166,0.0012361311016082926
pre_covid,6,5,6,52,26,0.8847866852720904,0.7395273024454979,1.8232944337556665,0.3812362444982813,3.191598903436363,2.4211428473991643,9.093606635601555,0.3696303696303696,0.6586826347305389,0.9121756487025948,0.24410175933240813,0.5466770348953827,0,0,NA,NA,0,0.31868131868131866,2.824806960149629,0.9729490136695926,0.9126470145466085,8.655791391632703e-4
pre_covid,6,5,3,54,27,0.8868095692542035,0.6853862242307492,2.143880357912062,0.48231864760460325,3.129251384504929,2.2800232570159595,8.390516732241613,0.37362637362637363,0.8642714570858283,0.9900199600798403,0.27292297493478385,0.5824725200691951,0,0,NA,NA,0,0.4975024975024975,2.418462883976516,0.9729490136695926,0.9383243720044879,0.00110739402555995
pre_covid,7,6,6,52,26,0.8320912062545912,0.784132062414082,1.8366554456699005,0.28076448214754995,2.8412934220056543,2.43980772138889,8.947715689750064,0.6613386613386614,0.8383233532934131,0.7624750499001997,0.19381384462186857,0.4206079912612345,0,0,NA,NA,0,0.5384615384615384,2.725033445139997,0.9725179840743076,0.29706355701524106,1.793929831061025e-4
pre_covid,7,6,3,54,27,0.9735092077353034,0.8158787086376067,2.1629207085093114,0.41701520618037347,3.7946344235719254,2.7059295701230592,9.735467090035218,0.26573426573426573,0.6966067864271457,0.9840319361277445,0.2412544816031734,0.4808755331721053,0,0,NA,NA,0,0.14585414585414586,3.771546665936575,0.9725179840743076,0.8647004707028263,9.53241600103999e-4
pre_covid,8,8,6,52,26,2.777091607671693,1.8144798468332917,5.002614162733456,0.37849464517644826,2.7428999625942794,2.332620750770262,6.087925567622555,0.03696303696303696,0.18962075848303392,0.23552894211576847,0.2422144469919924,0.5277789397676977,0,0,NA,NA,0,0.060939060939060936,2.8133073045982666,0.9725171677181812,0.7111250795738076,3.647017461584286e-4
pre_covid,8,8,3,54,27,4.799085236810035,3.10770184303497,9.382288568703224,0.41512160121714886,2.6996151910816675,2.3122278338134286,6.657047014493051,0.1008991008991009,0.7365269461077845,0.9301397205588823,0.23497215644680558,0.5037650886127677,0,0,NA,NA,0,0.13086913086913088,2.493268927169829,0.9725171677181812,0.8875085100324643,8.062792345008853e-4
