r,q,shock,lambda_covid,yield_6m,yield_2y,yield_5y,cambio_usd,asset_ibov,price_ipca,is_candidate
5,4,1,3.6836468659481785,8.379987356756411e-5,-2.5773452783646775e-4,-3.7695828889044416e-4,-0.014743654476655653,0.014634608133744351,0.08483416575172543,FALSE
5,4,2,2.057283723430232,7.866449030564889e-4,4.6348162473192506e-4,-1.002895100957768e-4,0.01934407541337739,0.02948581600883156,-0.10913150759821341,FALSE
5,4,3,1.3207192045682423,0.0016213847223224298,0.0026500178235816796,0.0026690330113428137,0.022196728447158236,-0.03462722592963894,0.10978531857511556,TRUE
5,4,4,1.0889744247403488,7.69514877771004e-4,0.0022504209973189773,0.0030860620781597574,0.08733960698635121,-0.022043089104999143,-0.06789519813262941,FALSE
6,5,1,2.9224851076889697,9.930859189448353e-4,0.0012621870696897647,7.918800974385344e-4,0.02031062021020482,0.013376009927752017,-0.024890551979906132,FALSE
6,5,2,2.3669200661671836,7.052657808515764e-4,2.9559207639343825e-4,-2.549578752307397e-4,-0.02175651481426457,0.02472614497049433,0.11754220086235787,FALSE
6,5,3,1.6609124985240151,4.3465749185052566e-4,8.047757509140781e-4,7.46399730803076e-4,-0.02713052390510059,-0.02417593710962365,0.17489992528557075,FALSE
6,5,4,1.1292201735989424,0.0017373592559940959,0.003489966629954063,0.004015818171945055,0.07767556170921355,-0.0355397693340162,0.03767249587559378,TRUE
6,5,5,0.49979187030095196,3.0707159833842293e-4,9.252708336826482e-4,0.0012931016868508668,0.0262254815180489,0.0013294416598300532,0.05065553467952356,FALSE
7,6,1,3.719691347339701,7.785517446572408e-4,0.0010046472554925598,5.688414586507814e-4,-0.028760207662182496,0.0099210264004092,0.0592219153320718,FALSE
7,6,2,2.2670934497927435,0.0010196054106940808,0.0012313896259946893,6.872675319254651e-4,0.017466884120393704,0.020071881169360123,-0.08651697331017337,FALSE
7,6,3,1.5528315767280336,7.499946808600309e-4,0.0011293221703062547,9.647341596463084e-4,-0.0222615425455558,-0.02319949431534134,0.12418229654339173,FALSE
7,6,4,1.4859841274370948,4.742860057922007e-4,0.001528700986606848,0.0020114377432861,0.02731066457530825,-0.030743701086711206,-0.11069482196688553,FALSE
7,6,5,1.0474878756052033,0.0017415506064640315,0.003385105352446116,0.0037448184354348774,0.07491245789922153,-0.02372933915449638,0.08178453288298304,TRUE
7,6,6,0.3861444833374353,4.7798254638365425e-05,2.963566551418946e-4,6.494149275438349e-4,0.01875455427421722,0.003511328138312029,0.054901591756202205,FALSE
8,8,1,3.4094194815353145,9.596189604597804e-4,0.001184047210634637,7.356834345881506e-4,-0.0282135451037615,0.007220696300099269,0.05427870929427007,FALSE
8,8,2,2.575630111827209,7.394627266241132e-4,5.804490644799956e-4,4.675239421767961e-4,6.109208410588119e-4,-0.00931069238459248,0.048016740583263336,FALSE
8,8,3,2.4065749540268873,9.877202278276045e-4,0.0010058079069124592,3.8824867964196066e-4,0.00884757190688526,0.023067633179306466,-0.06678036043657427,FALSE
8,8,4,1.6885400666623134,3.2011381393790136e-4,7.90234754975516e-4,8.115932414197247e-4,-0.020474186329079276,-0.02553213222875853,0.05469051721986806,FALSE
8,8,5,1.1339704064055325,6.067902113339787e-4,0.0013589183086409886,0.0017456142212318162,0.03484463422155224,-0.022126773485338445,-0.15552807835555366,FALSE
8,8,6,1.0250334872220288,9.320870630413892e-4,0.0017442008077383445,0.0019779548113487613,0.04188072246280798,-0.010079138263232175,0.038301612563206494,FALSE
8,8,7,0.85065355899919,0.0011605157310590408,0.002948553988469513,0.00333883257938903,0.06458998608518304,-0.02249664501372203,0.08737029400800747,TRUE
8,8,8,0.29975302527798364,2.0940636030185268e-4,2.2280542977110333e-5,2.4636513014475583e-4,0.005013749376872003,0.0048498631844831035,0.038759202831193745,FALSE
