sample,variable,adf_statistic,adf_p_value,adf_reject_5pct,pp_statistic,pp_p_value,pp_reject_5pct
full,cambio_eur,-4.168002605879471,0.01,TRUE,-109.02290476938074,0.01,TRUE
full,cambio_cny,-3.889536617168949,0.01652951970797705,TRUE,-103.63586799344223,0.01,TRUE
full,cambio_ars,-4.256009400643142,0.01,TRUE,-69.4798557939739,0.01,TRUE
full,cambio_inr,-3.956026558814747,0.013276587142135657,TRUE,-107.04943642751167,0.01,TRUE
full,cambio_usd,-4.218262071650598,0.01,TRUE,-102.60057473133779,0.01,TRUE
full,juros_selic,-2.950359721776006,0.18035848660235193,FALSE,-27.839799329268732,0.01,TRUE
full,juros_cdi,-2.9692019428006855,0.17250674328547322,FALSE,-27.8622180925195,0.01,TRUE
full,yield_3m,-2.6408152964755582,0.3093487669650762,FALSE,-35.928722464567585,0.01,TRUE
full,yield_6m,-2.6731586557469975,0.29587096333076457,FALSE,-69.49067915299025,0.01,TRUE
full,yield_1y,-3.0427621764947674,0.14185345286185327,FALSE,-120.41114227395504,0.01,TRUE
full,yield_2y,-3.885650174056959,0.016719658803475576,TRUE,-135.38551477913393,0.01,TRUE
full,yield_5y,-4.466167472448946,0.01,TRUE,-130.36589347087573,0.01,TRUE
full,yield_10y,-4.612293770686377,0.01,TRUE,-121.836877622387,0.01,TRUE
full,base_monetary_base,-4.116023143544139,0.01,TRUE,-222.00366611294874,0.01,TRUE
full,base_money_supply,-3.8511079716163032,0.01840959042973076,TRUE,-103.64368790347285,0.01,TRUE
full,base_demand_deposit,-2.769991483598624,0.25551974847437275,FALSE,-102.04827081731942,0.01,TRUE
full,base_savings_deposit,-2.8287293147401606,0.23104310251477828,FALSE,-28.724244594787496,0.01,TRUE
full,base_m1,-3.0196187492331177,0.15149755214788296,FALSE,-69.80816728213998,0.01,TRUE
full,base_m2,-3.3598589207278873,0.06389017987868545,FALSE,-78.76347969265726,0.01,TRUE
full,base_m3,-4.149372514910823,0.01,TRUE,-145.3010801435249,0.01,TRUE
full,credito_agro,-4.446261997733891,0.01,TRUE,-139.35841428424717,0.01,TRUE
full,credito_industria_total,-2.5283214328480894,0.35622609319800413,FALSE,-70.22669901474835,0.01,TRUE
full,credito_construcao,-2.127455792154397,0.5232708439819159,FALSE,-23.43987029110783,0.02863990657759577,TRUE
full,credito_comercio,-1.9418107820715889,0.6006309898649489,FALSE,-146.20214934829883,0.01,TRUE
full,credito_transporte,-3.0130551232906937,0.15423268119983585,FALSE,-154.02874023028002,0.01,TRUE
full,credito_pessoa_fisica,-2.463465261536916,0.3832523131422373,FALSE,-22.423990084561858,0.03719684901817842,TRUE
full,spread_icc_juridica,-3.1558773659794364,0.09788710567009391,FALSE,-69.3433512800129,0.01,TRUE
full,spread_icc_fisica,-2.86154786615844,0.2173672815258089,FALSE,-73.77909982422177,0.01,TRUE
full,credit_outstanding,-1.6619208680565871,0.7172639366364884,FALSE,-77.33232699567591,0.01,TRUE
full,fin_inst_reserve_req,-4.847574491140272,0.01,TRUE,-146.3584903278395,0.01,TRUE
full,consumo_gasolina,-5.8705561211382165,0.01,TRUE,-178.69230111573006,0.01,TRUE
full,consumo_glp,-7.687705215314806,0.01,TRUE,-207.30405914201447,0.01,TRUE
full,consumo_oleo_combustivel,-6.849224305123547,0.01,TRUE,-123.80114214168646,0.01,TRUE
full,consumo_oleo_diesel,-6.247627098371074,0.01,TRUE,-194.3766967232329,0.01,TRUE
full,consumo_demais_derivados,-5.931552484197216,0.01,TRUE,-101.75374756241641,0.01,TRUE
full,consumo_alcool,-6.256157948038562,0.01,TRUE,-133.36479104530918,0.01,TRUE
