r,q,sign_agreement_h0_12,correlation_h0_12,normalized_rmse_h0_12
2,2,1,0.9926689339904868,0.25979796058983795
5,3,0.6923076923076923,0.689043979928181,1.9298419777818456
5,4,0.4,-0.7692980102802478,2.763151505159875
7,6,0.6461538461538462,-0.19554892881220842,1.2466496041073771
7,7,0.6307692307692307,-0.30300279435813016,1.2979021263615182
