variant,sample,q,aw_ic2
drop_fiscal__credito__imoveis,full,2,-0.47172423613807823
drop_fiscal__credito__imoveis,full,3,-0.4690941320974308
drop_fiscal__credito__imoveis,full,4,-0.4662518011423892
drop_fiscal__credito__imoveis,pre_covid,1,-0.320589900023064
drop_fiscal__credito__imoveis,pre_covid,2,-0.32959012790262365
drop_fiscal__eua,full,1,-0.4186139659950257
drop_fiscal__eua,full,2,-0.47984003213839266
drop_fiscal__eua,full,3,-0.4789677364338993
drop_fiscal__eua,full,4,-0.47357247290714405
drop_fiscal__eua,pre_covid,1,-0.33230626654646406
drop_fiscal__eua,pre_covid,2,-0.34486991566389935
drop_fiscal__eua__credito,full,1,-0.41770916774310873
drop_fiscal__eua__credito,full,2,-0.4791790425802023
drop_fiscal__eua__credito,full,3,-0.4793583127886566
drop_fiscal__eua__credito,full,4,-0.47490248616851344
drop_fiscal__eua__credito,pre_covid,1,-0.3311685521815993
drop_fiscal__eua__credito,pre_covid,2,-0.34357377701840885
drop_fiscal__eua__credito__imoveis,full,1,-0.4187027199092996
drop_fiscal__eua__credito__imoveis,full,2,-0.4802124534940019
drop_fiscal__eua__credito__imoveis,full,3,-0.480167430659749
drop_fiscal__eua__credito__imoveis,full,4,-0.47616292134856875
drop_fiscal__eua__credito__imoveis,pre_covid,1,-0.32800739682107316
drop_fiscal__eua__credito__imoveis,pre_covid,2,-0.34093803204412576
drop_fiscal__eua__imoveis,full,1,-0.4196383701066884
drop_fiscal__eua__imoveis,full,2,-0.4810162996432027
drop_fiscal__eua__imoveis,full,3,-0.480050570671987
drop_fiscal__eua__imoveis,full,4,-0.47508503417800135
drop_fiscal__eua__imoveis,pre_covid,1,-0.3289756652328928
drop_fiscal__eua__imoveis,pre_covid,2,-0.3421393661861945
drop_fiscal__expectativas,full,1,-0.3479525654372164
drop_fiscal__expectativas,full,2,-0.41067685467644927
drop_fiscal__expectativas,full,3,-0.40966507473147373
drop_fiscal__expectativas,pre_covid,1,-0.3271838792511047
drop_fiscal__expectativas,pre_covid,2,-0.3379824131680446
drop_fiscal__expectativas__credito,full,1,-0.3460274223617692
drop_fiscal__expectativas__credito,full,2,-0.4092132954900064
drop_fiscal__expectativas__credito,full,3,-0.4090832585893197
drop_fiscal__expectativas__credito,pre_covid,1,-0.32577224087350765
