variant,sample,component,eigenvalue
drop_fiscal__eua,full,3,4.346561491153616
drop_fiscal__eua,full,4,3.7987400020832367
drop_fiscal__eua,pre_covid,1,11.202501031536682
drop_fiscal__eua,pre_covid,2,7.700900644129754
drop_fiscal__eua__credito,full,1,10.055720020470908
drop_fiscal__eua__credito,full,2,8.827209066895648
drop_fiscal__eua__credito,full,3,4.3549147198319265
drop_fiscal__eua__credito,full,4,3.799503914715792
drop_fiscal__eua__credito,pre_covid,1,11.205210439558549
drop_fiscal__eua__credito,pre_covid,2,7.604794255617188
drop_fiscal__eua__credito__imoveis,full,1,10.080706879778738
drop_fiscal__eua__credito__imoveis,full,2,8.75478716040373
drop_fiscal__eua__credito__imoveis,full,3,4.310407611959209
drop_fiscal__eua__credito__imoveis,full,4,3.795819162867312
drop_fiscal__eua__credito__imoveis,pre_covid,1,11.208877975621832
drop_fiscal__eua__credito__imoveis,pre_covid,2,7.6167301639439415
drop_fiscal__eua__imoveis,full,1,10.262472136391688
drop_fiscal__eua__imoveis,full,2,8.870542555276062
drop_fiscal__eua__imoveis,full,3,4.309272917134902
drop_fiscal__eua__imoveis,full,4,3.793887588206446
drop_fiscal__eua__imoveis,pre_covid,1,11.205964285877506
drop_fiscal__eua__imoveis,pre_covid,2,7.7201414283327
drop_fiscal__expectativas,full,1,11.137521900765933
drop_fiscal__expectativas,full,2,9.761456261585753
drop_fiscal__expectativas,full,3,4.677949377173119
drop_fiscal__expectativas,pre_covid,1,11.469309082051465
drop_fiscal__expectativas,pre_covid,2,7.665198553384594
drop_fiscal__expectativas__credito,full,1,10.781773074524187
drop_fiscal__expectativas__credito,full,2,9.66712825429774
drop_fiscal__expectativas__credito,full,3,4.68112860133541
drop_fiscal__expectativas__credito,pre_covid,1,11.469197515986146
drop_fiscal__expectativas__credito,pre_covid,2,7.581089564633057
drop_fiscal__expectativas__credito__imoveis,full,1,10.29164780813033
drop_fiscal__expectativas__credito__imoveis,full,2,8.589192841311283
drop_fiscal__expectativas__credito__imoveis,full,3,4.3495371594973875
drop_fiscal__expectativas__credito__imoveis,full,4,3.80240088982812
drop_fiscal__expectativas__credito__imoveis,pre_covid,1,11.473117169973293
drop_fiscal__expectativas__credito__imoveis,pre_covid,2,7.595913015915466
drop_fiscal__expectativas__eua,full,1,11.293057660357006
drop_fiscal__expectativas__eua,full,2,9.335851668427445
drop_fiscal__expectativas__eua,full,3,4.59764662174923
drop_fiscal__expectativas__eua,pre_covid,1,10.935869097750535
drop_fiscal__expectativas__eua,pre_covid,2,7.647512246817173
drop_fiscal__expectativas__eua__credito,full,1,10.872146971750034
drop_fiscal__expectativas__eua__credito,full,2,9.274039650482088
drop_fiscal__expectativas__eua__credito,full,3,4.605602913254396
drop_fiscal__expectativas__eua__credito,pre_covid,1,10.937249829158713
drop_fiscal__expectativas__eua__credito,pre_covid,2,7.559509833323597
drop_fiscal__expectativas__eua__credito__imoveis,full,1,10.880147420878354
drop_fiscal__expectativas__eua__credito__imoveis,full,2,9.274991440851581
drop_fiscal__expectativas__eua__credito__imoveis,full,3,4.60585244695272
drop_fiscal__expectativas__eua__credito__imoveis,pre_covid,1,10.941246959293201
drop_fiscal__expectativas__eua__credito__imoveis,pre_covid,2,7.573887560349258
drop_fiscal__expectativas__eua__imoveis,full,1,11.28814723332108
drop_fiscal__expectativas__eua__imoveis,full,2,9.336559063725725
drop_fiscal__expectativas__eua__imoveis,full,3,4.598132599993763
drop_fiscal__expectativas__eua__imoveis,pre_covid,1,10.939550981952253
drop_fiscal__expectativas__eua__imoveis,pre_covid,2,7.669207243195457
drop_fiscal__expectativas__imoveis,full,1,10.446587532615352
drop_fiscal__expectativas__imoveis,full,2,8.745250211704734
drop_fiscal__expectativas__imoveis,full,3,4.33785183949953
drop_fiscal__expectativas__imoveis,full,4,3.811550441775834
drop_fiscal__expectativas__imoveis,pre_covid,1,11.47283471964408
drop_fiscal__expectativas__imoveis,pre_covid,2,7.68722234320667
drop_fiscal__imoveis,full,1,10.483645874384994
drop_fiscal__imoveis,full,2,8.89251430819306
drop_fiscal__imoveis,full,3,4.323225700737926
