sample,r,q,variable,h,reproduced,cached,absolute_difference,tolerance,passed
full,7,6,asset_ibov,0,-2.4071247096898034,-2.4071247096898034,0,2.5071247096898036e-9,TRUE
full,7,6,asset_ibov,1,-4.459079102646283,-4.459079102646283,0,4.559079102646283e-9,TRUE
full,7,6,asset_ibov,2,-1.6825737451032214,-1.6825737451032214,0,1.7825737451032216e-9,TRUE
full,7,6,asset_ibov,3,-0.16115615458436386,-0.16115615458436386,0,2.6115615458436386e-10,TRUE
full,7,6,asset_ibov,4,1.3680612905020462,1.3680612905020462,0,1.4680612905020463e-9,TRUE
full,7,6,asset_ibov,5,3.2651147689969484,3.2651147689969484,0,3.3651147689969485e-9,TRUE
full,7,6,asset_ibov,6,5.135314130467742,5.135314130467742,0,5.235314130467742e-9,TRUE
full,7,6,asset_ibov,7,6.607607224981379,6.607607224981379,0,6.70760722498138e-9,TRUE
full,7,6,asset_ibov,8,9.523960258280859,9.523960258280859,0,9.62396025828086e-9,TRUE
full,7,6,asset_ibov,9,11.962902547592966,11.962902547592966,0,1.2062902547592965e-8,TRUE
full,7,6,asset_ibov,10,13.928524409154475,13.928524409154475,0,1.4028524409154476e-8,TRUE
full,7,6,asset_ibov,11,16.598412892718148,16.598412892718148,0,1.669841289271815e-8,TRUE
full,7,6,asset_ibov,12,19.15753289137166,19.15753289137166,0,1.925753289137166e-8,TRUE
full,7,6,asset_ibov,13,21.147762916299083,21.147762916299083,0,2.1247762916299086e-8,TRUE
full,7,6,asset_ibov,14,23.376589137949207,23.376589137949207,0,2.347658913794921e-8,TRUE
full,7,6,asset_ibov,15,25.10607602049273,25.10607602049273,0,2.5206076020492733e-8,TRUE
full,7,6,asset_ibov,16,26.33363417805054,26.33363417805054,0,2.6433634178050544e-8,TRUE
full,7,6,asset_ibov,17,27.67275116479444,27.67275116479444,0,2.7772751164794442e-8,TRUE
full,7,6,asset_ibov,18,28.82231806476092,28.82231806476092,0,2.8922318064760924e-8,TRUE
full,7,6,asset_ibov,19,29.669350815460504,29.669350815460504,0,2.9769350815460508e-8,TRUE
full,7,6,asset_ibov,20,30.54677735233282,30.54677735233282,0,3.0646777352332825e-8,TRUE
full,7,6,asset_ibov,21,31.118780495856953,31.118780495856953,0,3.121878049585696e-8,TRUE
full,7,6,asset_ibov,22,31.4308217262434,31.4308217262434,0,3.153082172624341e-8,TRUE
full,7,6,asset_ibov,23,31.726285220903687,31.726285220903687,0,3.182628522090369e-8,TRUE
full,7,6,asset_ibov,24,31.819104884131367,31.819104884131367,0,3.191910488413137e-8,TRUE
full,7,6,asset_ibov,25,31.73284955258337,31.73284955258337,0,3.1832849552583376e-8,TRUE
full,7,6,asset_ibov,26,31.615222117896106,31.615222117896106,0,3.171522211789611e-8,TRUE
full,7,6,asset_ibov,27,31.34629486294736,31.34629486294736,0,3.144629486294736e-8,TRUE
full,7,6,asset_ibov,28,30.957028723989843,30.957028723989843,0,3.1057028723989845e-8,TRUE
full,7,6,asset_ibov,29,30.537865503415283,30.537865503415283,0,3.0637865503415284e-8,TRUE
full,7,6,asset_ibov,30,30.015626837082387,30.015626837082387,0,3.011562683708239e-8,TRUE
full,7,6,asset_ibov,31,29.398355608266403,29.398355608266403,0,2.9498355608266404e-8,TRUE
full,7,6,asset_ibov,32,28.744784005194248,28.744784005194248,0,2.884478400519425e-8,TRUE
full,7,6,asset_ibov,33,28.006648805832178,28.006648805832178,0,2.810664880583218e-8,TRUE
full,7,6,asset_ibov,34,27.202933406935227,27.202933406935227,0,2.730293340693523e-8,TRUE
full,7,6,asset_ibov,35,26.37320003340707,26.37320003340707,0,2.647320003340707e-8,TRUE
full,7,6,asset_ibov,36,25.485545998308716,25.485545998308716,0,2.558554599830872e-8,TRUE
full,7,6,asset_ibov,37,24.556972849329824,24.556972849329824,0,2.4656972849329827e-8,TRUE
full,7,6,asset_ibov,38,23.614680620657012,23.614680620657012,0,2.3714680620657014e-8,TRUE
full,7,6,asset_ibov,39,22.640893653280976,22.640893653280976,0,2.2740893653280977e-8,TRUE
full,7,6,asset_ibov,40,21.649972857118893,21.649972857118893,0,2.1749972857118897e-8,TRUE
full,7,6,asset_ibov,41,20.65846680105366,20.65846680105366,0,2.0758466801053662e-8,TRUE
full,7,6,asset_ibov,42,19.65658868206222,19.65658868206222,0,1.9756588682062224e-8,TRUE
full,7,6,asset_ibov,43,18.654501618408446,18.654501618408446,0,1.875450161840845e-8,TRUE
full,7,6,asset_ibov,44,17.664526757620667,17.664526757620667,0,1.776452675762067e-8,TRUE
full,7,6,asset_ibov,45,16.68261505329743,16.68261505329743,0,1.6782615053297432e-8,TRUE
full,7,6,asset_ibov,46,15.71718221069668,15.71718221069668,0,1.5817182210696683e-8,TRUE
full,7,6,asset_ibov,47,14.776735394091252,14.776735394091252,0,1.4876735394091252e-8,TRUE
full,7,6,asset_ibov,48,13.85893672593281,13.85893672593281,0,1.3958936725932811e-8,TRUE
full,7,6,cambio_usd,0,0.22809963006025752,0.22809963006025752,0,3.280996300602575e-10,TRUE
full,7,6,cambio_usd,1,0.28617721007182007,0.28617721007182007,0,3.861772100718201e-10,TRUE
full,7,6,cambio_usd,2,0.24500583397425404,0.24500583397425404,0,3.450058339742541e-10,TRUE
full,7,6,cambio_usd,3,0.2150491224486563,0.2150491224486563,0,3.150491224486563e-10,TRUE
full,7,6,cambio_usd,4,0.1844842776658242,0.1844842776658242,0,2.8448427766582424e-10,TRUE
full,7,6,cambio_usd,5,0.11083752042237721,0.11083752042237721,0,2.1083752042237722e-10,TRUE
full,7,6,cambio_usd,6,0.10481860607465443,0.10481860607465443,0,2.0481860607465445e-10,TRUE
full,7,6,cambio_usd,7,0.09664910715759632,0.09664910715759632,0,1.9664910715759633e-10,TRUE
