sample,r,q,variable,h,point
pre_covid,5,3,yield_2y,5,0.0016439776596311024
pre_covid,5,3,yield_2y,6,0.003132559986936175
pre_covid,5,3,yield_2y,7,0.002932668485091365
pre_covid,5,3,yield_2y,8,5.708351300116045e-4
pre_covid,5,3,yield_2y,9,-7.522501040285593e-4
pre_covid,5,3,yield_2y,10,-0.0015414575868299002
pre_covid,5,3,yield_2y,11,-0.002220637423554531
pre_covid,5,3,yield_2y,12,-0.003450122679151966
pre_covid,5,3,yield_2y,13,-0.0044378598102114844
pre_covid,5,3,yield_2y,14,-0.00501656612800576
pre_covid,5,3,yield_2y,15,-0.006237775947971314
pre_covid,5,3,yield_2y,16,-0.007179161599628566
pre_covid,5,3,yield_2y,17,-0.007725001455156123
pre_covid,5,3,yield_2y,18,-0.008324498077132864
pre_covid,5,3,yield_2y,19,-0.008712253039730925
pre_covid,5,3,yield_2y,20,-0.008932621512875908
pre_covid,5,3,yield_2y,21,-0.009012884378422698
pre_covid,5,3,yield_2y,22,-0.00899639010225871
pre_covid,5,3,yield_2y,23,-0.008962068942013296
pre_covid,5,3,yield_2y,24,-0.008793043354111239
pre_covid,5,3,yield_2y,25,-0.008611420277441877
pre_covid,5,3,yield_2y,26,-0.008445236181557084
pre_covid,5,3,yield_2y,27,-0.008205924898351183
pre_covid,5,3,yield_2y,28,-0.007942976159553925
pre_covid,5,3,yield_2y,29,-0.007650697326537767
pre_covid,5,3,yield_2y,30,-0.007310018926865466
pre_covid,5,3,yield_2y,31,-0.006919383197392174
pre_covid,5,3,yield_2y,32,-0.006476607668355093
pre_covid,5,3,yield_2y,33,-0.006001856497347481
pre_covid,5,3,yield_2y,34,-0.005477774551400661
pre_covid,5,3,yield_2y,35,-0.004912071606560909
pre_covid,5,3,yield_2y,36,-0.00432468218859406
pre_covid,5,3,yield_2y,37,-0.0037049254412204473
pre_covid,5,3,yield_2y,38,-0.0030617215598446323
pre_covid,5,3,yield_2y,39,-0.0024022313097633316
pre_covid,5,3,yield_2y,40,-0.0017263843907776685
pre_covid,5,3,yield_2y,41,-0.0010401492154488347
pre_covid,5,3,yield_2y,42,-3.448216324209386e-4
pre_covid,5,3,yield_2y,43,3.521538769636592e-4
pre_covid,5,3,yield_2y,44,0.0010463976297630604
pre_covid,5,3,yield_2y,45,0.0017352138131494302
pre_covid,5,3,yield_2y,46,0.0024095350440977766
pre_covid,5,3,yield_2y,47,0.003065154671084332
pre_covid,5,3,yield_2y,48,0.003697113505876436
pre_covid,5,3,yield_5y,0,0.014451093504573766
pre_covid,5,3,yield_5y,1,0.015102414365734174
pre_covid,5,3,yield_5y,2,0.00878454971388545
pre_covid,5,3,yield_5y,3,0.011842076402377553
pre_covid,5,3,yield_5y,4,0.008209955663317841
pre_covid,5,3,yield_5y,5,2.266132983632178e-4
pre_covid,5,3,yield_5y,6,0.002376698057916844
pre_covid,5,3,yield_5y,7,0.002838600076629293
pre_covid,5,3,yield_5y,8,-2.851638246557354e-5
pre_covid,5,3,yield_5y,9,-0.0016501390166090168
pre_covid,5,3,yield_5y,10,-0.002107426800464742
pre_covid,5,3,yield_5y,11,-0.0025812754572306614
pre_covid,5,3,yield_5y,12,-0.003959875058093175
pre_covid,5,3,yield_5y,13,-0.0049064741546115875
pre_covid,5,3,yield_5y,14,-0.005231111071389941
pre_covid,5,3,yield_5y,15,-0.006507462273962224
pre_covid,5,3,yield_5y,16,-0.00743293201847624
pre_covid,5,3,yield_5y,17,-0.007695222691437389
pre_covid,5,3,yield_5y,18,-0.008097900537579248
pre_covid,5,3,yield_5y,19,-0.008295514745500646
pre_covid,5,3,yield_5y,20,-0.008252805065410887
pre_covid,5,3,yield_5y,21,-0.008075271206940437
pre_covid,5,3,yield_5y,22,-0.007841157826945014
pre_covid,5,3,yield_5y,23,-0.007636996755641473
pre_covid,5,3,yield_5y,24,-0.007286406232766539
pre_covid,5,3,yield_5y,25,-0.006963489920402962
pre_covid,5,3,yield_5y,26,-0.006722651622800473
pre_covid,5,3,yield_5y,27,-0.006399671041094036
pre_covid,5,3,yield_5y,28,-0.006073056571863132
pre_covid,5,3,yield_5y,29,-0.0057523407821471325
pre_covid,5,3,yield_5y,30,-0.00538682120276354
pre_covid,5,3,yield_5y,31,-0.00498353717358501
pre_covid,5,3,yield_5y,32,-0.004544447895889065
pre_covid,5,3,yield_5y,33,-0.004090927541131716
pre_covid,5,3,yield_5y,34,-0.0036005447459253187
pre_covid,5,3,yield_5y,35,-0.0030792989236523047
pre_covid,5,3,yield_5y,36,-0.002556151540874267
pre_covid,5,3,yield_5y,37,-0.0020121529698210474
pre_covid,5,3,yield_5y,38,-0.0014539254677800226
pre_covid,5,3,yield_5y,39,-8.932674425780441e-4
pre_covid,5,3,yield_5y,40,-3.2516963101094054e-4
pre_covid,5,3,yield_5y,41,2.454142727809914e-4
pre_covid,5,3,yield_5y,42,8.173208245237957e-4
pre_covid,5,3,yield_5y,43,0.0013840011366429378
pre_covid,5,3,yield_5y,44,0.0019416290934454572
pre_covid,5,3,yield_5y,45,0.00248952750493166
pre_covid,5,3,yield_5y,46,0.0030180192349590785
pre_covid,5,3,yield_5y,47,0.0035238277965466782
pre_covid,5,3,yield_5y,48,0.004003876410840161
pre_covid,5,3,yield_6m,0,0.005
pre_covid,5,3,yield_6m,1,0.006213386392452647
pre_covid,5,3,yield_6m,2,0.005099034127618502
pre_covid,5,3,yield_6m,3,0.007136399185841681
pre_covid,5,3,yield_6m,4,0.005384531681759631
pre_covid,5,3,yield_6m,5,0.0028082410876922098
pre_covid,5,3,yield_6m,6,0.0038667271176186175
pre_covid,5,3,yield_6m,7,0.0029578307231975377
pre_covid,5,3,yield_6m,8,0.0015944458874954021
pre_covid,5,3,yield_6m,9,0.0010029474458599856
pre_covid,5,3,yield_6m,10,6.977979572271497e-5
pre_covid,5,3,yield_6m,11,-6.563938901203413e-4
pre_covid,5,3,yield_6m,12,-0.001384594657374045
pre_covid,5,3,yield_6m,13,-0.002183000851829911
pre_covid,5,3,yield_6m,14,-0.002856605579693058
pre_covid,5,3,yield_6m,15,-0.003718628609849087
pre_covid,5,3,yield_6m,16,-0.0044235826521568326
pre_covid,5,3,yield_6m,17,-0.005114661192667783
pre_covid,5,3,yield_6m,18,-0.0057914604878291686
pre_covid,5,3,yield_6m,19,-0.006289534477456448
pre_covid,5,3,yield_6m,20,-0.0067557659814238245
pre_covid,5,3,yield_6m,21,-0.007137999491297601
pre_covid,5,3,yield_6m,22,-0.0073857555790022445
pre_covid,5,3,yield_6m,23,-0.007588559713603358
