sample,r,q,variable,h,point
pre_covid,5,4,asset_ibov,34,-70.29411916190983
pre_covid,5,4,asset_ibov,35,-69.09873931366687
pre_covid,5,4,asset_ibov,36,-67.7242956103682
pre_covid,5,4,asset_ibov,37,-66.17431277698184
pre_covid,5,4,asset_ibov,38,-64.45765500349933
pre_covid,5,4,asset_ibov,39,-62.58415738613515
pre_covid,5,4,asset_ibov,40,-60.56723108541904
pre_covid,5,4,asset_ibov,41,-58.42136753858287
pre_covid,5,4,asset_ibov,42,-56.16787934028837
pre_covid,5,4,asset_ibov,43,-53.82640326579276
pre_covid,5,4,asset_ibov,44,-51.414932637396596
pre_covid,5,4,asset_ibov,45,-48.95547540633752
pre_covid,5,4,asset_ibov,46,-46.46731027502655
pre_covid,5,4,asset_ibov,47,-43.968662265999676
pre_covid,5,4,asset_ibov,48,-41.47876860822126
pre_covid,5,4,cambio_usd,0,0.11333252517071961
pre_covid,5,4,cambio_usd,1,0.13713889083566058
pre_covid,5,4,cambio_usd,2,0.0779015684184377
pre_covid,5,4,cambio_usd,3,0.0544963917254839
pre_covid,5,4,cambio_usd,4,-0.004661197977091024
