variant,sample,q,aw_ic2
drop_fiscal__credito__imoveis,full,2,-0.47172423613807846
drop_fiscal__credito__imoveis,full,3,-0.469094132097431
drop_fiscal__credito__imoveis,full,4,-0.4662518011423893
drop_fiscal__credito__imoveis,pre_covid,1,-0.3205899000230638
drop_fiscal__credito__imoveis,pre_covid,2,-0.32959012790262365
drop_fiscal__eua,full,1,-0.41861396599502587
drop_fiscal__eua,full,2,-0.47984003213839277
drop_fiscal__eua,full,3,-0.4789677364338995
drop_fiscal__eua,full,4,-0.47357247290714416
drop_fiscal__eua,pre_covid,1,-0.3323062665464637
drop_fiscal__eua,pre_covid,2,-0.3448699156638988
drop_fiscal__eua__credito,full,1,-0.41770916774310834
drop_fiscal__eua__credito,full,2,-0.4791790425802023
drop_fiscal__eua__credito,full,3,-0.47935831278865637
drop_fiscal__eua__credito,full,4,-0.4749024861685132
drop_fiscal__eua__credito,pre_covid,1,-0.33116855218159896
drop_fiscal__eua__credito,pre_covid,2,-0.3435737770184082
drop_fiscal__eua__credito__imoveis,full,1,-0.4187027199092996
drop_fiscal__eua__credito__imoveis,full,2,-0.48021245349400166
drop_fiscal__eua__credito__imoveis,full,3,-0.4801674306597492
drop_fiscal__eua__credito__imoveis,full,4,-0.47616292134856897
drop_fiscal__eua__credito__imoveis,pre_covid,1,-0.3280073968210733
drop_fiscal__eua__credito__imoveis,pre_covid,2,-0.34093803204412576
drop_fiscal__eua__imoveis,full,1,-0.4196383701066888
drop_fiscal__eua__imoveis,full,2,-0.48101629964320325
drop_fiscal__eua__imoveis,full,3,-0.4800505706719874
drop_fiscal__eua__imoveis,full,4,-0.4750850341780018
drop_fiscal__eua__imoveis,pre_covid,1,-0.3289756652328921
drop_fiscal__eua__imoveis,pre_covid,2,-0.3421393661861947
drop_fiscal__expectativas,full,1,-0.3479525654372162
drop_fiscal__expectativas,full,2,-0.4106768546764487
drop_fiscal__expectativas,full,3,-0.4096650747314733
drop_fiscal__expectativas,pre_covid,1,-0.3271838792511047
drop_fiscal__expectativas,pre_covid,2,-0.33798241316804484
drop_fiscal__expectativas__credito,full,1,-0.34602742236176903
drop_fiscal__expectativas__credito,full,2,-0.40921329549000607
drop_fiscal__expectativas__credito,full,3,-0.4090832585893194
drop_fiscal__expectativas__credito,pre_covid,1,-0.32577224087350776
drop_fiscal__expectativas__credito,pre_covid,2,-0.3365339930913443
drop_fiscal__expectativas__credito__imoveis,full,1,-0.4212597639230037
drop_fiscal__expectativas__credito__imoveis,full,2,-0.47932000020993815
drop_fiscal__expectativas__credito__imoveis,full,3,-0.4794147807096947
drop_fiscal__expectativas__credito__imoveis,full,4,-0.47501812634856105
drop_fiscal__expectativas__credito__imoveis,pre_covid,1,-0.32251315269659364
drop_fiscal__expectativas__credito__imoveis,pre_covid,2,-0.3338121446432992
drop_fiscal__expectativas__eua,full,1,-0.359057694729334
drop_fiscal__expectativas__eua,full,2,-0.42235913574902517
drop_fiscal__expectativas__eua,full,3,-0.42333138726616737
drop_fiscal__expectativas__eua,pre_covid,1,-0.3345668243148331
drop_fiscal__expectativas__eua,pre_covid,2,-0.34944708727799545
drop_fiscal__expectativas__eua__credito,full,1,-0.35630643593036854
drop_fiscal__expectativas__eua__credito,full,2,-0.42050043134697224
drop_fiscal__expectativas__eua__credito,full,3,-0.42249637423949304
drop_fiscal__expectativas__eua__credito,pre_covid,1,-0.33329368664457665
drop_fiscal__expectativas__eua__credito,pre_covid,2,-0.348165036295329
drop_fiscal__expectativas__eua__credito__imoveis,full,1,-0.3583594828201603
drop_fiscal__expectativas__eua__credito__imoveis,full,2,-0.4240531681968221
drop_fiscal__expectativas__eua__credito__imoveis,full,3,-0.42687566966476487
drop_fiscal__expectativas__eua__credito__imoveis,pre_covid,1,-0.3299508940812413
