r,q,xi_mp_full,xi_mp_pre_covid,f_robust_mp_full,f_robust_mp_pre_covid,xi_gt_3_84_full,xi_gt_3_84_pre_covid,max_companion_root_full,max_companion_root_pre_covid,bootstrap_failures_full,bootstrap_failures_pre_covid,sign_agreement_h0_12,correlation_h0_12,normalized_rmse_h0_12,admissible_relevance_full,bll_distance_full,bll_distance_pre_covid_diagnostic
2,2,6.435045309953407,2.8837714919398114,16.151605900224546,3.8582069521203697,TRUE,FALSE,0.970226966422261,0.977321842298481,0,0,1,0.9926689339904868,0.25979796058983795,TRUE,4,0
5,3,3.4192206888416528,5.243201155360743,4.15960742022518,3.8333189209420513,FALSE,TRUE,0.9654973075567308,0.9978851969506576,0,0,0.6923076923076923,0.689043979928181,1.9298419777818456,FALSE,0,4
5,4,4.769182441787656,7.88931536604886,6.853932184994816,6.963269997083333,TRUE,TRUE,0.9654973075567308,0.9978851969506576,0,0,0.4,-0.7692980102802478,2.763151505159875,TRUE,1,5
7,6,7.647789722807889,11.534896821694216,7.954660744137921,6.264391345021919,TRUE,TRUE,0.9747488663879236,0.9960040990692912,0,0,0.6461538461538462,-0.19554892881220842,1.2466496041073771,TRUE,5,9
7,7,10.9210843177125,11.553253838716406,12.746936171136468,6.191112573712703,TRUE,TRUE,0.9747488663879236,0.9960040990692912,0,0,0.6307692307692307,-0.30300279435813016,1.2979021263615182,TRUE,6,10
