variant,sample,component,eigenvalue
drop_credito,pre_covid,19,1.8955652536441079
drop_credito,pre_covid,20,1.8210568960939695
drop_credito__imoveis,full,1,17.088428164470585
drop_credito__imoveis,full,2,11.861454760833668
drop_credito__imoveis,full,3,8.228515648961565
drop_credito__imoveis,full,4,5.9332064426001
drop_credito__imoveis,full,5,5.030590733581985
drop_credito__imoveis,full,6,3.9570130226682814
drop_credito__imoveis,full,7,3.6629569724373723
drop_credito__imoveis,full,8,3.3443673777835023
drop_credito__imoveis,full,9,3.02737305356489
drop_credito__imoveis,full,10,2.7883729550559084
drop_credito__imoveis,full,11,2.4960710703530475
drop_credito__imoveis,full,12,2.34873718555105
drop_credito__imoveis,full,13,2.1836707284156445
drop_credito__imoveis,full,14,2.1318481731476338
drop_credito__imoveis,full,15,1.9981675847796696
drop_credito__imoveis,full,16,1.8455880441383774
drop_credito__imoveis,full,17,1.755492317240064
drop_credito__imoveis,full,18,1.6723260416378773
drop_credito__imoveis,full,19,1.625614906630529
drop_credito__imoveis,full,20,1.5407793070934157
drop_credito__imoveis,pre_covid,1,15.170813447514112
drop_credito__imoveis,pre_covid,2,11.245518566923971
drop_credito__imoveis,pre_covid,3,7.218095655712602
drop_credito__imoveis,pre_covid,4,5.850844173382862
drop_credito__imoveis,pre_covid,5,5.261396207874498
drop_credito__imoveis,pre_covid,6,5.1608018616688485
drop_credito__imoveis,pre_covid,7,4.391579950650721
drop_credito__imoveis,pre_covid,8,3.711412561201624
drop_credito__imoveis,pre_covid,9,3.5388536675999434
drop_credito__imoveis,pre_covid,10,3.1662917901767287
drop_credito__imoveis,pre_covid,11,2.882239411226351
drop_credito__imoveis,pre_covid,12,2.7378123094970763
drop_credito__imoveis,pre_covid,13,2.6774953578978087
drop_credito__imoveis,pre_covid,14,2.4780190144466077
drop_credito__imoveis,pre_covid,15,2.429540320013113
drop_credito__imoveis,pre_covid,16,2.249114756021119
drop_credito__imoveis,pre_covid,17,2.154047290435587
drop_credito__imoveis,pre_covid,18,1.9572538999937472
drop_credito__imoveis,pre_covid,19,1.8954507530107183
drop_credito__imoveis,pre_covid,20,1.819058990420186
drop_eua,full,1,16.872986443160837
drop_eua,full,2,11.546832781516425
drop_eua,full,3,8.587359999681686
drop_eua,full,4,5.73535206126992
drop_eua,full,5,4.967784510018987
drop_eua,full,6,4.00785480208579
drop_eua,full,7,3.560617143490406
drop_eua,full,8,3.3295739333261474
drop_eua,full,9,3.0193392146212528
drop_eua,full,10,2.623814432270769
drop_eua,full,11,2.4732543929405186
drop_eua,full,12,2.3020530309031213
drop_eua,full,13,2.1709276362625847
drop_eua,full,14,2.1195406775935695
drop_eua,full,15,1.9303713650715535
drop_eua,full,16,1.7614217839586954
drop_eua,full,17,1.7047797143604637
drop_eua,full,18,1.653372612292218
drop_eua,full,19,1.57367725368487
drop_eua,full,20,1.508123566601555
drop_eua,pre_covid,1,14.808435787818839
drop_eua,pre_covid,2,11.439978897038484
drop_eua,pre_covid,3,7.211337065280038
drop_eua,pre_covid,4,5.89708296867986
drop_eua,pre_covid,5,5.5570189372309775
drop_eua,pre_covid,6,5.213109374098983
drop_eua,pre_covid,7,3.9979651535435403
drop_eua,pre_covid,8,3.8871449660996196
drop_eua,pre_covid,9,3.3465958323373233
drop_eua,pre_covid,10,3.1240874209532943
drop_eua,pre_covid,11,2.913686330301971
drop_eua,pre_covid,12,2.68223183796056
drop_eua,pre_covid,13,2.639169869332008
drop_eua,pre_covid,14,2.4561448698560264
drop_eua,pre_covid,15,2.3572580743995344
drop_eua,pre_covid,16,2.1459908267549452
drop_eua,pre_covid,17,2.018899415573044
drop_eua,pre_covid,18,1.9746003329276904
drop_eua,pre_covid,19,1.857376223949675
drop_eua,pre_covid,20,1.7464800936287765
drop_eua__credito,full,1,16.807111027585577
drop_eua__credito,full,2,11.47329060896443
drop_eua__credito,full,3,8.104785027002135
drop_eua__credito,full,4,5.666008789985974
drop_eua__credito,full,5,4.967675587543725
drop_eua__credito,full,6,3.9964214176711113
drop_eua__credito,full,7,3.472505581615537
drop_eua__credito,full,8,3.326140444839784
drop_eua__credito,full,9,3.0157069187239913
drop_eua__credito,full,10,2.4737759387998293
drop_eua__credito,full,11,2.4222713991578964
drop_eua__credito,full,12,2.298030223645439
drop_eua__credito,full,13,2.1664774309892194
drop_eua__credito,full,14,2.108312760022065
drop_eua__credito,full,15,1.9140761023445714
drop_eua__credito,full,16,1.7565060795156626
drop_eua__credito,full,17,1.6454331460159581
drop_eua__credito,full,18,1.6267753622967496
drop_eua__credito,full,19,1.5570628856501731
drop_eua__credito,full,20,1.4983869454348955
drop_eua__credito,pre_covid,1,14.782960219906425
drop_eua__credito,pre_covid,2,11.24155689602498
drop_eua__credito,pre_covid,3,7.072487796898571
drop_eua__credito,pre_covid,4,5.770131196242362
drop_eua__credito,pre_covid,5,5.3895438210001965
drop_eua__credito,pre_covid,6,5.146810183301602
drop_eua__credito,pre_covid,7,3.996929126381547
drop_eua__credito,pre_covid,8,3.76411105836841
drop_eua__credito,pre_covid,9,3.293175453216932
drop_eua__credito,pre_covid,10,3.1097297154305266
drop_eua__credito,pre_covid,11,2.8849515695620225
drop_eua__credito,pre_covid,12,2.660663144053115
drop_eua__credito,pre_covid,13,2.6343240534899306
drop_eua__credito,pre_covid,14,2.4120095442022245
drop_eua__credito,pre_covid,15,2.342651244691988
drop_eua__credito,pre_covid,16,2.113525668394339
drop_eua__credito,pre_covid,17,1.9659137810413612
drop_eua__credito,pre_covid,18,1.9196958419455357
drop_eua__credito,pre_covid,19,1.8507418883652713
drop_eua__credito,pre_covid,20,1.7392384949640203
drop_eua__credito__imoveis,full,1,16.806834688033884
drop_eua__credito__imoveis,full,2,11.471496886850515
drop_eua__credito__imoveis,full,3,8.048420479826117
drop_eua__credito__imoveis,full,4,5.656934167476891
drop_eua__credito__imoveis,full,5,4.950488610945367
drop_eua__credito__imoveis,full,6,3.920904455878548
drop_eua__credito__imoveis,full,7,3.471433628141796
drop_eua__credito__imoveis,full,8,3.3248658541497873
drop_eua__credito__imoveis,full,9,3.0113389495056144
drop_eua__credito__imoveis,full,10,2.473487299445808
drop_eua__credito__imoveis,full,11,2.3420502699965393
drop_eua__credito__imoveis,full,12,2.1670147386899377
drop_eua__credito__imoveis,full,13,2.111557043747661
drop_eua__credito__imoveis,full,14,2.0080528806596742
drop_eua__credito__imoveis,full,15,1.8992582696174878
drop_eua__credito__imoveis,full,16,1.7509773226796603
drop_eua__credito__imoveis,full,17,1.6329244127080453
drop_eua__credito__imoveis,full,18,1.6051625250447263
drop_eua__credito__imoveis,full,19,1.5569705338402247
drop_eua__credito__imoveis,full,20,1.4959084875578532
drop_eua__credito__imoveis,pre_covid,1,14.722580315433131
drop_eua__credito__imoveis,pre_covid,2,11.236313261553825
drop_eua__credito__imoveis,pre_covid,3,7.000104745845925
drop_eua__credito__imoveis,pre_covid,4,5.761685706374976
drop_eua__credito__imoveis,pre_covid,5,5.1890623789025705
drop_eua__credito__imoveis,pre_covid,6,5.103210234783959
drop_eua__credito__imoveis,pre_covid,7,3.991859682744712
drop_eua__credito__imoveis,pre_covid,8,3.55593718090056
drop_eua__credito__imoveis,pre_covid,9,3.238133101774897
drop_eua__credito__imoveis,pre_covid,10,3.106774905582777
drop_eua__credito__imoveis,pre_covid,11,2.861291025712517
drop_eua__credito__imoveis,pre_covid,12,2.6606548505684198
drop_eua__credito__imoveis,pre_covid,13,2.6251205255333736
drop_eua__credito__imoveis,pre_covid,14,2.378170762786663
drop_eua__credito__imoveis,pre_covid,15,2.341562423055518
drop_eua__credito__imoveis,pre_covid,16,2.06558128238428
drop_eua__credito__imoveis,pre_covid,17,1.9575774787073932
drop_eua__credito__imoveis,pre_covid,18,1.9153098198849172
drop_eua__credito__imoveis,pre_covid,19,1.8399936232718068
drop_eua__credito__imoveis,pre_covid,20,1.7209155567134684
drop_eua__imoveis,full,1,16.872816975972643
drop_eua__imoveis,full,2,11.544736483450464
drop_eua__imoveis,full,3,8.51959880498083
drop_eua__imoveis,full,4,5.727823499458909
drop_eua__imoveis,full,5,4.950534788479969
drop_eua__imoveis,full,6,3.926689236982386
drop_eua__imoveis,full,7,3.5576065147788096
drop_eua__imoveis,full,8,3.3286321075771954
drop_eua__imoveis,full,9,3.013529951903711
drop_eua__imoveis,full,10,2.5176517098626214
drop_eua__imoveis,full,11,2.4635676133001536
drop_eua__imoveis,full,12,2.17092768890151
drop_eua__imoveis,full,13,2.127285323038909
drop_eua__imoveis,full,14,2.0986621892891466
drop_eua__imoveis,full,15,1.902472516303946
drop_eua__imoveis,full,16,1.7554416228481968
drop_eua__imoveis,full,17,1.6999216225738059
drop_eua__imoveis,full,18,1.6173703855285155
drop_eua__imoveis,full,19,1.571159155286419
drop_eua__imoveis,full,20,1.5081232682343184
drop_eua__imoveis,pre_covid,1,14.745859290657787
drop_eua__imoveis,pre_covid,2,11.432628794247076
drop_eua__imoveis,pre_covid,3,7.160214304785437
drop_eua__imoveis,pre_covid,4,5.8235026627914825
drop_eua__imoveis,pre_covid,5,5.327330903941122
drop_eua__imoveis,pre_covid,6,5.195832192794018
drop_eua__imoveis,pre_covid,7,3.993394586617179
drop_eua__imoveis,pre_covid,8,3.705295761284019
drop_eua__imoveis,pre_covid,9,3.317513508113434
drop_eua__imoveis,pre_covid,10,3.123882350108534
drop_eua__imoveis,pre_covid,11,2.9097373169024054
drop_eua__imoveis,pre_covid,12,2.6796119604351136
drop_eua__imoveis,pre_covid,13,2.636076848142044
drop_eua__imoveis,pre_covid,14,2.3981472208233274
drop_eua__imoveis,pre_covid,15,2.3564954969693432
drop_eua__imoveis,pre_covid,16,2.1095745106538177
drop_eua__imoveis,pre_covid,17,2.0188165774260285
drop_eua__imoveis,pre_covid,18,1.9605831770671056
drop_eua__imoveis,pre_covid,19,1.8465396267741225
drop_eua__imoveis,pre_covid,20,1.7230832319021887
drop_expectativas,full,1,16.9685805784993
drop_expectativas,full,2,11.560668439013197
drop_expectativas,full,3,8.579689482104389
drop_expectativas,full,4,5.6477438457143085
drop_expectativas,full,5,4.965744080475314
drop_expectativas,full,6,3.986760116665766
drop_expectativas,full,7,3.541570009321533
drop_expectativas,full,8,3.2912272201967716
drop_expectativas,full,9,2.8654238862742454
drop_expectativas,full,10,2.782301525471821
drop_expectativas,full,11,2.5551356262233678
drop_expectativas,full,12,2.488432721184637
drop_expectativas,full,13,2.2591882178486364
drop_expectativas,full,14,2.151608311924017
drop_expectativas,full,15,1.941069259516602
drop_expectativas,full,16,1.8478806057294632
drop_expectativas,full,17,1.7766943166018383
drop_expectativas,full,18,1.7165684745015115
drop_expectativas,full,19,1.6350692252275763
drop_expectativas,full,20,1.5163563656694647
drop_expectativas,pre_covid,1,14.78135199320061
drop_expectativas,pre_covid,2,11.441017546495209
drop_expectativas,pre_covid,3,7.158086915912105
drop_expectativas,pre_covid,4,5.649151961445528
