variant,sample,r_ic2,convention,p,max_q,q_hat,q_gt_r,failure
drop_setor_externo__eua__credito__imoveis,full,5,p12_max15,12,15,3,FALSE,NA
drop_setor_externo__eua__credito__imoveis,full,5,p6_cap_r,6,5,2,FALSE,NA
drop_setor_externo__eua__credito__imoveis,full,5,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__eua__credito__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__eua__credito__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__eua__credito__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__eua__credito__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__eua__imoveis,full,4,p12_cap_r,12,4,3,FALSE,NA
drop_setor_externo__eua__imoveis,full,4,p12_max15,12,15,3,FALSE,NA
drop_setor_externo__eua__imoveis,full,4,p6_cap_r,6,4,3,FALSE,NA
drop_setor_externo__eua__imoveis,full,4,p6_max15,6,15,3,FALSE,NA
drop_setor_externo__eua__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__eua__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__eua__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__eua__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas,full,4,p12_cap_r,12,4,4,FALSE,NA
drop_setor_externo__expectativas,full,4,p12_max15,12,15,4,FALSE,NA
drop_setor_externo__expectativas,full,4,p6_cap_r,6,4,3,FALSE,NA
drop_setor_externo__expectativas,full,4,p6_max15,6,15,3,FALSE,NA
drop_setor_externo__expectativas,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__expectativas,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__expectativas,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__expectativas,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas__credito,full,4,p12_cap_r,12,4,4,FALSE,NA
drop_setor_externo__expectativas__credito,full,4,p12_max15,12,15,4,FALSE,NA
drop_setor_externo__expectativas__credito,full,4,p6_cap_r,6,4,3,FALSE,NA
drop_setor_externo__expectativas__credito,full,4,p6_max15,6,15,3,FALSE,NA
drop_setor_externo__expectativas__credito,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__expectativas__credito,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__expectativas__credito,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__expectativas__credito,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas__credito__imoveis,full,4,p12_cap_r,12,4,4,FALSE,NA
drop_setor_externo__expectativas__credito__imoveis,full,4,p12_max15,12,15,4,FALSE,NA
drop_setor_externo__expectativas__credito__imoveis,full,4,p6_cap_r,6,4,3,FALSE,NA
drop_setor_externo__expectativas__credito__imoveis,full,4,p6_max15,6,15,3,FALSE,NA
drop_setor_externo__expectativas__credito__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__expectativas__credito__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__expectativas__credito__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__expectativas__credito__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas__eua,full,4,p12_cap_r,12,4,NA,NA,error code 1 from Lapack routine 'dgesdd'
drop_setor_externo__expectativas__eua,full,4,p12_max15,12,15,NA,NA,error code 1 from Lapack routine 'dgesdd'
drop_setor_externo__expectativas__eua,full,4,p6_cap_r,6,4,3,FALSE,NA
drop_setor_externo__expectativas__eua,full,4,p6_max15,6,15,3,FALSE,NA
drop_setor_externo__expectativas__eua,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__expectativas__eua,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__expectativas__eua,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__expectativas__eua,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito,full,5,p12_cap_r,12,5,3,FALSE,NA
drop_setor_externo__expectativas__eua__credito,full,5,p12_max15,12,15,3,FALSE,NA
drop_setor_externo__expectativas__eua__credito,full,5,p6_cap_r,6,5,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito,full,5,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito__imoveis,full,5,p12_cap_r,12,5,3,FALSE,NA
drop_setor_externo__expectativas__eua__credito__imoveis,full,5,p12_max15,12,15,3,FALSE,NA
drop_setor_externo__expectativas__eua__credito__imoveis,full,5,p6_cap_r,6,5,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito__imoveis,full,5,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__expectativas__eua__credito__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas__eua__imoveis,full,5,p12_cap_r,12,5,3,FALSE,NA
drop_setor_externo__expectativas__eua__imoveis,full,5,p12_max15,12,15,3,FALSE,NA
drop_setor_externo__expectativas__eua__imoveis,full,5,p6_cap_r,6,5,2,FALSE,NA
drop_setor_externo__expectativas__eua__imoveis,full,5,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas__eua__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__expectativas__eua__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__expectativas__eua__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__expectativas__eua__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__expectativas__imoveis,full,4,p12_cap_r,12,4,4,FALSE,NA
drop_setor_externo__expectativas__imoveis,full,4,p12_max15,12,15,4,FALSE,NA
drop_setor_externo__expectativas__imoveis,full,4,p6_cap_r,6,4,3,FALSE,NA
drop_setor_externo__expectativas__imoveis,full,4,p6_max15,6,15,3,FALSE,NA
drop_setor_externo__expectativas__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__expectativas__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__expectativas__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__expectativas__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__imoveis,full,4,p12_cap_r,12,4,4,FALSE,NA
drop_setor_externo__imoveis,full,4,p12_max15,12,15,4,FALSE,NA
drop_setor_externo__imoveis,full,4,p6_cap_r,6,4,2,FALSE,NA
drop_setor_externo__imoveis,full,4,p6_max15,6,15,2,FALSE,NA
drop_setor_externo__imoveis,pre_covid,2,p12_cap_r,12,2,2,FALSE,NA
drop_setor_externo__imoveis,pre_covid,2,p12_max15,12,15,2,FALSE,NA
drop_setor_externo__imoveis,pre_covid,2,p6_cap_r,6,2,2,FALSE,NA
drop_setor_externo__imoveis,pre_covid,2,p6_max15,6,15,2,FALSE,NA
