variant,r,q,p,n_series,n_months,n_obs_align,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable
conjunto_completo_sem_duplicatas,5,2,6,123,153,147,3.0728263402763036,3.0728263402763036,FALSE,NA,3.8055756336729303,0.9650374774623764,TRUE
conjunto_completo_sem_duplicatas,5,3,6,123,153,147,2.4660005634398443,2.4660005634398443,TRUE,0,2.8005808896796762,0.9650374774623764,TRUE
conjunto_completo_sem_duplicatas,5,4,6,123,153,147,4.1787532252674024,4.1787532252674024,TRUE,0,5.688028403437141,0.9650374774623764,TRUE
conjunto_completo_sem_duplicatas,5,5,6,123,153,147,5.169840346993228,5.169840346993228,TRUE,0,7.8801926479317155,0.9650374774623764,TRUE
conjunto_completo_sem_duplicatas,6,1,6,123,153,147,4.068966532233845,4.068966532233845,FALSE,NA,4.643376686711192,0.965718719123634,TRUE
conjunto_completo_sem_duplicatas,6,2,6,123,153,147,2.4439108562283542,2.4439108562283542,FALSE,NA,2.494856099881471,0.965718719123634,TRUE
conjunto_completo_sem_duplicatas,6,3,6,123,153,147,3.0780774747927033,3.0780774747927033,TRUE,0,3.089396817366368,0.965718719123634,TRUE
conjunto_completo_sem_duplicatas,6,4,6,123,153,147,3.6901252902225106,3.6901252902225106,TRUE,0,3.938227217637133,0.965718719123634,TRUE
conjunto_completo_sem_duplicatas,6,5,6,123,153,147,4.123290611515498,4.123290611515498,TRUE,0,4.514545104349272,0.965718719123634,TRUE
conjunto_completo_sem_duplicatas,6,6,6,123,153,147,5.73129767100295,5.73129767100295,TRUE,0,7.138256054064546,0.965718719123634,TRUE
conjunto_completo_sem_duplicatas,7,1,6,123,153,147,3.4358359030221193,3.4358359030221193,FALSE,NA,3.2454598536443853,0.9732091159708652,TRUE
conjunto_completo_sem_duplicatas,7,2,6,123,153,147,1.992741760593264,1.992741760593264,FALSE,NA,1.740059562829391,0.9732091159708652,TRUE
conjunto_completo_sem_duplicatas,7,3,6,123,153,147,4.9279877916360375,4.9279877916360375,TRUE,0,5.06085130285511,0.9732091159708652,TRUE
conjunto_completo_sem_duplicatas,7,4,6,123,153,147,4.09265820585342,4.09265820585342,TRUE,0,3.874238173060656,0.9732091159708652,TRUE
conjunto_completo_sem_duplicatas,7,5,6,123,153,147,4.531234772236819,4.531234772236819,TRUE,0,4.457532517961586,0.9732091159708652,TRUE
conjunto_completo_sem_duplicatas,7,6,6,123,153,147,4.7407575865647225,4.7407575865647225,TRUE,0,4.6278336003203755,0.9732091159708652,TRUE
conjunto_completo_sem_duplicatas,7,7,6,123,153,147,6.609611534695935,6.609611534695935,TRUE,0,7.055592321610547,0.9732091159708652,TRUE
conjunto_completo_sem_duplicatas,8,1,6,123,153,147,3.799351726463936,3.799351726463936,FALSE,NA,3.3228769665192504,0.9839899521922032,TRUE
conjunto_completo_sem_duplicatas,8,2,6,123,153,147,2.559017539306787,2.559017539306787,FALSE,NA,2.2106910828826702,0.9839899521922032,TRUE
conjunto_completo_sem_duplicatas,8,3,6,123,153,147,4.968832160491034,4.968832160491034,TRUE,0,4.815198617615454,0.9839899521922032,TRUE
conjunto_completo_sem_duplicatas,8,4,6,123,153,147,5.1024198813371555,5.1024198813371555,TRUE,0,4.9939919384678895,0.9839899521922032,TRUE
conjunto_completo_sem_duplicatas,8,5,6,123,153,147,5.580349230679993,5.580349230679993,TRUE,0,5.73349139662567,0.9839899521922032,TRUE
conjunto_completo_sem_duplicatas,8,6,6,123,153,147,5.609308560337256,5.609308560337256,TRUE,0,5.635907094634445,0.9839899521922032,TRUE
conjunto_completo_sem_duplicatas,8,7,6,123,153,147,5.550149500685897,5.550149500685897,TRUE,0,5.432272975151323,0.9839899521922032,TRUE
conjunto_completo_sem_duplicatas,8,8,6,123,153,147,7.359274915337446,7.359274915337446,TRUE,0,7.845791560896345,0.9839899521922032,TRUE
drop_credito,1,1,6,121,153,147,3.75046624503218,3.75046624503218,FALSE,NA,5.670343775358668,0.8957345425929715,TRUE
drop_credito,2,1,6,121,153,147,0.31019780150420734,0.31019780150420734,FALSE,NA,0.3012488593900385,0.9687955633185156,TRUE
drop_credito,2,2,6,121,153,147,6.312526436625915,6.312526436625915,FALSE,NA,16.306771445506946,0.9687955633185156,TRUE
drop_credito,3,1,6,121,153,147,4.51425392508594,4.51425392508594,FALSE,NA,4.422031796943632,0.974587860437656,TRUE
drop_credito,3,2,6,121,153,147,4.228106929337388,4.228106929337388,FALSE,NA,6.531576165410346,0.974587860437656,TRUE
drop_credito,3,3,6,121,153,147,5.630720622284107,5.630720622284107,FALSE,NA,9.65311513779502,0.974587860437656,TRUE
drop_credito,4,1,6,121,153,147,4.075661749996383,4.075661749996383,FALSE,NA,4.814122422454885,0.9615442418633688,TRUE
