variant,r,q,variable,rmse,full_rms,normalized_rmse,sign_agreement
drop_fiscal__setor_externo__expectativas__imoveis,4,3,yield_2y,0.0054515831199935414,0.010268341103155566,0.5309117670738669,1
drop_fiscal__setor_externo__expectativas__imoveis,4,3,yield_5y,0.004589113524639426,0.010321411279129741,0.4446207403747951,1
drop_fiscal__setor_externo__expectativas__imoveis,4,3,yield_6m,0.004157755973037589,0.0066470093313758345,0.6255077683450452,1
drop_fiscal__setor_externo__imoveis,4,2,asset_ibov,18.42252237461624,17.67259264847665,1.0424346184544822,1
drop_fiscal__setor_externo__imoveis,4,2,cambio_usd,0.27635358069234384,0.4121185547591212,0.6705681593343195,1
drop_fiscal__setor_externo__imoveis,4,2,yield_2y,0.004535812319417265,0.011692977941048047,0.3879090803288318,1
drop_fiscal__setor_externo__imoveis,4,2,yield_5y,0.004714860166869297,0.013844823182860495,0.3405504067907608,1
drop_fiscal__setor_externo__imoveis,4,2,yield_6m,0.0014090287755100992,0.005063678516948594,0.27826189415342056,1
drop_imoveis,4,3,asset_ibov,35.06511232424593,2.776108259426145,12.631032023043048,0.2857142857142857
drop_imoveis,4,3,cambio_usd,0.17244768155392232,0.24767541466078327,0.6962648343199788,1
drop_imoveis,4,3,yield_2y,0.006000435022257416,0.010540549416342682,0.5692715612104613,1
drop_imoveis,4,3,yield_5y,0.004935101908014485,0.010249765427541432,0.4814843757061713,1
drop_imoveis,4,3,yield_6m,0.0044264107345899206,0.007139301436631047,0.62000614120009645,1
drop_setor_externo,4,1,asset_ibov,20.153605369480765,34.60094963666263,0.5824581573947993,1
drop_setor_externo,4,1,cambio_usd,1.0274853628814529,1.1967619108515284,0.8585545324970857,1
drop_setor_externo,4,1,yield_2y,0.009985381256088222,0.01883471196581225,0.5301584263254541,1
drop_setor_externo,4,1,yield_5y,0.017745002256887358,0.029064798915589232,0.6105324281933919,1
drop_setor_externo,4,1,yield_6m,0.007272939828358789,0.005755229394471265,1.263709807179103,0.42857142857142855
drop_setor_externo__credito,4,3,asset_ibov,36.692589714238956,4.416621011034232,8.307842040910527,0.2857142857142857
drop_setor_externo__credito,4,3,cambio_usd,0.1638316608051998,0.2567348097232436,0.6381357517580416,1
drop_setor_externo__credito,4,3,yield_2y,0.006117423086936183,0.01098401650297001,0.5569386285319282,1
drop_setor_externo__credito,4,3,yield_5y,0.0046359311604268075,0.010628892100151943,0.4361631595037582,1
drop_setor_externo__credito,4,3,yield_6m,0.004786026213899949,0.007430742347689062,0.6440845328715223,1
drop_setor_externo__credito__imoveis,4,3,asset_ibov,35.82284129248631,1.911106717097527,18.74455307597467,0.2857142857142857
drop_setor_externo__credito__imoveis,4,3,cambio_usd,0.14693360424679164,0.2504172068108891,0.5867552238842495,1
drop_setor_externo__credito__imoveis,4,3,yield_2y,0.00586649818209922,0.010723897620630559,0.5470490664526013,1
drop_setor_externo__credito__imoveis,4,3,yield_5y,0.0044873035322195755,0.010500921114220456,0.42732475402970344,1
drop_setor_externo__credito__imoveis,4,3,yield_6m,0.00464876313040533,0.007162734624506863,0.6490207126339524,1
drop_setor_externo__eua,4,3,asset_ibov,25.92181527769395,5.3120415468048385,4.879821637179356,0.2857142857142857
drop_setor_externo__eua,4,3,cambio_usd,0.17488060248953585,0.2436457163349783,0.7177659641226765,1
drop_setor_externo__eua,4,3,yield_2y,0.0021896467827826893,0.010557363094457902,0.2074047054355975,1
drop_setor_externo__eua,4,3,yield_5y,0.002393379180889785,0.010021062756700533,0.23883486602151696,1
drop_setor_externo__eua,4,3,yield_6m,5.652538361983105e-4,0.007315818204359609,0.0772646094269356,1
drop_setor_externo__eua__credito,4,3,asset_ibov,39.6550036484033,6.000195982299545,6.608951401818332,0.2857142857142857
drop_setor_externo__eua__credito,4,3,cambio_usd,0.163418657215867,0.26327515038601923,0.6207143248280719,1
drop_setor_externo__eua__credito,4,3,yield_2y,0.006337071383677231,0.010748873971311267,0.589556766652104,1
drop_setor_externo__eua__credito,4,3,yield_5y,0.004773771318190446,0.01037156600146755,0.460274882068433,1
drop_setor_externo__eua__credito,4,3,yield_6m,0.005107816914999335,0.007213293983681614,0.7081115682453222,1
drop_setor_externo__eua__credito__imoveis,5,1,asset_ibov,14.18733794953139,26.20478335914823,0.5414026040623043,1
drop_setor_externo__eua__credito__imoveis,5,1,cambio_usd,0.575224620929222,0.8784170804915407,0.654842253986387,1
drop_setor_externo__eua__credito__imoveis,5,1,yield_2y,0.010098798624994828,0.018294910491707245,0.5520004391151535,1
drop_setor_externo__eua__credito__imoveis,5,1,yield_5y,0.012530710788653877,0.02471358619777773,0.5070373311413886,1
drop_setor_externo__eua__credito__imoveis,5,1,yield_6m,0.00227273455933288,0.004659374950623517,0.48777670469056,1
drop_setor_externo__eua__imoveis,4,3,asset_ibov,33.76049000175244,2.80194547838406,12.048946084854874,0.2857142857142857
drop_setor_externo__eua__imoveis,4,3,cambio_usd,0.14778257407003922,0.2419110975651344,0.6108962158308957,1
drop_setor_externo__eua__imoveis,4,3,yield_2y,0.004782269441585082,0.010363416301263575,0.4614568499966557,1
drop_setor_externo__eua__imoveis,4,3,yield_5y,0.0035650038847472795,0.009997944226516342,0.3565736919488158,1
drop_setor_externo__eua__imoveis,4,3,yield_6m,0.0036983680226296326,0.007030634376766632,0.5260361760314581,1
drop_setor_externo__expectativas,4,3,asset_ibov,42.74193258265902,8.177603707130237,5.226706271592907,0.2857142857142857
drop_setor_externo__expectativas,4,3,cambio_usd,0.22612660223096046,0.30773268017874916,0.7348150417421149,0.8571428571428571
drop_setor_externo__expectativas,4,3,yield_2y,0.005367235674545055,0.010797223053644112,0.4970940813095075,1
drop_setor_externo__expectativas,4,3,yield_5y,0.006087528067188731,0.01091715053352828,0.5576114434341616,1
drop_setor_externo__expectativas,4,3,yield_6m,0.002336821070933233,0.006727187283351554,0.34736970631342445,1
drop_setor_externo__expectativas__credito,4,3,asset_ibov,43.03512236910966,8.551466591361192,5.032484417653496,0.2857142857142857
drop_setor_externo__expectativas__credito,4,3,cambio_usd,0.2303633118846195,0.33947679936205605,0.6785833739375347,1
drop_setor_externo__expectativas__credito,4,3,yield_2y,0.005642650846880928,0.011003795858621365,0.5127913057801746,1
drop_setor_externo__expectativas__credito,4,3,yield_5y,0.004554809514434898,0.011398262936005711,0.39960558376371674,1
drop_setor_externo__expectativas__credito,4,3,yield_6m,0.0037348404562529787,0.006534586694330814,0.5715496068776927,1
drop_setor_externo__expectativas__credito__imoveis,4,3,asset_ibov,42.79672035752718,4.675823970794297,9.152765507179083,0.2857142857142857
drop_setor_externo__expectativas__credito__imoveis,4,3,cambio_usd,0.20625286164965911,0.3271087363881395,0.6305330268064878,1
drop_setor_externo__expectativas__credito__imoveis,4,3,yield_2y,0.005410438425189966,0.010611744116783157,0.5098538341716146,1
drop_setor_externo__expectativas__credito__imoveis,4,3,yield_5y,0.004667970284844211,0.011153825619005242,0.41850845120712277,1
drop_setor_externo__expectativas__credito__imoveis,4,3,yield_6m,0.0035821780638003197,0.006164313284973611,0.5811155108765136,1
drop_setor_externo__expectativas__eua,4,3,asset_ibov,52.308424528219604,8.948198011230717,5.845693676265128,0.2857142857142857
drop_setor_externo__expectativas__eua,4,3,cambio_usd,0.1939494452417683,0.3058173479370708,0.6342002719926733,1
drop_setor_externo__expectativas__eua,4,3,yield_2y,0.00444983770060712,0.01043140118116077,0.4265810147004582,1
drop_setor_externo__expectativas__eua,4,3,yield_5y,0.005713199833646772,0.01054015991443052,0.5420410961530894,1
drop_setor_externo__expectativas__eua,4,3,yield_6m,0.0018934853445673567,0.006442178183026813,0.2939200516924721,1
drop_setor_externo__expectativas__eua__credito,5,1,asset_ibov,43.57100641516548,28.409254650506536,1.5336905860847219,1
drop_setor_externo__expectativas__eua__credito,5,1,cambio_usd,0.5446597286886367,0.7957762447906668,0.68443828557852,1
drop_setor_externo__expectativas__eua__credito,5,1,yield_2y,0.005648151787153966,0.01677010500201984,0.3367988325936949,1
drop_setor_externo__expectativas__eua__credito,5,1,yield_5y,0.00792942623214932,0.02303660338270829,0.34420986898186984,1
drop_setor_externo__expectativas__eua__credito,5,1,yield_6m,0.0021393307267691393,0.004238685214388464,0.5047156414227356,0.8571428571428571
drop_setor_externo__expectativas__eua__credito__imoveis,5,1,asset_ibov,39.10279161111512,30.59950668110704,1.2778896084379765,1
drop_setor_externo__expectativas__eua__credito__imoveis,5,1,cambio_usd,0.6065935085519629,0.8561785857059234,0.7084894654913888,1
drop_setor_externo__expectativas__eua__credito__imoveis,5,1,yield_2y,0.006237937630431386,0.017308020427345094,0.36040734159153254,1
drop_setor_externo__expectativas__eua__credito__imoveis,5,1,yield_5y,0.00926799231453384,0.024253652873457526,0.3821276886780405,1
drop_setor_externo__expectativas__eua__credito__imoveis,5,1,yield_6m,0.0028097028503607886,0.004169230233538569,0.673914054387948,0.7142857142857143
drop_setor_externo__expectativas__eua__imoveis,5,1,asset_ibov,36.667156059620325,27.655942119396187,1.3258328319216515,1
drop_setor_externo__expectativas__eua__imoveis,5,1,cambio_usd,0.6694035929367608,0.8948591274371617,0.7480547187956881,1
drop_setor_externo__expectativas__eua__imoveis,5,1,yield_2y,0.006384155671878129,0.018669864588022278,0.34194975768457947,1
drop_setor_externo__expectativas__eua__imoveis,5,1,yield_5y,0.010969702347714707,0.02586702735796495,0.42408051748307785,1
drop_setor_externo__expectativas__eua__imoveis,5,1,yield_6m,0.004067763072919186,0.004234848585287651,0.9605451035607413,0.8571428571428571
drop_setor_externo__expectativas__imoveis,4,3,asset_ibov,38.89562052712776,4.615812425425324,8.426603367346264,0.2857142857142857
drop_setor_externo__expectativas__imoveis,4,3,cambio_usd,0.17113273692211886,0.2982445611695684,0.573800025894925,1
drop_setor_externo__expectativas__imoveis,4,3,yield_2y,0.004184287678649408,0.010475438281134185,0.3994379582365666,1
drop_setor_externo__expectativas__imoveis,4,3,yield_5y,0.003125550338921946,0.010741492385754774,0.29097915137630315,1
drop_setor_externo__expectativas__imoveis,4,3,yield_6m,0.0028525351154067872,0.006395360851128808,0.44603192561109395,1
drop_setor_externo__imoveis,4,1,asset_ibov,19.0241418217528,39.095688338916645,0.48660460091748226,1
drop_setor_externo__imoveis,4,1,cambio_usd,1.2461970877730306,1.3858134638917123,0.899253124784483,1
drop_setor_externo__imoveis,4,1,yield_2y,0.012733375626818819,0.02037080126270552,0.6250797630690572,1
drop_setor_externo__imoveis,4,1,yield_5y,0.023076740629252926,0.032663483950524784,0.7064996699129569,1
drop_setor_externo__imoveis,4,1,yield_6m,0.008886887740756194,0.007481113091450568,1.187909824663946,0.42857142857142855
