block,other_blocks,excluded_variant,included_variant,bll_distance_full_included,max_companion_root_included,xi_gt_3_84_pre_covid_included,normalized_rmse_included,sign_errors_full_included,parsimony_included,bll_distance_full_excluded,max_companion_root_excluded,xi_gt_3_84_pre_covid_excluded,normalized_rmse_excluded,sign_errors_full_excluded,parsimony_excluded,distance_cmp,root_cmp,pre_relevance_cmp,rmse_cmp,sign_errors_cmp,parsimony_cmp,exclusion_improvements,exclusion_worsenings,exclusion_wins,inclusion_wins
credito,expectativas;fiscal;setor_externo,drop_fiscal__setor_externo__expectativas__credito,drop_fiscal__setor_externo__expectativas,0,0.9598993791642038,FALSE,2.222914971066318,5,7,0,0.9594563510738922,TRUE,2.0741554604575287,5,7,0,0,1,1,0,0,2,0,FALSE,FALSE
credito,expectativas;imoveis,drop_expectativas__credito__imoveis,drop_expectativas__imoveis,1,0.9659255498696028,TRUE,1.8895406205806147,5,7,0,0.9642017336567056,TRUE,2.0428975886776684,5,7,1,1,0,-1,0,0,2,1,FALSE,FALSE
credito,expectativas;imoveis;setor_externo,drop_setor_externo__expectativas__credito__imoveis,drop_setor_externo__expectativas__imoveis,0,0.9677370429187756,TRUE,2.0273704856930306,5,7,0,0.9660994894978552,TRUE,2.2585552660481643,5,7,0,1,0,-1,0,0,1,1,FALSE,FALSE
credito,expectativas;setor_externo,drop_setor_externo__expectativas__credito,drop_setor_externo__expectativas,0,0.965162110792472,FALSE,1.4727193088784232,5,7,0,0.9634154477790688,TRUE,1.4390028576025229,5,7,0,1,1,0,0,0,2,0,FALSE,FALSE
credito,fiscal,drop_fiscal__credito,drop_fiscal,1,0.9687228510996831,TRUE,1.7499543034980192,5,7,1,0.9660129447569344,TRUE,0.7924621231335923,5,5,0,1,0,1,0,1,3,0,FALSE,FALSE
credito,fiscal;imoveis,drop_fiscal__credito__imoveis,drop_fiscal__imoveis,0,0.9611000122060668,TRUE,0.6064302151897054,0,6,1,0.9607926050444754,TRUE,0.8303641550620375,5,5,-1,0,0,-1,-1,1,1,3,FALSE,FALSE
credito,fiscal;imoveis;setor_externo,drop_fiscal__setor_externo__credito__imoveis,drop_fiscal__setor_externo__imoveis,0,0.9650608116930608,TRUE,0.543944831812363,0,6,1,0.963621845294528,TRUE,0.7859897817462954,5,5,-1,1,0,-1,-1,1,2,3,FALSE,FALSE
credito,fiscal;setor_externo,drop_fiscal__setor_externo__credito,drop_fiscal__setor_externo,1,0.9637926309811332,FALSE,0.5881654393871345,0,7,0,0.96345760002706,TRUE,2.9478757969059775,5,7,1,0,1,-1,-1,0,2,2,FALSE,FALSE
credito,imoveis,drop_credito__imoveis,drop_imoveis,1,0.9661458014093424,TRUE,2.999611787095951,5,7,1,0.9644990984625078,TRUE,0.7821082310026338,5,5,0,1,0,1,0,1,3,0,FALSE,FALSE
credito,imoveis;setor_externo,drop_setor_externo__credito__imoveis,drop_setor_externo__imoveis,1,0.9680429523482948,TRUE,0.7810693966695851,4,5,0,0.9663421226331856,TRUE,4.190940566595036,5,7,1,1,0,-1,-1,-1,2,3,FALSE,FALSE
credito,setor_externo,drop_setor_externo__credito,drop_setor_externo,1,0.96521200900006765,TRUE,0.7690826703179668,4,5,0,0.9635669668620168,TRUE,2.1166328227151556,5,7,1,1,0,-1,-1,-1,2,3,FALSE,FALSE
eua,,drop_eua,conjunto_completo_sem_duplicatas,1,0.9625695997704398,TRUE,1.5176355735611287,5,7,1,0.969411436395829,TRUE,1.1807621035280569,5,7,0,-1,0,1,0,0,1,1,FALSE,FALSE
eua,credito,drop_eua__credito,drop_credito,1,0.9615442418633688,TRUE,0.7516840788248458,4,5,0,0.966152845317509,TRUE,1.6315400657259322,5,7,1,-1,0,-1,-1,-1,1,4,FALSE,TRUE
eua,credito;expectativas,drop_expectativas__eua__credito,drop_expectativas__credito,0,0.97437740671195,FALSE,0.5936892439160202,5,5,0,0.9728113949412084,FALSE,0.22793880684877527,0,6,0,1,0,1,1,-1,3,1,FALSE,FALSE
eua,credito;expectativas;fiscal,drop_fiscal__expectativas__eua__credito,drop_fiscal__expectativas__credito,0,0.975639863038002,FALSE,0.6432086887619102,5,5,0,0.9741769360898472,TRUE,0.24253697325605966,0,6,0,1,1,1,1,-1,4,1,TRUE,FALSE
eua,credito;expectativas;fiscal;imoveis,drop_fiscal__expectativas__eua__credito__imoveis,drop_fiscal__expectativas__credito__imoveis,0,0.9624681336589764,TRUE,2.5361469199846467,5,7,0,0.97045916960529,TRUE,0.27812195295477066,0,6,0,-1,0,1,1,1,3,1,FALSE,FALSE
eua,credito;expectativas;fiscal;imoveis;setor_externo,baseline,drop_fiscal__setor_externo__expectativas__credito__imoveis,1,0.968766693226692,TRUE,0.5347003604971458,0,6,1,0.9614665554619068,TRUE,3.713039913488649,5,7,0,1,0,-1,-1,-1,1,3,FALSE,FALSE
eua,credito;expectativas;fiscal;setor_externo,drop_fiscal__setor_externo__expectativas__eua__credito,drop_fiscal__setor_externo__expectativas__credito,0,0.9594563510738922,TRUE,2.0741554604575287,5,7,1,0.969664016963238,TRUE,1.6031268418600662,4,9,-1,-1,0,1,1,-1,2,3,FALSE,FALSE
eua,credito;expectativas;imoveis,drop_expectativas__eua__credito__imoveis,drop_expectativas__credito__imoveis,0,0.9642017336567056,TRUE,2.0428975886776684,5,7,0,0.9689529278123772,FALSE,0.28055060066674775,0,6,0,-1,-1,1,1,1,3,2,FALSE,FALSE
eua,credito;expectativas;imoveis;setor_externo,drop_setor_externo__expectativas__eua__credito__imoveis,drop_setor_externo__expectativas__credito__imoveis,0,0.9660994894978552,TRUE,2.2585552660481643,5,7,1,0.9638244720150816,TRUE,0.6805656317173773,2,6,-1,1,0,1,1,1,4,1,TRUE,FALSE
eua,credito;expectativas;setor_externo,drop_setor_externo__expectativas__eua__credito,drop_setor_externo__expectativas__credito,0,0.9634154477790688,TRUE,1.4390028576025229,5,7,1,0.9608650036505664,TRUE,0.6807706429323085,1,6,-1,1,0,1,1,1,4,1,TRUE,FALSE
eua,credito;fiscal,drop_fiscal__eua__credito,drop_fiscal__credito,1,0.9660129447569344,TRUE,0.7924621231335923,5,5,0,0.974464935288998,TRUE,2.091657721989367,5,7,1,-1,0,-1,0,-1,1,3,FALSE,FALSE
eua,credito;fiscal;imoveis,drop_fiscal__eua__credito__imoveis,drop_fiscal__credito__imoveis,1,0.9607926050444754,TRUE,0.8303641550620375,5,5,0,0.9671624430075784,TRUE,0.6360846484909661,0,6,1,-1,0,1,1,-1,3,2,FALSE,FALSE
eua,credito;fiscal;imoveis;setor_externo,drop_fiscal__setor_externo__eua__credito__imoveis,drop_fiscal__setor_externo__credito__imoveis,1,0.963621845294528,TRUE,0.7859897817462954,5,5,0,0.9654452427230829,TRUE,0.4009045425208819,0,7,1,-1,0,1,1,-1,3,2,FALSE,FALSE
eua,credito;fiscal;setor_externo,drop_fiscal__setor_externo__eua__credito,drop_fiscal__setor_externo__credito,0,0.96345760002706,TRUE,2.9478757969059775,5,7,0,0.9726386024487456,TRUE,0.6244144251724459,0,7,0,-1,0,1,1,0,2,1,FALSE,FALSE
eua,credito;imoveis,drop_eua__credito__imoveis,drop_credito__imoveis,1,0.9644990984625078,TRUE,0.7821082310026338,5,5,0,0.9574852068848736,TRUE,2.254187886259401,5,7,1,1,0,-1,0,-1,2,2,FALSE,FALSE
eua,credito;imoveis;setor_externo,drop_setor_externo__eua__credito__imoveis,drop_setor_externo__credito__imoveis,0,0.9663421226331856,TRUE,4.190940566595036,5,7,1,0.9648576865195532,TRUE,0.5486118665991587,1,6,-1,1,0,1,1,1,4,1,TRUE,FALSE
eua,credito;setor_externo,drop_setor_externo__eua__credito,drop_setor_externo__credito,0,0.9635669668620168,TRUE,2.1166328227151556,5,7,0,0.9641127527697232,TRUE,1.7975217887224526,5,7,0,0,0,1,0,0,1,0,FALSE,FALSE
eua,expectativas,drop_expectativas__eua,drop_expectativas,0,0.9761148621693976,FALSE,0.5598760284047191,4,5,0,0.9749404859500748,FALSE,0.20814561717501145,0,6,0,1,0,1,1,-1,3,1,FALSE,FALSE
eua,expectativas;fiscal,drop_fiscal__expectativas__eua,drop_fiscal__expectativas,0,0.9770500082738032,FALSE,0.5806540605838555,4,5,0,0.9759564651824476,TRUE,0.2170555056880724,0,6,0,1,1,1,1,-1,4,1,TRUE,FALSE
eua,expectativas;fiscal;imoveis,drop_fiscal__expectativas__eua__imoveis,drop_fiscal__expectativas__imoveis,1,0.9634391163871584,TRUE,0.8402367346549664,5,5,0,0.972645345896619,TRUE,0.258749444942399,0,6,1,-1,0,1,1,-1,3,2,FALSE,FALSE
