variant,r,q,p,variable,h,point,lo68,hi68,lo90,hi90
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,0,0.005,0.005,0.005,0.005,0.005
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,1,0.00366128873534098,0.00169262597857941,0.00533864337111709,1.446172779971314e-4,0.00591000257952353
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,2,7.582755052619605e-4,-0.00300486260447901,0.00384741784293055,-0.00591329632752517,0.00487291587794625
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,3,1.4770113719435798e-4,-0.00424998126628773,0.00461438150520929,-0.00803406963746767,0.0057381485049526
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,4,-0.00150608541531129,-0.00692978016690954,0.0038254635528064,-0.01130752203311624,0.00532571114480247
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,5,-0.00172379936031051,-0.00706784144048986,0.00405889137009551,-0.01252904004894139,0.00554398847899546
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,6,-0.00126410077369234,-0.00661826061211977,0.00480173331201295,-0.01185661478483896,0.00651257417066614
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,7,-0.00145512000422208,-0.00682958585199899,0.00466054857473158,-0.01265784956991678,0.00692581632488288
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,8,-0.00105361769234993,-0.00625242740395282,0.00525879739313537,-0.01229336430556427,0.00840041192573377
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,9,-3.465169813827995e-4,-0.00575340317497409,0.00584705269443389,-0.01175648754422525,0.00977998738250397
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,10,1.5674692958220714e-4,-0.00473398521228589,0.00626904634720975,-0.0108073079006771,0.01087611046703748
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,11,9.190594082784506e-4,-0.00347281026715689,0.00701599356396274,-0.00900197610364,0.01215612283536739
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,12,0.00170776488462324,-0.00254304757272131,0.00784882836125557,-0.00785229947665444,0.01346484670603298
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,13,0.00232459877378141,-0.00188218412270708,0.0086278333098887,-0.00699495316827,0.01445212195021293
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,14,0.00299215600208496,-0.00106238905602915,0.00922298156036667,-0.00589525970408319,0.01527054805967756
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,15,0.00359715736255242,-1.3939823393213982e-4,0.00989003786762423,-0.00516136669966402,0.01626327298319837
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,16,0.00407137702751405,3.959754233314822e-4,0.01028856378996384,-0.00425837728319916,0.01784631476903834
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,17,0.0045221862517903,7.82370311529176e-4,0.0110378333070339,-0.00295249257645857,0.01885035105921175
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,18,0.00488889062763683,0.00118459655111711,0.01135331224982475,-0.00230720279097237,0.01944741756093258
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,19,0.00514859309482013,0.00136411284409512,0.01150775688278968,-0.00187383377056628,0.01980965726171096
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,20,0.00535227587880725,0.0016319700095135,0.01183776357558615,-0.00157223212874802,0.02027479257584871
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,21,0.00547168671330938,0.00161344626640616,0.01202353381695668,-0.00171494555322371,0.02073307259875218
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,22,0.0055037317269457,0.00157371285979805,0.01209488566106537,-0.00186778392537575,0.02121416215741608
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,23,0.00547494562046433,0.00145502741109463,0.01191255987248671,-0.00176764490980506,0.02158349097763227
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,24,0.00537426362460124,0.00129149961277947,0.01205757114121544,-0.00183686807691696,0.02157166076762117
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,25,0.00520539057695593,0.0011702269144222,0.01216885798522168,-0.00230133900942201,0.02120005675485254
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,26,0.00498356359294299,9.156686036110464e-4,0.01185836945428171,-0.00270693170720368,0.02086902424546679
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,27,0.00470661885105887,6.591752855098868e-4,0.01144957177226642,-0.00330355221751872,0.02037320854176329
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,28,0.00438053443274313,4.190446591081472e-4,0.0110867473803037,-0.00392941365034736,0.01971794052688235
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,29,0.00401544405492431,6.16853719117159e-5,0.01065765090161082,-0.00458292511661543,0.01892715377828044
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,30,0.00361340548136313,-3.5185580813160166e-4,0.00987874805335912,-0.00550141375599252,0.01814976239403578
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,31,0.00318068283986843,-5.999112176692748e-4,0.00929383833788135,-0.00571778838923992,0.01747279509796397
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,32,0.00272479482986441,-9.396908353854308e-4,0.00870290444018604,-0.00607831274459604,0.01650055848787295
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,33,0.00224947519121475,-0.00141184804389289,0.00813946229903539,-0.0066151411650576,0.01586057268825259
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,34,0.00176048496155704,-0.0019165797698425,0.0075941300046735,-0.00742158148836603,0.01509446621649104
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,35,0.00126374489979291,-0.0024208530306626,0.00693565862332131,-0.0077932328440308,0.01413947646672884
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,36,7.633163935707923e-4,-0.00289394491096091,0.00623353852479498,-0.00841941688142593,0.01317094222279754
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,37,2.6411306845017067e-4,-0.00322939133600681,0.00564349172346772,-0.00936285338559374,0.0116548579178211
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,38,-2.291835206454306e-4,-0.00390263808155118,0.00515584120981681,-0.00983651802680027,0.010360483482877
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,39,-7.128993177273925e-4,-0.00428901207422482,0.00427305174115447,-0.01068427902173521,0.0097015948152375
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,40,-0.00118311829059821,-0.00470492651324829,0.00371176878596717,-0.01142723874735697,0.00879815279123598
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,41,-0.00163627796744462,-0.00522135015907887,0.00321406589756268,-0.01196424412536405,0.00774947334359462
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,42,-0.00206944804600174,-0.0057051958137154,0.00277469693631541,-0.01217231948508584,0.00664905403044127
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,43,-0.00247975964721251,-0.00635046072640076,0.00232154625366412,-0.01242819707876804,0.00614704960444047
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,44,-0.00286471733918494,-0.0067620078038543,0.00179560486927807,-0.01256827118263399,0.00538869292083263
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,45,-0.00322228542719996,-0.00747271260079158,0.00140908173301129,-0.01326593275568054,0.00489659645174258
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,46,-0.00355062655806895,-0.00782845157396749,9.364474831969836e-4,-0.01353947274648104,0.00450856645374464
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,47,-0.00384825650283667,-0.00817435352336695,6.331210703025641e-4,-0.01427892741237279,0.00414879856600466
conjunto_completo_sem_duplicatas,3,2,6,yield_6m,48,-0.00411405898007114,-0.00862485268924901,3.579226318214926e-4,-0.01504830531672981,0.00379169479566827
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,0,0.01116642186292538,0.00880128786708538,0.01325865416007428,0.0080926118928644,0.0178626416432325
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,1,0.01116972439177983,0.00782813059454707,0.01318462580014751,0.00656728733120993,0.0180209885642557
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,2,0.00776187498540497,0.00427246134784912,0.01031559571444016,0.00207324978310788,0.01296110082638577
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,3,0.00770455451096145,0.00310203766351169,0.01189969722346798,3.336882458078077e-4,0.01585105361918221
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,4,0.005973546796344,7.572870762371266e-4,0.01053462815944727,-0.00187263245787535,0.01433619437386653
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,5,0.00571429181088667,7.380334961801593e-4,0.01045354877686895,-0.00287843741246647,0.01423205712228191
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,6,0.00638980502851308,0.00125902495318975,0.01129770237462044,-0.00213492297506419,0.01604775702704646
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,7,0.00572477927986889,4.898574551813755e-4,0.01060255451924484,-0.00321218099128916,0.01531750228292711
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,8,0.00559419437599748,1.2057065183033116e-4,0.01051557436703272,-0.00348140100299083,0.01595912733134172
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,9,0.00598585488535388,5.082117847295434e-4,0.01118166520229536,-0.00317787408765269,0.01730197256118498
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,10,0.00597832511311692,5.528202953492815e-4,0.01105699867424947,-0.00309249511184428,0.01775532650925059
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,11,0.00624479032986594,8.947742690360902e-4,0.01157842189530946,-0.00264390375657372,0.01892735101660924
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,12,0.00662690002364204,0.00117658714842816,0.01211650646259878,-0.00198664800147613,0.01964929784261682
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,13,0.00672755986385662,0.00136269097614588,0.01223934109824988,-0.00206063841936879,0.02016219973291141
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,14,0.00688841768783828,0.00164993866022043,0.01258189653716575,-0.00191802077332155,0.02045253175956495
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,15,0.00702529874793944,0.00181620148607316,0.01294706313431483,-0.00169320242718514,0.02099480137146229
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,16,0.006988568916826,0.00172676587526394,0.01299636941689287,-0.00166070441216949,0.02156100235370888
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,17,0.00694817119047216,0.00174963922039962,0.01314195063557673,-0.00162078390918151,0.02169889451932291
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,18,0.00685095711762386,0.00183859977259958,0.01310458878026719,-0.00144677417545272,0.02160002082604605
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,19,0.00663802567939419,0.00148637206382637,0.01308518437639456,-0.00158415137231765,0.02137087721679647
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,20,0.00639171278058796,0.00124291009690117,0.01283832134001202,-0.00200173735750869,0.02147094830482084
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,21,0.00608526663095588,9.670351171366354e-4,0.01273980214514681,-0.00242726965882939,0.02162716812554323
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,22,0.00570139129388139,8.585506048740263e-4,0.01205896052940953,-0.00300637255400209,0.02104082680347652
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,23,0.00528261107104075,4.289659043744255e-4,0.01166422711592011,-0.00361840422844471,0.02066931103536067
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,24,0.00481757768547258,8.072648408839224e-5,0.01128506918358359,-0.0040831769726138,0.0202016428099983
conjunto_completo_sem_duplicatas,3,2,6,yield_2y,25,0.00430428937364331,-2.861171983616543e-4,0.01072106059539949,-0.00484000431630899,0.01991694768139786
