variant,r,q,p,n_series,n_months_full,n_obs_align_full,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable,bll_r,bll_q,correct_signs_full,sign_errors_full,bll_distance_full,admissible_full,admissible_rank,n_months_pre_covid,n_obs_align_pre_covid,xi_mp_pre_covid,f_robust_mp_pre_covid,max_companion_root_pre_covid,stable_pre_covid,normalized_rmse,sign_agreement,removed_blocks,n_blocks_removed,xi_gt_3_84_pre_covid,parsimony
drop_fiscal__eua,4,2,6,115,153,147,4.136696010590962,4.136696010590962,FALSE,NA,5.891098091079822,0.9764317170621224,TRUE,4,2,28,0,0,TRUE,1,84,78,4.101127657745717,3.791106342309429,1.028093682822771,FALSE,0.5377608218582723,1,fiscal;eua,2,TRUE,6
drop_fiscal__eua__credito,4,3,6,113,153,147,5.664229031000047,5.664229031000047,FALSE,NA,10.2964762365904,0.974464935288998,TRUE,4,3,23,5,0,TRUE,1,84,78,7.522811677440093,9.929169149031491,0.9927978106593296,TRUE,2.091657721989367,0.8571428571428571,fiscal;eua;credito,3,TRUE,7
drop_fiscal__eua__credito__imoveis,4,2,6,112,153,147,4.1118499264533765,4.1118499264533765,FALSE,NA,5.84809508085575,0.9671624430075784,TRUE,4,2,28,0,0,TRUE,1,84,78,5.304710930621082,5.740147759276064,0.9937704467241971,TRUE,0.6360846484909661,1,fiscal;eua;credito;imoveis,4,TRUE,6
drop_fiscal__eua__imoveis,4,2,6,114,153,147,4.372828345346446,4.372828345346446,FALSE,NA,6.318125574637093,0.9701970090404308,TRUE,4,2,28,0,0,TRUE,1,84,78,5.935938641247099,6.082690895934004,0.994675916141866,TRUE,0.6403688696511449,1,fiscal;eua;imoveis,3,TRUE,6
drop_fiscal__expectativas,3,2,6,116,153,147,4.310568841411437,4.310568841411437,FALSE,NA,6.602686374880641,0.9770500082738032,TRUE,3,2,24,4,0,TRUE,1,84,78,3.008234815838437,3.3766971790886213,0.9872069103092882,TRUE,0.5806540605838555,0.8857142857142857,fiscal;expectativas,2,FALSE,5
drop_fiscal__expectativas__credito,3,2,6,114,153,147,4.31467368429975,4.31467368429975,FALSE,NA,6.60978615685453,0.975639863038002,TRUE,3,2,23,5,0,TRUE,1,84,78,2.7179546143634195,3.091737754146554,0.9893868074805067,TRUE,0.6432086887619102,0.8571428571428571,fiscal;expectativas;credito,3,FALSE,5
drop_fiscal__expectativas__credito__imoveis,4,3,6,113,153,147,5.072242947796906,5.072242947796906,FALSE,NA,8.540594728873154,0.9624681336589764,TRUE,4,3,23,5,0,TRUE,1,84,78,5.901722743310186,7.302834287873855,0.9923710633123937,TRUE,2.5361469199846467,0.8571428571428571,fiscal;expectativas;credito;imoveis,4,TRUE,7
drop_fiscal__expectativas__eua,3,3,6,111,153,147,4.86949509883302,4.86949509883302,FALSE,NA,7.594594328414227,0.9759564651824476,TRUE,3,3,28,0,0,TRUE,1,84,78,4.563146481586132,6.190211743982958,0.9890856187874819,TRUE,0.2170555056880724,1,fiscal;expectativas;eua,3,TRUE,6
drop_fiscal__expectativas__eua__credito,3,3,6,109,153,147,5.16649856259873,5.16649856259873,FALSE,NA,8.314209123768137,0.9741769360898472,TRUE,3,3,28,0,0,TRUE,1,84,78,4.597125914745363,6.919774449775384,0.9909992773290003,TRUE,0.24253697325605966,1,fiscal;expectativas;eua;credito,4,TRUE,6
drop_fiscal__expectativas__eua__credito__imoveis,3,3,6,108,153,147,4.996546686901227,4.996546686901227,FALSE,NA,7.904484937747502,0.97045916960529,TRUE,3,3,28,0,0,TRUE,1,84,78,4.476811743559743,6.658845617387208,0.9908815905668855,TRUE,0.27812195295477066,1,fiscal;expectativas;eua;credito;imoveis,5,TRUE,6
drop_fiscal__expectativas__eua__imoveis,3,3,6,110,153,147,4.704133872309402,4.704133872309402,FALSE,NA,7.215564531779862,0.972645345896619,TRUE,3,3,28,0,0,TRUE,1,84,78,4.516329596989381,6.094254256060545,0.9896214502230041,TRUE,0.258749444942399,1,fiscal;expectativas;eua;imoveis,4,TRUE,6
drop_fiscal__expectativas__imoveis,4,1,6,115,153,147,3.981967563327226,3.981967563327226,FALSE,NA,4.427683471282848,0.9634391163871584,TRUE,4,2,23,5,1,TRUE,1,84,78,5.650420837871867,6.058277169510428,0.9912049829217922,TRUE,0.8402367346549664,0.8571428571428571,fiscal;expectativas;imoveis,3,TRUE,5
drop_fiscal__imoveis,4,2,6,119,153,147,4.029068858713357,4.029068858713357,FALSE,NA,5.68551003313487,0.9611000122060668,TRUE,4,2,28,0,0,TRUE,1,84,78,5.977280636714499,6.211452064362775,0.9975842984035107,TRUE,0.6064302151897054,1,fiscal;imoveis,2,TRUE,6
drop_fiscal__setor_externo,5,2,6,116,153,147,3.8849757820485658,3.8849757820485658,FALSE,NA,5.01263106730369,0.9637926309811332,TRUE,4,2,28,0,1,TRUE,1,84,78,3.6166353202936437,2.729206157201067,0.990416048464772,TRUE,0.5881654393871345,1,fiscal;setor_externo,2,FALSE,7
drop_fiscal__setor_externo__credito,4,3,6,114,153,147,5.307584155526731,5.307584155526731,FALSE,NA,9.27976845671138,0.96345760002706,TRUE,4,3,23,5,0,TRUE,1,84,78,7.690272645567713,10.331893334610076,0.993368507244307,TRUE,2.9478757969059775,0.8571428571428571,fiscal;setor_externo;credito,3,TRUE,7
drop_fiscal__setor_externo__credito__imoveis,4,1,6,113,153,147,4.5962016033345945,4.5962016033345945,FALSE,NA,5.550762585669326,0.963621845294528,TRUE,4,2,23,5,1,TRUE,1,84,78,5.222687146672083,5.174375315797712,0.9937636360474452,TRUE,0.7859897817462954,0.8571428571428571,fiscal;setor_externo;credito;imoveis,4,TRUE,5
drop_fiscal__setor_externo__eua,4,3,6,111,153,147,5.523798159488088,5.523798159488088,FALSE,NA,9.787214525433974,0.9753143377515132,TRUE,4,3,23,5,0,TRUE,1,84,78,5.859854359817033,7.96471363225378,0.9831871528096046,TRUE,1.9512660784745444,0.8571428571428571,fiscal;setor_externo;eua,3,TRUE,7
drop_fiscal__setor_externo__eua__credito,5,2,6,109,153,147,4.188231242418869,4.188231242418869,FALSE,NA,5.388663960048888,0.9726386024487456,TRUE,5,2,28,0,0,TRUE,1,84,78,5.250998964044126,3.87799598483795,0.9988718600315772,TRUE,0.6244144251724459,0.9714285714285714,fiscal;setor_externo;eua;credito,4,TRUE,7
drop_fiscal__setor_externo__eua__credito__imoveis,5,2,6,108,153,147,4.607365400146094,4.607365400146094,FALSE,NA,6.157108431481886,0.9654452427230829,TRUE,5,2,28,0,0,TRUE,1,84,78,6.802201639885078,4.950116506628678,0.9954828846307106,TRUE,0.4009045425208819,0.9714285714285714,fiscal;setor_externo;eua;credito;imoveis,5,TRUE,7
drop_fiscal__setor_externo__eua__imoveis,5,2,6,110,153,147,4.689902787877854,4.689902787877854,FALSE,NA,6.329591526564891,0.9653477002074417,TRUE,5,2,28,0,0,TRUE,1,84,78,3.4354427768525357,2.646030709285552,0.9884979274789285,TRUE,0.5409969210625952,1,fiscal;setor_externo;eua;imoveis,4,FALSE,7
drop_fiscal__setor_externo__expectativas,4,3,6,112,153,147,4.8697727044476675,4.8697727044476675,FALSE,NA,7.94484982913713,0.9598993791642038,TRUE,4,3,23,5,0,TRUE,1,84,78,2.330089473072139,2.158048398941792,0.9910707682358637,TRUE,2.222914971066318,0.8571428571428571,fiscal;setor_externo;expectativas,3,FALSE,7
drop_fiscal__setor_externo__expectativas__credito,4,3,6,110,153,147,4.835471249576131,4.835471249576131,FALSE,NA,7.978765449715744,0.9594563510738922,TRUE,4,3,23,5,0,TRUE,1,84,78,4.539037462103925,4.64449660846299,0.990816158901496,TRUE,2.0741554604575287,0.8571428571428571,fiscal;setor_externo;expectativas;credito,4,TRUE,7
drop_fiscal__setor_externo__expectativas__credito__imoveis,5,1,6,109,153,147,5.5060687145521525,5.5060687145521525,FALSE,NA,7.22060988067676,0.968766693226692,TRUE,5,2,28,0,1,TRUE,1,84,78,5.491715798639133,4.98521630665326,0.9923279376202286,TRUE,0.5347003604971458,1,fiscal;setor_externo;expectativas;credito;imoveis,5,TRUE,6
drop_fiscal__setor_externo__expectativas__eua,5,1,6,107,153,147,4.670943750522802,4.670943750522802,FALSE,NA,5.479384719814665,0.969537103663611,TRUE,5,2,28,0,1,TRUE,1,84,78,4.489182055804751,3.8395249684970834,0.9912656908571603,TRUE,0.9673131352645945,1,fiscal;setor_externo;expectativas;eua,4,TRUE,6
drop_fiscal__setor_externo__expectativas__eua__credito,5,4,6,105,153,147,4.429222183960549,4.429222183960549,TRUE,0,5.981583670030101,0.969664016963238,TRUE,5,3,24,4,1,TRUE,1,84,78,8.093498914483874,8.582926602255146,0.9986987251073111,TRUE,1.6031268418600662,0.8285714285714285,fiscal;setor_externo;expectativas;eua;credito,5,TRUE,9
drop_fiscal__setor_externo__expectativas__eua__imoveis,5,2,6,106,153,147,4.020738267771502,4.020738267771502,FALSE,NA,5.1324546808698734,0.965575971118077,TRUE,5,2,28,0,0,TRUE,1,84,78,4.034005649124394,3.501318872043243,0.991343817625073,TRUE,0.5645926638913339,1,fiscal;setor_externo;expectativas;eua;imoveis,5,TRUE,7
drop_fiscal__setor_externo__expectativas__imoveis,4,3,6,111,153,147,4.964716279377314,4.964716279377314,FALSE,NA,8.15517450569774,0.9661208610569956,TRUE,4,3,23,5,0,TRUE,1,84,78,6.45456372649089,7.725474620555741,0.9871850100932049,TRUE,3.1253785203263877,0.8571428571428571,fiscal;setor_externo;expectativas;imoveis,4,TRUE,7
drop_fiscal__setor_externo__imoveis,4,2,6,115,153,147,3.954067030799612,3.954067030799612,FALSE,NA,5.500568067717089,0.9650608116930608,TRUE,4,2,28,0,0,TRUE,1,84,78,5.575741905805169,5.187247291057332,0.9921315842326073,TRUE,0.543944831812363,1,fiscal;setor_externo;imoveis,3,TRUE,6
drop_imoveis,4,3,6,122,153,147,5.1184132177780555,5.1184132177780555,FALSE,NA,8.60179684747106,0.9661458014093424,TRUE,4,2,23,5,1,TRUE,1,84,78,9.65313123874441,11.136970977025607,1.0005452246060942,FALSE,2.999611787095951,0.8571428571428571,imoveis,1,TRUE,7
drop_setor_externo,4,1,6,119,153,147,4.106983377077429,4.106983377077429,FALSE,NA,4.9686859716001806,0.96521200900006765,TRUE,4,2,24,4,1,TRUE,1,84,78,4.099264766093553,3.5576664022266233,0.9925908691924592,TRUE,0.7690826703179668,0.8857142857142857,setor_externo,1,TRUE,5
drop_setor_externo__credito,4,3,6,117,153,147,4.98142976025971,4.98142976025971,FALSE,NA,8.315109737594414,0.9635669668620168,TRUE,4,3,23,5,0,TRUE,1,84,78,9.521540382307322,11.218030313262302,0.9966505111362008,TRUE,2.1166328227151556,0.8571428571428571,setor_externo;credito,2,TRUE,7
drop_setor_externo__credito__imoveis,4,3,6,116,153,147,5.067908940771744,5.067908940771744,FALSE,NA,8.555405137307096,0.9663421226331856,TRUE,4,3,23,5,0,TRUE,1,84,78,8.81264110412475,10.261849382401497,0.9952580073967413,TRUE,4.190940566595036,0.8571428571428571,setor_externo;credito;imoveis,3,TRUE,7
drop_setor_externo__eua,4,3,6,114,153,147,5.1662771215462575,5.1662771215462575,FALSE,NA,8.752981848507755,0.967482284267226,TRUE,4,3,23,5,0,TRUE,1,84,78,10.877123969869077,12.789854705388835,0.9939825438533855,TRUE,1.2242183564372164,0.8571428571428571,setor_externo;eua,2,TRUE,7
drop_setor_externo__eua__credito,4,3,6,112,153,147,5.133740803025478,5.133740803025478,FALSE,NA,8.75671953618847,0.9641127527697232,TRUE,4,3,23,5,0,TRUE,1,84,78,8.967383578667908,9.511618252946803,0.995822011089353,TRUE,1.7975217887224526,0.8571428571428571,setor_externo;eua;credito,3,TRUE,7
drop_setor_externo__eua__credito__imoveis,5,1,6,111,153,147,4.47678310592323,4.47678310592323,FALSE,NA,5.425110503029267,0.9648576865195532,TRUE,5,2,27,1,1,TRUE,1,84,78,6.400390867946822,4.798818571735146,1.000201706763082,FALSE,0.5486118665991587,1,setor_externo;eua;credito;imoveis,4,TRUE,6
drop_setor_externo__eua__imoveis,4,3,6,113,153,147,5.21284066184602,5.21284066184602,FALSE,NA,8.868475055770595,0.9579991855921876,TRUE,4,3,23,5,0,TRUE,1,84,78,9.172237000096143,8.950970952207138,0.9943676944905081,TRUE,2.80078180373254,0.8571428571428571,setor_externo;eua;imoveis,3,TRUE,7
drop_setor_externo__expectativas,4,3,6,115,153,147,4.488309696434495,4.488309696434495,FALSE,NA,6.953404661484519,0.965162110792472,TRUE,4,3,23,5,0,TRUE,1,84,78,3.7915846233302735,3.1766700954757776,0.9925715421954054,TRUE,1.4727193088784232,0.8285714285714285,setor_externo;expectativas,2,FALSE,7
drop_setor_externo__expectativas__credito,4,3,6,113,153,147,4.392186068819207,4.392186068819207,FALSE,NA,6.799411386613936,0.9634154477790688,TRUE,4,3,23,5,0,TRUE,1,84,78,8.085926892840918,7.893679116649647,0.9919280986431889,TRUE,1.4390028576025229,0.8571428571428571,setor_externo;expectativas;credito,3,TRUE,7
drop_setor_externo__expectativas__credito__imoveis,4,3,6,112,153,147,4.521132015298254,4.521132015298254,FALSE,NA,7.1270769410149,0.9660994894978552,TRUE,4,3,23,5,0,TRUE,1,84,78,6.042197110621316,6.735108827899289,0.9897202973964733,TRUE,2.2585552660481643,0.8571428571428571,setor_externo;expectativas;credito;imoveis,4,TRUE,7
drop_setor_externo__expectativas__eua,4,3,6,110,153,147,4.707399788218708,4.707399788218708,FALSE,NA,7.457363094952262,0.96510387438142,TRUE,4,3,23,5,0,TRUE,1,84,78,3.737680190561516,3.1752086104389687,0.9816586435323503,TRUE,1.5484872221607642,0.8571428571428571,setor_externo;expectativas;eua,3,FALSE,7
drop_setor_externo__expectativas__eua__credito,5,1,6,108,153,147,4.658534610935667,4.658534610935667,FALSE,NA,5.680133398700712,0.9608650036505664,TRUE,5,2,27,1,1,TRUE,1,84,78,4.954090098516229,4.22972800620851,1.0082003505989634,FALSE,0.6807706429323085,0.9714285714285714,setor_externo;expectativas;eua;credito,4,TRUE,6
drop_setor_externo__expectativas__eua__credito__imoveis,5,1,6,107,153,147,4.590307494776629,4.590307494776629,FALSE,NA,5.548327014929719,0.9638244720150816,TRUE,5,2,26,2,1,TRUE,1,84,78,5.11190083640047,4.326797539771121,1.0085603754784367,FALSE,0.6805656317173773,0.9428571428571428,setor_externo;expectativas;eua;credito;imoveis,5,TRUE,6
drop_setor_externo__expectativas__eua__imoveis,5,1,6,109,153,147,4.322046673564953,4.322046673564953,FALSE,NA,5.033259155695018,0.9660723908625618,TRUE,5,2,27,1,1,TRUE,1,84,78,4.0586159934720145,3.261067581303468,0.9987695995780355,TRUE,0.7600925858891476,0.9714285714285714,setor_externo;expectativas;eua;imoveis,4,TRUE,6
drop_setor_externo__expectativas__imoveis,4,3,6,114,153,147,4.597253567130936,4.597253567130936,FALSE,NA,7.227265582625298,0.9677370429187756,TRUE,4,3,23,5,0,TRUE,1,84,78,7.906732233143188,7.355390507046401,0.9886200320697648,TRUE,2.0273704856930306,0.8571428571428571,setor_externo;expectativas;imoveis,3,TRUE,7
drop_setor_externo__imoveis,4,1,6,118,153,147,3.97187680298431,3.97187680298431,FALSE,NA,4.7076403174398775,0.9680429523482948,TRUE,4,2,24,4,1,TRUE,1,84,78,5.244601155863707,4.841270244561539,0.9935525059902006,TRUE,0.7810693966695851,0.8857142857142857,setor_externo;imoveis,2,TRUE,5
