variant,r,q,variable,h,point_pre_covid
drop_credito,4,1,yield_5y,6,0.0025137598069014467
drop_credito,4,1,asset_ibov,0,-12.643333901814922
drop_credito,4,1,asset_ibov,1,-24.64797855760223
drop_credito,4,1,asset_ibov,2,-28.84408645653245
drop_credito,4,1,asset_ibov,3,-35.91933028490255
drop_credito,4,1,asset_ibov,4,-42.69376608597186
drop_credito,4,1,asset_ibov,5,-45.311906903120544
drop_credito,4,1,asset_ibov,6,-49.925306465193344
drop_credito,4,1,cambio_usd,0,0.22291912484381893
drop_credito,4,1,cambio_usd,1,0.25159002717934426
drop_credito,4,1,cambio_usd,2,0.14056321438583708
drop_credito,4,1,cambio_usd,3,0.15711823316074855
drop_credito,4,1,cambio_usd,4,0.13412187784336915
drop_credito,4,1,cambio_usd,5,0.04150227023640236
drop_credito,4,1,cambio_usd,6,0.028613201045839698
drop_credito__imoveis,4,1,yield_6m,0,0.005
drop_credito__imoveis,4,1,yield_6m,1,0.0051467415676536635
drop_credito__imoveis,4,1,yield_6m,2,0.003757867029150584
drop_credito__imoveis,4,1,yield_6m,3,0.004881013779271925
drop_credito__imoveis,4,1,yield_6m,4,0.0025674858524226385
drop_credito__imoveis,4,1,yield_6m,5,7.409785877407492e-4
drop_credito__imoveis,4,1,yield_6m,6,0.0012097174781433456
drop_credito__imoveis,4,1,yield_2y,0,0.009926916717793948
drop_credito__imoveis,4,1,yield_2y,1,0.010625938673092996
drop_credito__imoveis,4,1,yield_2y,2,0.006851239133722642
drop_credito__imoveis,4,1,yield_2y,3,0.008731656775386475
drop_credito__imoveis,4,1,yield_2y,4,0.00558462286191928
drop_credito__imoveis,4,1,yield_2y,5,0.0018098398872725455
drop_credito__imoveis,4,1,yield_2y,6,0.0023508635199960496
drop_credito__imoveis,4,1,yield_5y,0,0.012818947280779994
drop_credito__imoveis,4,1,yield_5y,1,0.013460819865689333
drop_credito__imoveis,4,1,yield_5y,2,0.008271500174458723
drop_credito__imoveis,4,1,yield_5y,3,0.010475662085464363
drop_credito__imoveis,4,1,yield_5y,4,0.007508411636964822
drop_credito__imoveis,4,1,yield_5y,5,0.0028834345603984835
drop_credito__imoveis,4,1,yield_5y,6,0.003259614484922437
drop_credito__imoveis,4,1,asset_ibov,0,-11.35537014107986
drop_credito__imoveis,4,1,asset_ibov,1,-22.617749778625182
drop_credito__imoveis,4,1,asset_ibov,2,-26.92154099061131
drop_credito__imoveis,4,1,asset_ibov,3,-34.307212852812036
drop_credito__imoveis,4,1,asset_ibov,4,-41.371683506144876
drop_credito__imoveis,4,1,asset_ibov,5,-44.84638339725115
drop_credito__imoveis,4,1,asset_ibov,6,-50.25883798619593
drop_credito__imoveis,4,1,cambio_usd,0,0.20036047162529005
drop_credito__imoveis,4,1,cambio_usd,1,0.2268887796967898
drop_credito__imoveis,4,1,cambio_usd,2,0.12957673524831395
drop_credito__imoveis,4,1,cambio_usd,3,0.1513738861966634
drop_credito__imoveis,4,1,cambio_usd,4,0.1268563518130737
drop_credito__imoveis,4,1,cambio_usd,5,0.0461312157047031
drop_credito__imoveis,4,1,cambio_usd,6,0.03708646883739351
drop_eua,4,3,yield_6m,0,0.005
drop_eua,4,3,yield_6m,1,0.005251921052129769
drop_eua,4,3,yield_6m,2,0.005916713507597284
drop_eua,4,3,yield_6m,3,0.007414588440331743
drop_eua,4,3,yield_6m,4,0.0067818948543007995
drop_eua,4,3,yield_6m,5,0.0069907289137792214
drop_eua,4,3,yield_6m,6,0.008054443474354836
drop_eua,4,3,yield_2y,0,0.007221685803395558
drop_eua,4,3,yield_2y,1,0.007973969490693532
drop_eua,4,3,yield_2y,2,0.007618315236103178
drop_eua,4,3,yield_2y,3,0.009182649684768656
drop_eua,4,3,yield_2y,4,0.007958023813063068
drop_eua,4,3,yield_2y,5,0.0077596562109973205
drop_eua,4,3,yield_2y,6,0.008742105531651926
drop_eua,4,3,yield_5y,0,0.00763182172240871
drop_eua,4,3,yield_5y,1,0.008393378881973222
drop_eua,4,3,yield_5y,2,0.007243078705862325
drop_eua,4,3,yield_5y,3,0.00836690768554496
drop_eua,4,3,yield_5y,4,0.006961200772708761
drop_eua,4,3,yield_5y,5,0.006501151754968194
drop_eua,4,3,yield_5y,6,0.007084513082947746
drop_eua,4,3,asset_ibov,0,-4.476643964950416
drop_eua,4,3,asset_ibov,1,-10.410084771077827
drop_eua,4,3,asset_ibov,2,-13.587259456197243
drop_eua,4,3,asset_ibov,3,-18.33503744979224
drop_eua,4,3,asset_ibov,4,-23.363260188465034
drop_eua,4,3,asset_ibov,5,-28.54350344095543
drop_eua,4,3,asset_ibov,6,-34.85542227231675
drop_eua,4,3,cambio_usd,0,0.09468881714012607
drop_eua,4,3,cambio_usd,1,0.11413442685651076
drop_eua,4,3,cambio_usd,2,0.07443465427975009
drop_eua,4,3,cambio_usd,3,0.07586411902707747
drop_eua,4,3,cambio_usd,4,0.048937853528163586
drop_eua,4,3,cambio_usd,5,0.031049200463775916
drop_eua,4,3,cambio_usd,6,0.026390342361650006
drop_eua__credito,4,3,yield_6m,0,0.005
drop_eua__credito,4,3,yield_6m,1,0.0046705616856997706
drop_eua__credito,4,3,yield_6m,2,0.0039696978551750665
drop_eua__credito,4,3,yield_6m,3,0.0043646981973809165
drop_eua__credito,4,3,yield_6m,4,0.002092405107845935
drop_eua__credito,4,3,yield_6m,5,4.0640132875549367e-4
drop_eua__credito,4,3,yield_6m,6,2.7645612748245353e-4
drop_eua__credito,4,3,yield_2y,0,0.008305194225083698
