variant,r,q,p,n_series,n_months,n_obs_align,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable
drop_eua__credito,3,2,6,116,153,147,4.41013149737643,4.41013149737643,FALSE,NA,7.091065299144505,0.9731472904320181,TRUE
drop_eua__credito,4,3,6,116,153,147,5.225122008235862,5.225122008235862,FALSE,NA,8.952480338866254,0.966152845317509,TRUE
drop_eua__credito,5,3,6,116,153,147,2.691675720575395,2.691675720575395,TRUE,0,3.0621333910463733,0.9623793906222659,TRUE
drop_eua__credito,6,2,6,116,153,147,2.3674655833300453,2.3674655833300453,FALSE,NA,2.197802365662099,0.975078357576807,TRUE
drop_eua__credito,6,6,6,116,153,147,7.112463703704007,7.112463703704007,TRUE,0,8.307316650153037,0.975078357576807,TRUE
drop_eua__credito,7,4,6,116,153,147,6.032006767412115,6.032006767412115,TRUE,0,6.025454740433635,0.9728901711908062,TRUE
drop_eua__credito,8,1,6,116,153,147,3.4490396293388015,3.4490396293388015,FALSE,NA,2.8239082069148864,0.9773671297353417,TRUE
drop_eua__credito,8,5,6,116,153,147,8.003469202991498,8.003469202991498,TRUE,0,8.687310191217698,0.9773671297353417,TRUE
drop_eua__credito__imoveis,1,1,6,115,153,147,3.3553216991823134,3.3553216991823134,FALSE,NA,4.749524283820974,0.8845843763400506,TRUE
drop_eua__credito__imoveis,3,2,6,115,153,147,4.29518493104751,4.29518493104751,FALSE,NA,6.841290785460431,0.969450321879172,TRUE
drop_eua__credito__imoveis,4,3,6,115,153,147,5.2824659935462694,5.2824659935462694,FALSE,NA,9.121230199589524,0.9574852068848737,TRUE
drop_eua__credito__imoveis,5,3,6,115,153,147,3.03370412430448,3.03370412430448,TRUE,0,3.5567794081647732,0.9653148192314355,TRUE
drop_eua__credito__imoveis,6,2,6,115,153,147,2.5340977632548856,2.5340977632548856,FALSE,NA,2.34562294289777,0.971179228428503,TRUE
drop_eua__credito__imoveis,6,6,6,115,153,147,7.464932561954773,7.464932561954773,TRUE,0,8.766990341218714,0.971179228428503,TRUE
drop_eua__credito__imoveis,7,4,6,115,153,147,6.1529182868149634,6.1529182868149634,TRUE,0,6.1083390669804,0.9694806893812338,TRUE
drop_eua__credito__imoveis,8,1,6,115,153,147,3.2036976178048597,3.2036976178048597,FALSE,NA,2.5712687653586106,0.9730152444454587,TRUE
drop_eua__credito__imoveis,8,5,6,115,153,147,8.25720899070369,8.25720899070369,TRUE,0,8.983255957204134,0.9730152444454587,TRUE
drop_eua__imoveis,1,1,6,117,153,147,3.077422115588989,3.077422115588989,FALSE,NA,4.139604186317778,0.8840114760520343,TRUE
drop_eua__imoveis,3,2,6,117,153,147,4.330125933742434,4.330125933742434,FALSE,NA,6.94780599799482,0.9720439489997864,TRUE
drop_eua__imoveis,4,3,6,117,153,147,5.3234686177195325,5.3234686177195325,FALSE,NA,9.118197272686418,0.9607886804312347,TRUE
drop_eua__imoveis,5,3,6,117,153,147,3.1984090072888396,3.1984090072888396,TRUE,0,3.833252383995865,0.9663082541145319,TRUE
drop_eua__imoveis,6,2,6,117,153,147,2.6916892094093288,2.6916892094093288,FALSE,NA,2.5536008679248665,0.9677934257550872,TRUE
drop_eua__imoveis,6,6,6,117,153,147,6.805085583700509,6.805085583700509,TRUE,0,7.723062879714656,0.9677934257550872,TRUE
drop_eua__imoveis,7,4,6,117,153,147,6.1177498846149385,6.1177498846149385,TRUE,0,6.226695003146172,0.9647967961888112,TRUE
drop_eua__imoveis,8,1,6,117,153,147,3.2911058142596312,3.2911058142596312,FALSE,NA,2.692536451676486,0.9778716880329403,TRUE
drop_eua__imoveis,8,5,6,117,153,147,8.061688170984569,8.061688170984569,TRUE,0,9.13440425353399,0.9778716880329403,TRUE
drop_expectativas,1,1,6,119,153,147,3.446113876411383,3.446113876411383,FALSE,NA,4.825631786235522,0.8924506979660353,TRUE
drop_expectativas,3,2,6,119,153,147,3.9474879050853797,3.9474879050853797,FALSE,NA,5.8618660790341535,0.9761148621693976,TRUE
drop_expectativas,4,3,6,119,153,147,4.619431351182712,4.619431351182712,FALSE,NA,7.240685681753393,0.9633122044329772,TRUE
drop_expectativas,5,3,6,119,153,147,2.324665729006022,2.324665729006022,TRUE,0,2.611869020303402,0.9638987819861986,TRUE
drop_expectativas,6,2,6,119,153,147,2.4743824710330564,2.4743824710330564,FALSE,NA,2.65737715031932,0.9696355828672314,TRUE
drop_expectativas,6,6,6,119,153,147,5.6086583443648586,5.6086583443648586,TRUE,0,7.4180077379248495,0.9696355828672314,TRUE
drop_expectativas,7,4,6,119,153,147,3.7949540431272393,3.7949540431272393,TRUE,0,3.4338912938222417,0.9805983690324143,TRUE
drop_expectativas,8,1,6,119,153,147,4.504951176178237,4.504951176178237,FALSE,NA,3.9323131398934956,0.985640774143854,TRUE
drop_expectativas,8,5,6,119,153,147,5.489585813531724,5.489585813531724,TRUE,0,5.5783580326904465,0.985640774143854,TRUE
drop_expectativas__credito,1,1,6,117,153,147,3.720220711936769,3.720220711936769,FALSE,NA,5.484699449614803,0.893580816500974,TRUE
drop_expectativas__credito,3,2,6,117,153,147,3.9174433544528315,3.9174433544528315,FALSE,NA,5.777180203025785,0.9743774067119501,TRUE
drop_expectativas__credito,4,3,6,117,153,147,4.478181723657827,4.478181723657827,FALSE,NA,6.970476470067796,0.9616483301895459,TRUE
drop_expectativas__credito,5,3,6,117,153,147,2.1480835321838714,2.1480835321838714,TRUE,0,2.3601878249743757,0.9621560263269369,TRUE
drop_expectativas__credito,6,2,6,117,153,147,1.7514607101725803,1.7514607101725803,FALSE,NA,1.69508660549983,0.9747488482795272,TRUE
drop_expectativas__credito,6,6,6,117,153,147,6.027856840475218,6.027856840475218,TRUE,0,7.9050074044828165,0.9747488482795272,TRUE
drop_expectativas__credito,7,4,6,117,153,147,3.542900077168728,3.5429000771687282,TRUE,4.440892098500626e-16,3.1721338804606654,0.983452898990452,TRUE
drop_expectativas__credito,8,1,6,117,153,147,4.777702736498691,4.777702736498691,FALSE,NA,4.189928708885567,0.9874729792049654,TRUE
drop_expectativas__credito,8,5,6,117,153,147,5.509962915943526,5.509962915943526,TRUE,0,5.5506566142582106,0.9874729792049654,TRUE
drop_expectativas__credito__imoveis,1,1,6,116,153,147,3.702211255170771,3.702211255170771,FALSE,NA,5.443238947598736,0.8923659190991782,TRUE
drop_expectativas__credito__imoveis,3,2,6,116,153,147,3.8065315146650556,3.8065315146650556,FALSE,NA,5.56397565354181,0.971392298939412,TRUE
drop_expectativas__credito__imoveis,4,3,6,116,153,147,4.623241131217983,4.623241131217983,FALSE,NA,7.339098753049877,0.9642017336567056,TRUE
drop_expectativas__credito__imoveis,5,3,6,116,153,147,2.3267436925184706,2.3267436925184706,TRUE,0,2.6118557434407355,0.9642029392324809,TRUE
drop_expectativas__credito__imoveis,6,2,6,116,153,147,2.2039338876358747,2.2039338876358747,FALSE,NA,2.2320454274328183,0.9732605801116141,TRUE
drop_expectativas__credito__imoveis,6,6,6,116,153,147,6.205597630598946,6.205597630598946,TRUE,0,8.422524608596357,0.9732605801116141,TRUE
drop_expectativas__credito__imoveis,7,4,6,116,153,147,3.5058162513290623,3.5058162513290623,TRUE,0,3.079480974100113,0.9810907822189613,TRUE
drop_expectativas__credito__imoveis,8,1,6,116,153,147,4.643301599041373,4.643301599041373,FALSE,NA,3.9675449762370123,0.9867576339664479,TRUE
drop_expectativas__credito__imoveis,8,5,6,116,153,147,5.694415194964381,5.694415194964381,TRUE,0,5.753182975712915,0.9867576339664479,TRUE
drop_expectativas__eua,1,1,6,114,153,147,3.013726393041492,3.013726393041492,FALSE,NA,3.937049968838815,0.8821294854859613,TRUE
drop_expectativas__eua,3,2,6,114,153,147,4.18385580628054,4.18385580628054,FALSE,NA,6.5122478117827365,0.9749404859500749,TRUE
drop_expectativas__eua,4,3,6,114,153,147,4.874301710309997,4.874301710309997,FALSE,NA,7.818177306807605,0.9670684372672281,TRUE
drop_expectativas__eua,5,3,6,114,153,147,2.503587559264888,2.503587559264888,TRUE,0,2.819674148756379,0.9624886327546552,TRUE
drop_expectativas__eua,6,2,6,114,153,147,2.5115533456280428,2.5115533456280428,FALSE,NA,2.479018749258025,0.9715284802184556,TRUE
drop_expectativas__eua,6,6,6,114,153,147,6.2862546554130185,6.2862546554130185,TRUE,0,7.381092136979724,0.9715284802184556,TRUE
drop_expectativas__eua,7,4,6,114,153,147,5.733481221555315,5.733481221555315,TRUE,0,5.418173860406354,0.9769466392707352,TRUE
drop_expectativas__eua,8,1,6,114,153,147,3.8627768198812626,3.8627768198812626,FALSE,NA,3.1420373542600517,0.982837044727563,TRUE
drop_expectativas__eua,8,5,6,114,153,147,7.658082994308443,7.658082994308443,TRUE,0,8.194094859219641,0.982837044727563,TRUE
drop_expectativas__eua__credito,1,1,6,112,153,147,3.313986938021801,3.313986938021801,FALSE,NA,4.566214385617787,0.8831164090801211,TRUE
drop_expectativas__eua__credito,3,2,6,112,153,147,4.133485427077835,4.133485427077835,FALSE,NA,6.373975409501794,0.9728113949412084,TRUE
drop_expectativas__eua__credito,4,3,6,112,153,147,4.6839306743905045,4.6839306743905045,FALSE,NA,7.420690588313736,0.9638284809759441,TRUE
drop_expectativas__eua__credito,5,3,6,112,153,147,2.289022758834666,2.289022758834666,TRUE,0,2.5207103576103354,0.9614677466587547,TRUE
drop_expectativas__eua__credito,6,2,6,112,153,147,1.88849156881215,1.88849156881215,FALSE,NA,1.7366936914370326,0.9777144218349382,TRUE
drop_expectativas__eua__credito,6,6,6,112,153,147,6.7688632111295135,6.7688632111295135,TRUE,0,7.981813610174848,0.9777144218349382,TRUE
drop_expectativas__eua__credito,7,4,6,112,153,147,5.084489958932665,5.084489958932665,TRUE,0,4.608483759069048,0.981540495842598,TRUE
drop_expectativas__eua__credito,8,1,6,112,153,147,3.8140879568491424,3.8140879568491424,FALSE,NA,3.0501924083603473,0.9761562328136296,TRUE
drop_expectativas__eua__credito,8,5,6,112,153,147,7.715647601896557,7.715647601896557,TRUE,0,7.919661382745446,0.9761562328136296,TRUE
drop_expectativas__eua__credito__imoveis,1,1,6,111,153,147,3.3017960622605984,3.3017960622605984,FALSE,NA,4.540615182744115,0.8823317503604864,TRUE
drop_expectativas__eua__credito__imoveis,3,2,6,111,153,147,4.013561304076796,4.013561304076796,FALSE,NA,6.130240474294663,0.9689529278123771,TRUE
drop_expectativas__eua__credito__imoveis,4,3,6,111,153,147,4.809208653599312,4.809208653599312,FALSE,NA,7.770367718609672,0.9547782715856388,TRUE
drop_expectativas__eua__credito__imoveis,5,3,6,111,153,147,2.477597914775705,2.477597914775705,TRUE,0,2.77571678109376,0.9637586516821071,TRUE
drop_expectativas__eua__credito__imoveis,6,2,6,111,153,147,2.091644305414608,2.091644305414608,FALSE,NA,1.935976198516287,0.9754989113273197,TRUE
drop_expectativas__eua__credito__imoveis,6,6,6,111,153,147,7.08710099909016,7.08710099909016,TRUE,0,8.452289210430406,0.9754989113273197,TRUE
drop_expectativas__eua__credito__imoveis,7,4,6,111,153,147,5.428457972602018,5.428457972602018,TRUE,0,4.967031863080384,0.9788825780568449,TRUE
drop_expectativas__eua__credito__imoveis,8,1,6,111,153,147,3.5427765887575298,3.5427765887575298,FALSE,NA,2.8059766247165228,0.9757347998005677,TRUE
drop_expectativas__eua__credito__imoveis,8,5,6,111,153,147,8.028484094638479,8.028484094638479,TRUE,0,8.35289714412235,0.9757347998005677,TRUE
drop_expectativas__eua__imoveis,1,1,6,113,153,147,3.0048032840954737,3.0048032840954737,FALSE,NA,3.919970161404179,0.8816094448805668,TRUE
drop_expectativas__eua__imoveis,3,2,6,113,153,147,4.054091050974588,4.054091050974588,FALSE,NA,6.237249032980905,0.9715139710584743,TRUE
drop_expectativas__eua__imoveis,4,3,6,113,153,147,4.9868697962443855,4.9868697962443855,FALSE,NA,8.124379269765818,0.9583287648332359,TRUE
drop_expectativas__eua__imoveis,5,3,6,113,153,147,2.7276278379337913,2.7276278379337913,TRUE,0,3.1367258377014164,0.965673874603755,TRUE
drop_expectativas__eua__imoveis,6,2,6,113,153,147,2.4909083541639294,2.4909083541639294,FALSE,NA,2.429417493852628,0.9709053233645516,TRUE
drop_expectativas__eua__imoveis,6,6,6,113,153,147,6.573765264764367,6.573765264764367,TRUE,0,7.728448660045338,0.9709053233645516,TRUE
drop_expectativas__eua__imoveis,7,4,6,113,153,147,5.935310019378552,5.935310019378552,TRUE,0,5.6541227579106845,0.974513553008738,TRUE
drop_expectativas__eua__imoveis,8,1,6,113,153,147,3.7197472985107765,3.7197472985107765,FALSE,NA,3.0258800736670226,0.9786954698686604,TRUE
drop_expectativas__eua__imoveis,8,5,6,113,153,147,7.878497717133971,7.878497717133971,TRUE,0,8.555462537259173,0.9786954698686604,TRUE
drop_expectativas__imoveis,1,1,6,118,153,147,3.4299836220968474,3.4299836220968474,FALSE,NA,4.791411361768054,0.8914560201439572,TRUE
drop_expectativas__imoveis,3,2,6,118,153,147,3.827272406843271,3.827272406843271,FALSE,NA,5.623198010144133,0.9734897345999673,TRUE
drop_expectativas__imoveis,4,3,6,118,153,147,4.743174217689567,4.743174217689567,FALSE,NA,7.556915160268741,0.9659255498696027,TRUE
drop_expectativas__imoveis,5,3,6,118,153,147,2.5014101442093546,2.5014101442093546,TRUE,0,2.8727200636702706,0.9669574995473044,TRUE
drop_expectativas__imoveis,6,2,6,118,153,147,2.6148100429675405,2.6148100429675405,FALSE,NA,2.857523611071935,0.9690285291474859,TRUE
drop_expectativas__imoveis,6,6,6,118,153,147,5.7623804861279115,5.7623804861279115,TRUE,0,7.826089952266627,0.9690285291474859,TRUE
drop_expectativas__imoveis,7,4,6,118,153,147,3.881514845940275,3.881514845940275,TRUE,0,3.492898923648836,0.978476265874347,TRUE
drop_expectativas__imoveis,8,1,6,118,153,147,4.3853175334272265,4.3853175334272265,FALSE,NA,3.7773999928183737,0.9851243793692723,TRUE
drop_expectativas__imoveis,8,5,6,118,153,147,5.622843723335759,5.622843723335759,TRUE,0,5.784608196600845,0.9851243793692723,TRUE
drop_fiscal,1,1,6,120,153,147,3.3082138203276665,3.3082138203276665,FALSE,NA,4.5983549444963705,0.8991240642722507,TRUE
drop_fiscal,3,2,6,120,153,147,4.684026897342036,4.684026897342036,FALSE,NA,7.589030164486026,0.9773501991213142,TRUE
drop_fiscal,4,3,6,120,153,147,5.35732687403846,5.35732687403846,FALSE,NA,9.315943944366628,0.9687228510996833,TRUE
drop_fiscal,5,3,6,120,153,147,3.2378247349627345,3.2378247349627345,TRUE,0,3.9236480244030387,0.9657463822985698,TRUE
drop_fiscal,6,2,6,120,153,147,3.3626144113076615,3.3626144113076615,FALSE,NA,3.716964252881919,0.9665160604363618,TRUE
drop_fiscal,6,6,6,120,153,147,6.200109001524571,6.200109001524571,TRUE,0,8.117058480873123,0.9665160604363618,TRUE
drop_fiscal,7,4,6,120,153,147,5.027143869947753,5.027143869947753,TRUE,0,4.933595636706997,0.9744978193801492,TRUE
drop_fiscal,8,1,6,120,153,147,4.950537270540691,4.950537270540691,FALSE,NA,4.5454940738564815,0.9846784402216122,TRUE
drop_fiscal,8,5,6,120,153,147,6.139515090315976,6.139515090315976,TRUE,0,6.337648059981448,0.9846784402216122,TRUE
drop_fiscal__credito,1,1,6,118,153,147,3.56710826986917,3.56710826986917,FALSE,NA,5.201405815341374,0.899887524995683,TRUE
drop_fiscal__credito,3,2,6,118,153,147,4.692958582435761,4.692958582435761,FALSE,NA,7.59967631041425,0.9758719163722647,TRUE
drop_fiscal__credito,4,3,6,118,153,147,5.416484800681378,5.416484800681378,FALSE,NA,9.595399021635103,0.9660129447569344,TRUE
drop_fiscal__credito,5,3,6,118,153,147,3.125221367637826,3.125221367637826,TRUE,0,3.7294617822320233,0.9659851944981013,TRUE
drop_fiscal__credito,6,2,6,118,153,147,2.7515665226938086,2.7515665226938086,FALSE,NA,2.734432680909427,0.9750430789214194,TRUE
drop_fiscal__credito,6,6,6,118,153,147,7.030797824195039,7.030797824195039,TRUE,0,9.124792013280707,0.9750430789214194,TRUE
drop_fiscal__credito,7,4,6,118,153,147,4.926639202884245,4.926639202884245,TRUE,0,4.8043214025618575,0.9784382678572836,TRUE
drop_fiscal__credito,8,1,6,118,153,147,5.320101478044969,5.320101478044969,FALSE,NA,5.0189039967592635,0.9854607819081381,TRUE
drop_fiscal__credito,8,5,6,118,153,147,6.173409417589895,6.173409417589895,TRUE,0,6.380009660004827,0.9854607819081381,TRUE
drop_fiscal__credito__imoveis,1,1,6,117,153,147,3.5463611683299163,3.5463611683299163,FALSE,NA,5.15684822050341,0.8984333197780816,TRUE
drop_fiscal__credito__imoveis,3,2,6,117,153,147,4.570669641258352,4.570669641258352,FALSE,NA,7.323944894189538,0.9731945692131267,TRUE
drop_fiscal__credito__imoveis,4,3,6,117,153,147,5.5078477794670055,5.5078477794670055,FALSE,NA,9.800353758290127,0.9607926050444754,TRUE
drop_fiscal__credito__imoveis,5,3,6,117,153,147,3.458775865395011,3.458775865395011,TRUE,0,4.264687388521567,0.9670660195206501,TRUE
drop_fiscal__credito__imoveis,6,2,6,117,153,147,3.0705282677038137,3.0705282677038137,FALSE,NA,3.1046736404972126,0.9717584375524296,TRUE
drop_fiscal__credito__imoveis,6,6,6,117,153,147,7.313317017259504,7.313317017259504,TRUE,0,9.70947782860961,0.9717584375524296,TRUE
drop_fiscal__credito__imoveis,7,4,6,117,153,147,4.900446640877048,4.900446640877048,TRUE,0,4.649200358034784,0.975644826569196,TRUE
