variant,r,q,variable,h,point
baseline,2,1,yield_6m,0,0.005
baseline,2,1,yield_6m,1,0.0057726271419860755
baseline,2,1,yield_6m,2,0.010220352129800913
baseline,2,1,yield_6m,3,0.011407678032105588
baseline,2,1,yield_6m,4,0.010766448415146018
baseline,2,1,yield_6m,5,0.01160454157735138
baseline,2,1,yield_6m,6,0.012126758296907647
baseline,2,1,yield_2y,0,0.007688673922022386
baseline,2,1,yield_2y,1,0.009104672692344077
baseline,2,1,yield_2y,2,0.01784963642025123
baseline,2,1,yield_2y,3,0.020302664265159285
baseline,2,1,yield_2y,4,0.01916610345409694
baseline,2,1,yield_2y,5,0.02096471912413671
baseline,2,1,yield_2y,6,0.02204866476085491
baseline,2,1,yield_5y,0,0.006197352555131797
baseline,2,1,yield_5y,1,0.007782529809995592
baseline,2,1,yield_5y,2,0.01854224279750115
baseline,2,1,yield_5y,3,0.021740984057068258
baseline,2,1,yield_5y,4,0.020531744509868773
baseline,2,1,yield_5y,5,0.022974404259753924
baseline,2,1,yield_5y,6,0.02439517224658232
baseline,2,1,asset_ibov,0,-26.697243184143865
baseline,2,1,asset_ibov,1,-55.29413962222436
baseline,2,1,asset_ibov,2,-89.02951078317616
baseline,2,1,asset_ibov,3,-122.97883458078994
baseline,2,1,asset_ibov,4,-154.97435286121535
baseline,2,1,asset_ibov,5,-186.46551840702452
baseline,2,1,asset_ibov,6,-218.0015604387087
baseline,2,1,cambio_usd,0,-0.16504829061171586
baseline,2,1,cambio_usd,1,-0.14466277409449543
baseline,2,1,cambio_usd,2,0.09221180357042759
baseline,2,1,cambio_usd,3,0.17931624103424923
baseline,2,1,cambio_usd,4,0.17017495530813925
baseline,2,1,cambio_usd,5,0.2451712986531103
baseline,2,1,cambio_usd,6,0.2844970004265291
baseline,3,3,yield_6m,0,0.005
baseline,3,3,yield_6m,1,0.004452196864955402
baseline,3,3,yield_6m,2,0.002867172935090698
baseline,3,3,yield_6m,3,0.0029475736222347162
baseline,3,3,yield_6m,4,0.0017478356508574496
baseline,3,3,yield_6m,5,0.0012381922090138363
baseline,3,3,yield_6m,6,0.001561674923840484
baseline,3,3,yield_2y,0,0.008730746909259575
baseline,3,3,yield_2y,1,0.009266414704581874
baseline,3,3,yield_2y,2,0.0071069582513512575
baseline,3,3,yield_2y,3,0.00749063020952296
baseline,3,3,yield_2y,4,0.00610744239453957
baseline,3,3,yield_2y,5,0.005076962318946824
