variant,r,q,variable,h,point
baseline,2,2,yield_6m,0,0.005
baseline,2,2,yield_6m,1,0.005474392674632931
baseline,2,2,yield_6m,2,0.005063803003647159
baseline,2,2,yield_6m,3,0.0056916724803486776
baseline,2,2,yield_6m,4,0.005633009835765986
baseline,2,2,yield_6m,5,0.006016515158673178
baseline,2,2,yield_6m,6,0.006306903705686614
baseline,2,2,yield_2y,0,0.00948066910471062
baseline,2,2,yield_2y,1,0.010592952527483298
baseline,2,2,yield_2y,2,0.009782775238446232
baseline,2,2,yield_2y,3,0.010905727164640196
baseline,2,2,yield_2y,4,0.010734716267730812
baseline,2,2,yield_2y,5,0.011432786614368034
baseline,2,2,yield_2y,6,0.011982482136747092
baseline,2,2,yield_5y,0,0.011131590877631926
baseline,2,2,yield_5y,1,0.012773603614756641
baseline,2,2,yield_5y,2,0.01177236807266328
baseline,2,2,yield_5y,3,0.012984144850832689
baseline,2,2,yield_5y,4,0.012688943245224639
baseline,2,2,yield_5y,5,0.01346260213960043
baseline,2,2,yield_5y,6,0.014106566167406208
baseline,2,2,asset_ibov,0,-9.196243689852905
baseline,2,2,asset_ibov,1,-17.187043271246147
baseline,2,2,asset_ibov,2,-24.731711433266117
baseline,2,2,asset_ibov,3,-34.091116104314814
baseline,2,2,asset_ibov,4,-43.92643659007008
baseline,2,2,asset_ibov,5,-54.751384453369155
baseline,2,2,asset_ibov,6,-66.1194142205073
baseline,2,2,cambio_usd,0,0.19578076948228748
baseline,2,2,cambio_usd,1,0.25719897498452804
baseline,2,2,cambio_usd,2,0.23475008608199166
baseline,2,2,cambio_usd,3,0.2457288837728707
baseline,2,2,cambio_usd,4,0.23139508325073718
baseline,2,2,cambio_usd,5,0.2405507929161724
baseline,2,2,cambio_usd,6,0.25173603939628275
baseline,4,1,yield_6m,0,0.005
baseline,4,1,yield_6m,1,0.022352578964229913
baseline,4,1,yield_6m,2,0.08662915202052629
baseline,4,1,yield_6m,3,0.11325659107295116
baseline,4,1,yield_6m,4,0.13806387601513379
baseline,4,1,yield_6m,5,0.15027754690512865
baseline,4,1,yield_6m,6,0.13647380009139964
baseline,4,1,yield_2y,0,-0.08384433744193558
baseline,4,1,yield_2y,1,-0.10274666067922347
baseline,4,1,yield_2y,2,-0.01582758499111501
baseline,4,1,yield_2y,3,-0.00921619021840357
baseline,4,1,yield_2y,4,8.986570496353267e-4
baseline,4,1,yield_2y,5,0.01992348764566409
baseline,4,1,yield_2y,6,-4.7003132565527113e-4
baseline,4,1,yield_5y,0,-0.16247730108939334
baseline,4,1,yield_5y,1,-0.19626547388183177
baseline,4,1,yield_5y,2,-0.09421861614706697
baseline,4,1,yield_5y,3,-0.09735996720793504
baseline,4,1,yield_5y,4,-0.09456381333260082
baseline,4,1,yield_5y,5,-0.07050741355245332
baseline,4,1,yield_5y,6,-0.0898173319238153
baseline,4,1,asset_ibov,0,134.50204476205985
baseline,4,1,asset_ibov,1,128.33219452977582
baseline,4,1,asset_ibov,2,11.551772712752822
baseline,4,1,asset_ibov,3,-37.5450542507693
baseline,4,1,asset_ibov,4,-46.53036687759245
baseline,4,1,asset_ibov,5,-62.53356876700711
