variant,r,q,variable,h,point
baseline,3,1,yield_6m,0,0.005
baseline,3,1,yield_6m,1,0.01366072044618013
baseline,3,1,yield_6m,2,0.02617406285174289
baseline,3,1,yield_6m,3,0.03129996349395869
baseline,3,1,yield_6m,4,0.032534682414781184
baseline,3,1,yield_6m,5,0.035036026118569465
baseline,3,1,yield_6m,6,0.03488815607775169
baseline,3,1,yield_2y,0,0.004847356583338613
baseline,3,1,yield_2y,1,0.007029100962275975
baseline,3,1,yield_2y,2,0.0231308119728322
baseline,3,1,yield_2y,3,0.025854957393691973
baseline,3,1,yield_2y,4,0.023489173956685067
baseline,3,1,yield_2y,5,0.025677946827849598
baseline,3,1,yield_2y,6,0.025547873033257402
baseline,3,1,yield_5y,0,6.311756547647623e-4
baseline,3,1,yield_5y,1,-0.0015426773621603587
baseline,3,1,yield_5y,2,0.01555245818592377
baseline,3,1,yield_5y,3,0.017405709496163286
baseline,3,1,yield_5y,4,0.0135707390113259
baseline,3,1,yield_5y,5,0.015791617750443684
baseline,3,1,yield_5y,6,0.015928151346408063
baseline,3,1,asset_ibov,0,-34.87596631887069
baseline,3,1,asset_ibov,1,-70.82895215307943
baseline,3,1,asset_ibov,2,-115.55607619087608
baseline,3,1,asset_ibov,3,-153.91044522606182
baseline,3,1,asset_ibov,4,-185.22175900285427
baseline,3,1,asset_ibov,5,-214.1322144905816
baseline,3,1,asset_ibov,6,-240.8530853022332
baseline,3,1,cambio_usd,0,-0.4657696052058598
baseline,3,1,cambio_usd,1,-0.8593962565307983
baseline,3,1,cambio_usd,2,-0.674590016593238
baseline,3,1,cambio_usd,3,-0.7158894471888251
baseline,3,1,cambio_usd,4,-0.8486631118861556
baseline,3,1,cambio_usd,5,-0.821993116242621
baseline,3,1,cambio_usd,6,-0.7912817347096465
baseline,4,2,yield_6m,0,0.005
baseline,4,2,yield_6m,1,0.006257375720439815
baseline,4,2,yield_6m,2,0.0048244566600404186
baseline,4,2,yield_6m,3,0.003959423483730659
baseline,4,2,yield_6m,4,0.0014779012092141245
baseline,4,2,yield_6m,5,0.0016370714964446132
baseline,4,2,yield_6m,6,0.0028137070017382475
baseline,4,2,yield_2y,0,0.012935659586457333
baseline,4,2,yield_2y,1,0.014620612732589891
baseline,4,2,yield_2y,2,0.012106702240319256
baseline,4,2,yield_2y,3,0.011529415625056154
baseline,4,2,yield_2y,4,0.008627784625777547
baseline,4,2,yield_2y,5,0.008434820455923494
baseline,4,2,yield_2y,6,0.010252114438439213
baseline,4,2,yield_5y,0,0.01702935544447174
baseline,4,2,yield_5y,1,0.01838812064230484
baseline,4,2,yield_5y,2,0.014767243582634454
baseline,4,2,yield_5y,3,0.014418739210931624
baseline,4,2,yield_5y,4,0.011563829642353973
baseline,4,2,yield_5y,5,0.011025673983855337
baseline,4,2,yield_5y,6,0.012856407801640926
baseline,4,2,asset_ibov,0,-18.05751631873131
baseline,4,2,asset_ibov,1,-23.123767713583916
baseline,4,2,asset_ibov,2,-20.405681491888934
baseline,4,2,asset_ibov,3,-19.77826944552985
baseline,4,2,asset_ibov,4,-19.76775588630287
baseline,4,2,asset_ibov,5,-19.186404794679632
baseline,4,2,asset_ibov,6,-20.742411471530744
baseline,4,2,cambio_usd,0,0.3099456225907884
baseline,4,2,cambio_usd,1,0.5105129328819255
baseline,4,2,cambio_usd,2,0.5294955111006369
baseline,4,2,cambio_usd,3,0.5165878488953686
baseline,4,2,cambio_usd,4,0.46885243005779226
baseline,4,2,cambio_usd,5,0.4531057248960191
baseline,4,2,cambio_usd,6,0.47142399498245546
baseline,5,2,yield_6m,0,0.005
baseline,5,2,yield_6m,1,0.007376563728235233
baseline,5,2,yield_6m,2,0.005881103167397927
baseline,5,2,yield_6m,3,0.005056931418782714
baseline,5,2,yield_6m,4,0.0023089110453029856
baseline,5,2,yield_6m,5,0.0015395037163577793
baseline,5,2,yield_6m,6,0.0026276563997819948
baseline,5,2,yield_2y,0,0.01500614286045307
baseline,5,2,yield_2y,1,0.017942566551034215
baseline,5,2,yield_2y,2,0.01493379001306847
baseline,5,2,yield_2y,3,0.014346600988999423
baseline,5,2,yield_2y,4,0.011030946914499655
baseline,5,2,yield_2y,5,0.009627348780552346
baseline,5,2,yield_2y,6,0.011567071081246749
baseline,5,2,yield_5y,0,0.020790354182665758
baseline,5,2,yield_5y,1,0.022972977229530435
baseline,5,2,yield_5y,2,0.01835277322837657
baseline,5,2,yield_5y,3,0.017896873439004764
baseline,5,2,yield_5y,4,0.014461978876554999
baseline,5,2,yield_5y,5,0.012742713192663709
baseline,5,2,yield_5y,6,0.014806444554469505
baseline,5,2,asset_ibov,0,-23.807498748668863
baseline,5,2,asset_ibov,1,-30.40176747969545
baseline,5,2,asset_ibov,2,-26.948708362216887
baseline,5,2,asset_ibov,3,-24.741907652822672
baseline,5,2,asset_ibov,4,-22.575113972613178
baseline,5,2,asset_ibov,5,-19.8637758850403
baseline,5,2,asset_ibov,6,-19.500976869645122
baseline,5,2,cambio_usd,0,0.39431575538670355
baseline,5,2,cambio_usd,1,0.6345769496883179
baseline,5,2,cambio_usd,2,0.6254659087494755
baseline,5,2,cambio_usd,3,0.6039152024536624
baseline,5,2,cambio_usd,4,0.5263291725319053
baseline,5,2,cambio_usd,5,0.5003351529962998
baseline,5,2,cambio_usd,6,0.5291282176353304
baseline,6,1,yield_6m,0,0.005
baseline,6,1,yield_6m,1,0.007537163002246384
baseline,6,1,yield_6m,2,0.005206453437676058
baseline,6,1,yield_6m,3,0.0037133571613573537
baseline,6,1,yield_6m,4,1.7683661252131325e-5
baseline,6,1,yield_6m,5,-0.0017017138715229967
baseline,6,1,yield_6m,6,-6.99804175754864e-4
baseline,6,1,yield_2y,0,0.01739783487074162
baseline,6,1,yield_2y,1,0.022256800477351856
baseline,6,1,yield_2y,2,0.018150682330641592
baseline,6,1,yield_2y,3,0.016458654695086578
baseline,6,1,yield_2y,4,0.012342902669695626
baseline,6,1,yield_2y,5,0.009189540930652327
baseline,6,1,yield_2y,6,0.010900558345440733
baseline,6,1,yield_5y,0,0.025334484601569035
baseline,6,1,yield_5y,1,0.02961368889269746
baseline,6,1,yield_5y,2,0.023490884225944843
baseline,6,1,yield_5y,3,0.022175293444971572
baseline,6,1,yield_5y,4,0.01809227369825733
baseline,6,1,yield_5y,5,0.014458494181604229
baseline,6,1,yield_5y,6,0.016329771511898353
baseline,6,1,asset_ibov,0,-29.366873151814183
baseline,6,1,asset_ibov,1,-37.29428372500439
baseline,6,1,asset_ibov,2,-32.27952878927996
baseline,6,1,asset_ibov,3,-28.915740031056338
baseline,6,1,asset_ibov,4,-26.120936309051356
baseline,6,1,asset_ibov,5,-23.165614504311353
baseline,6,1,asset_ibov,6,-24.24260147926165
baseline,6,1,cambio_usd,0,0.5010273266667062
baseline,6,1,cambio_usd,1,0.8722064543874752
baseline,6,1,cambio_usd,2,0.8528890614676599
baseline,6,1,cambio_usd,3,0.8319670189002618
baseline,6,1,cambio_usd,4,0.7498738831978455
baseline,6,1,cambio_usd,5,0.675643264219283
baseline,6,1,cambio_usd,6,0.6943418177441731
baseline,6,5,yield_6m,0,0.005
baseline,6,5,yield_6m,1,0.006200759978635926
baseline,6,5,yield_6m,2,0.0065145059740069275
baseline,6,5,yield_6m,3,0.00705375583557047
baseline,6,5,yield_6m,4,0.006521004998372757
baseline,6,5,yield_6m,5,0.005852688629847093
baseline,6,5,yield_6m,6,0.0056277584829092335
baseline,6,5,yield_2y,0,0.010488069343122417
baseline,6,5,yield_2y,1,0.012653565165038001
baseline,6,5,yield_2y,2,0.011448951475960296
baseline,6,5,yield_2y,3,0.012316696222942587
baseline,6,5,yield_2y,4,0.0112952583133223
baseline,6,5,yield_2y,5,0.009856227456823137
baseline,6,5,yield_2y,6,0.009317713783863618
baseline,6,5,yield_5y,0,0.011925576295075034
baseline,6,5,yield_5y,1,0.013781431451473782
baseline,6,5,yield_5y,2,0.011127085203931644
baseline,6,5,yield_5y,3,0.012451450534020627
baseline,6,5,yield_5y,4,0.011518469426057013
baseline,6,5,yield_5y,5,0.009947832327131532
baseline,6,5,yield_5y,6,0.009470348485631122
baseline,6,5,asset_ibov,0,-1.625860604533547
baseline,6,5,asset_ibov,1,-1.6545192238222852
baseline,6,5,asset_ibov,2,3.1314407755106424
baseline,6,5,asset_ibov,3,4.317074059910395
baseline,6,5,asset_ibov,4,5.736666837990208
baseline,6,5,asset_ibov,5,8.182206068810979
baseline,6,5,asset_ibov,6,9.752778436111239
baseline,6,5,cambio_usd,0,0.2837222799420724
baseline,6,5,cambio_usd,1,0.3399979733887654
baseline,6,5,cambio_usd,2,0.27810600479255765
baseline,6,5,cambio_usd,3,0.2614312668702873
baseline,6,5,cambio_usd,4,0.235746516462586
baseline,6,5,cambio_usd,5,0.19872068942675639
baseline,6,5,cambio_usd,6,0.18861416713887458
baseline,7,3,yield_6m,0,0.005
baseline,7,3,yield_6m,1,0.007947773634029551
baseline,7,3,yield_6m,2,0.005326945152441232
baseline,7,3,yield_6m,3,0.004273989337964592
baseline,7,3,yield_6m,4,0.0017734429511546026
baseline,7,3,yield_6m,5,9.941944820448564e-4
baseline,7,3,yield_6m,6,0.0028878759195261057
baseline,7,3,yield_2y,0,0.01611050155676149
baseline,7,3,yield_2y,1,0.02204697797507775
baseline,7,3,yield_2y,2,0.016942273912008025
baseline,7,3,yield_2y,3,0.016054447176733204
baseline,7,3,yield_2y,4,0.012255685188945264
baseline,7,3,yield_2y,5,0.011893526739650034
baseline,7,3,yield_2y,6,0.013799058296650716
baseline,7,3,yield_5y,0,0.02313548991377154
baseline,7,3,yield_5y,1,0.028446797639096525
baseline,7,3,yield_5y,2,0.021384278903679187
baseline,7,3,yield_5y,3,0.020314614971388013
baseline,7,3,yield_5y,4,0.016605178406825113
baseline,7,3,yield_5y,5,0.016240723557038893
baseline,7,3,yield_5y,6,0.017565625406010105
baseline,7,3,asset_ibov,0,-18.698468221860995
baseline,7,3,asset_ibov,1,-22.830155952186303
baseline,7,3,asset_ibov,2,-12.800944369970036
baseline,7,3,asset_ibov,3,-6.818616699521732
baseline,7,3,asset_ibov,4,-1.533684599792285
baseline,7,3,asset_ibov,5,-1.6470546371116077
baseline,7,3,asset_ibov,6,-1.1184569813287035
baseline,7,3,cambio_usd,0,0.7589836048416734
baseline,7,3,cambio_usd,1,0.9382612163694337
baseline,7,3,cambio_usd,2,0.8854800899751561
baseline,7,3,cambio_usd,3,0.7483283120098816
baseline,7,3,cambio_usd,4,0.6908323188093398
baseline,7,3,cambio_usd,5,0.5953856974750952
baseline,7,3,cambio_usd,6,0.6237998043977993
baseline,7,7,yield_6m,0,0.005
baseline,7,7,yield_6m,1,0.006044815964911702
baseline,7,7,yield_6m,2,0.006916342144595921
baseline,7,7,yield_6m,3,0.007875315977862344
baseline,7,7,yield_6m,4,0.007193438166015935
baseline,7,7,yield_6m,5,0.0073121342618781395
baseline,7,7,yield_6m,6,0.007712857558072286
baseline,7,7,yield_2y,0,0.008671694122864896
baseline,7,7,yield_2y,1,0.010397184106134685
baseline,7,7,yield_2y,2,0.01024973844571206
baseline,7,7,yield_2y,3,0.011133431021576748
baseline,7,7,yield_2y,4,0.009171171679698777
baseline,7,7,yield_2y,5,0.008646966071013167
baseline,7,7,yield_2y,6,0.008816002128562378
baseline,7,7,yield_5y,0,0.00896218558582252
baseline,7,7,yield_5y,1,0.010506719340776894
baseline,7,7,yield_5y,2,0.009546444904234626
baseline,7,7,yield_5y,3,0.010336935014105826
baseline,7,7,yield_5y,4,0.008511593626597017
baseline,7,7,yield_5y,5,0.00775543116350145
baseline,7,7,yield_5y,6,0.007732194162150246
baseline,7,7,asset_ibov,0,-0.9420155554642422
baseline,7,7,asset_ibov,1,-1.6285522760627762
baseline,7,7,asset_ibov,2,0.8134652408364182
baseline,7,7,asset_ibov,3,2.1074395978607696
baseline,7,7,asset_ibov,4,3.2314979564024937
baseline,7,7,asset_ibov,5,4.636199835628102
baseline,7,7,asset_ibov,6,6.3127368521908425
baseline,7,7,cambio_usd,0,0.16476146646205667
baseline,7,7,cambio_usd,1,0.20588250672651487
baseline,7,7,cambio_usd,2,0.1749436519107776
baseline,7,7,cambio_usd,3,0.15453251437216703
baseline,7,7,cambio_usd,4,0.1394216346303023
baseline,7,7,cambio_usd,5,0.08940341037691578
baseline,7,7,cambio_usd,6,0.08437856483472148
baseline,8,4,yield_6m,0,0.005
baseline,8,4,yield_6m,1,0.005964453289955516
baseline,8,4,yield_6m,2,0.006362609072571479
baseline,8,4,yield_6m,3,0.006561861649040788
baseline,8,4,yield_6m,4,0.004575353734400502
baseline,8,4,yield_6m,5,0.003163754259829491
baseline,8,4,yield_6m,6,0.002545013320502002
baseline,8,4,yield_2y,0,0.01013416793018594
baseline,8,4,yield_2y,1,0.012900484850087839
baseline,8,4,yield_2y,2,0.011890980487113867
baseline,8,4,yield_2y,3,0.012494597449579549
baseline,8,4,yield_2y,4,0.009081299360502568
baseline,8,4,yield_2y,5,0.006644932119084219
baseline,8,4,yield_2y,6,0.005798221207992789
baseline,8,4,yield_5y,0,0.011019050533888778
baseline,8,4,yield_5y,1,0.013748970154345886
baseline,8,4,yield_5y,2,0.011713490340935048
baseline,8,4,yield_5y,3,0.012827935254161283
baseline,8,4,yield_5y,4,0.0097128751218131925
baseline,8,4,yield_5y,5,0.006998746448468751
baseline,8,4,yield_5y,6,0.006179587747586114
baseline,8,4,asset_ibov,0,-1.442915596556292
baseline,8,4,asset_ibov,1,-4.599455926130258
baseline,8,4,asset_ibov,2,-2.349731516337353
baseline,8,4,asset_ibov,3,-2.0908386577055365
baseline,8,4,asset_ibov,4,-0.8581146567384706
baseline,8,4,asset_ibov,5,1.4573497524461732
baseline,8,4,asset_ibov,6,2.6639200519640256
baseline,8,4,cambio_usd,0,0.20999480242432944
baseline,8,4,cambio_usd,1,0.27262236790740313
baseline,8,4,cambio_usd,2,0.2507669541381603
baseline,8,4,cambio_usd,3,0.25162430454318657
baseline,8,4,cambio_usd,4,0.229570978797078
baseline,8,4,cambio_usd,5,0.15335360803302264
baseline,8,4,cambio_usd,6,0.1316761058002352
baseline,8,8,yield_6m,0,0.005
baseline,8,8,yield_6m,1,0.00592334552560713
baseline,8,8,yield_6m,2,0.006690811736990786
baseline,8,8,yield_6m,3,0.00760755044030556
baseline,8,8,yield_6m,4,0.006662371640848339
baseline,8,8,yield_6m,5,0.005969384768459005
