variant,r,q,variable,h,point
baseline,5,3,yield_6m,5,-0.001122355986448607
baseline,5,3,yield_6m,6,8.888764328943578e-5
baseline,5,3,yield_2y,0,0.015988920470060397
baseline,5,3,yield_2y,1,0.01889621966905001
baseline,5,3,yield_2y,2,0.014932759427068142
baseline,5,3,yield_2y,3,0.0126857928103568
baseline,5,3,yield_2y,4,0.009640864334845052
baseline,5,3,yield_2y,5,0.007697381819957914
baseline,5,3,yield_2y,6,0.009586673747323932
baseline,5,3,yield_5y,0,0.022467817972060395
baseline,5,3,yield_5y,1,0.02477448784612571
baseline,5,3,yield_5y,2,0.019265587442077733
baseline,5,3,yield_5y,3,0.017078041957545857
baseline,5,3,yield_5y,4,0.013824447865890339
baseline,5,3,yield_5y,5,0.011840908386919355
baseline,5,3,yield_5y,6,0.013740164684830284
baseline,5,3,asset_ibov,0,-24.426841339248107
baseline,5,3,asset_ibov,1,-31.632684162538816
baseline,5,3,asset_ibov,2,-27.632894318105343
baseline,5,3,asset_ibov,3,-24.1371141180562
baseline,5,3,asset_ibov,4,-22.023326340275805
baseline,5,3,asset_ibov,5,-21.64460128743514
baseline,5,3,asset_ibov,6,-22.300079170703697
baseline,5,3,cambio_usd,0,0.5349231270297006
baseline,5,3,cambio_usd,1,0.752705078710261
baseline,5,3,cambio_usd,2,0.7281974767748648
baseline,5,3,cambio_usd,3,0.6712920970559726
baseline,5,3,cambio_usd,4,0.570898596193681
baseline,5,3,cambio_usd,5,0.5248530291407646
baseline,5,3,cambio_usd,6,0.5648931524305789
baseline,6,2,yield_6m,0,0.005
baseline,6,2,yield_6m,1,0.007449942613641458
baseline,6,2,yield_6m,2,0.005607800981457546
baseline,6,2,yield_6m,3,0.004404024706535787
baseline,6,2,yield_6m,4,0.0011071100804180012
baseline,6,2,yield_6m,5,-2.481976584331467e-4
baseline,6,2,yield_6m,6,6.916004973287994e-4
baseline,6,2,yield_2y,0,0.01603211383874837
baseline,6,2,yield_2y,1,0.020068609778311406
baseline,6,2,yield_2y,2,0.016539183704517454
baseline,6,2,yield_2y,3,0.01496804474044931
baseline,6,2,yield_2y,4,0.010964728336743198
baseline,6,2,yield_2y,5,0.00843370845612976
baseline,6,2,yield_2y,6,0.010024768646331053
baseline,6,2,yield_5y,0,0.02256797497853558
baseline,6,2,yield_5y,1,0.025907398942480533
baseline,6,2,yield_5y,2,0.02064361069551468
baseline,6,2,yield_5y,3,0.019320754634721223
baseline,6,2,yield_5y,4,0.015303321124120734
baseline,6,2,yield_5y,5,0.012424491062796863
baseline,6,2,yield_5y,6,0.014159133211234982
baseline,6,2,asset_ibov,0,-25.84489356168289
baseline,6,2,asset_ibov,1,-32.75190752786028
baseline,6,2,asset_ibov,2,-28.640012634153045
baseline,6,2,asset_ibov,3,-25.99051083257955
baseline,6,2,asset_ibov,4,-23.913776178666033
baseline,6,2,asset_ibov,5,-21.6411284501096
baseline,6,2,asset_ibov,6,-22.59656237923377
baseline,6,2,cambio_usd,0,0.43830881176398095
