design,n_cells,p_plac_med,p_plac_min,frac_lt_05,prop_med,prop_min,frac_prop_05,n_holm_pooled,n_holm_within,rank1_med,rank1_sd,gap_med,gap_max,n_eig_distinct,n_identifies,n_isolated
calendario,64,0.2627372627372627,0.01098901098901099,0.078125,0.4540918163672655,0.03792415169660679,0.015625,0,0,0.345683636692632,0.11398830555733502,0.13693582029926604,0.28505402414442205,6,0,0
episodio_s2,32,0.047452547452547456,9.99000999000999e-4,0.5,0.06187624750499002,0.015968063872255488,0.40625,0,0,0.35456194847700995,0.0437601385188398,0.14785598904673308,0.29934179933875144,9,0,0
intensidade_z,64,0.23026973026973027,0.001998001998001998,0.171875,0.11776447105788423,0.00998003992015968,0.21875,0,0,0.37626955725678557,0.10136073261041904,0.1645812812263709,0.4050850156110279,21,0,0
quebra_livre,64,0.06143856143856144,9.99000999000999e-4,0.484375,0.0998003992015968,0.001996007984031936,0.3125,0,0,0.38709551570585005,0.09455043610881377,0.18770904357947682,0.3507046864097605,29,0,0
volatilidade_juros,64,0.13086913086913088,0.011988011988011988,0.296875,0.3163672654690619,0.033932135728542916,0.046875,0,0,0.4160179948217741,0.10860229728092867,0.1361551807175553,0.2882238237418014,10,0,0
