design,era,C,NC,share_C
calendario,2020+,46,23,0.6666666666666666
calendario,pre2020,53,27,0.6625
episodio_s2,2020+,69,0,1
episodio_s2,pre2020,0,80,0
intensidade_z,2020+,27,42,0.391304347826087
intensidade_z,pre2020,23,57,0.2875
quebra_livre,2020+,67,2,0.9710144927536232
quebra_livre,pre2020,0,80,0
volatilidade_juros,2020+,33,36,0.4782608695652174
volatilidade_juros,pre2020,4,76,0.05
