sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap,p_placebo_holm,prop_p_holm,passes_cell,n_windows,replicates,verdict,eig_distinct
full,4,4,4,ok,0.972109282711209,NA,intensidade_z,permute,FALSE,50,99,4.51910643433763,1.6544581296753242,9.727312429567862,-5.971258268901933,0.3538263313252319,29.72324739166824,2.3988595287224084,0.5454545454545454,52.542196054928134,3.5691463300867814e-8,0.003992015968063872,0.3716605110335804,1,1,FALSE,NA,FALSE,fails,TRUE
full,4,4,5,ok,0.9685205324737718,NA,intensidade_z,permute,FALSE,49,99,4.510430298765816,1.849466315004677,9.557069964250715,-5.497903226631611,0.3652713292647007,16.490702612557286,2.4503268333202057,0.5684315684315684,52.865707420607954,3.099363286365018e-8,0.005988023952095809,0.3879797043865388,1,1,FALSE,NA,FALSE,fails,TRUE
full,4,4,6,ok,0.9592665369691116,NA,intensidade_z,permute,FALSE,49,98,4.527000290176174,1.5228928013445584,9.275456544217526,-5.630344992670445,0.3757973229468602,54.01685834484069,2.469747611217133,0.5204795204795205,53.349998870878125,2.5085454687241222e-8,0.005988023952095809,0.32651970227084537,1,1,FALSE,NA,FALSE,fails,TRUE
full,4,4,7,ok,0.9655392987284005,NA,intensidade_z,permute,FALSE,49,97,4.608152572927669,1.6868470422580184,8.949914216202078,-5.599988757039722,0.37359090998869776,37.30248114915615,2.5732296744325978,0.5234765234765235,55.754930373601546,8.742501064606805e-9,0.001996007984031936,0.38341503856721104,1,0.8982035928143712,FALSE,NA,FALSE,fails,TRUE
full,4,4,8,ok,0.9749648767590688,NA,intensidade_z,permute,FALSE,48,97,4.786432081195805,1.8511837674903573,9.39466430422457,-5.232489655393293,0.38961421590480555,30.25929455556871,2.609432840496133,0.5204795204795205,54.88208463138527,1.2826203155936513e-8,0.001996007984031936,0.4249307282043392,1,0.8982035928143712,FALSE,NA,FALSE,fails,TRUE
full,7,4,6,ok,0.9764830436505632,2018-04-01,quebra_livre,rotate,TRUE,90,57,1.0387471165317164,0.7113822548641795,1.9630683243869864,-0.5470816204504549,0.4950070650098466,2.2356459473175545,3.8155308381399884,9.99000999000999e-4,32.667852727143604,1.5254916076729217e-4,0.013972055888223553,0.3620875154001095,0.44955044955044954,1,FALSE,NA,FALSE,fails,TRUE
full,7,4,7,ok,0.9764927896538095,NA,intensidade_z,permute,FALSE,49,97,1.232461004146057,0.6088985446435926,2.1376500911806984,-0.5329932005211676,0.5659544196719436,10.443485749704477,3.0676676522053477,0.06893106893106893,30.29694576301277,3.9048282539653215e-4,0.023952095808383235,0.24653944054259644,1,1,FALSE,NA,FALSE,fails,TRUE
full,7,4,7,ok,0.9764927896538095,2018-04-01,quebra_livre,rotate,TRUE,90,56,1.0051108622653013,0.6744828269813963,1.9026160375834626,-0.642024594168572,0.4759479032048664,2.3498962251411055,3.610290162722957,9.99000999000999e-4,33.446270908161566,1.1164425091271364e-4,0.027944111776447105,0.38859098579660706,0.44955044955044954,1,FALSE,NA,FALSE,fails,TRUE
full,7,5,7,ok,0.9764927896538095,2018-04-01,quebra_livre,rotate,TRUE,90,56,1.0153730078142265,0.7105965323481915,1.9209544687089488,-0.7396831178527208,0.3958357796747505,2.0326089921571024,3.6829709316644035,0.028971028971028972,39.873035781537126,2.6701545602358034e-4,0.04790419161676647,0.26651286363673204,1,1,FALSE,NA,FALSE,fails,TRUE
full,8,4,6,ok,0.9771833231108502,2021-04-01,quebra_livre,rotate,TRUE,54,93,0.9535516532350359,0.5988000197307484,1.490472721270883,-0.620871507623079,0.4763343429072587,59.06002669758017,2.456458177738017,0.27172827172827174,27.213231215881997,0.0012895438133566637,0.021956087824351298,0.2305738883334789,1,1,FALSE,NA,FALSE,fails,TRUE
