design,sample,n,frac_prop_05,prop_med,rank1_med,gap_med
calendario,full,32,0,0.3522954091816367,0.34273392467896147,0.11941838397903466
calendario,pre_covid,32,0.03125,0.5708582834331337,0.3632203732780044,0.14477990556261267
episodio_s2,full,32,0.40625,0.06187624750499002,0.35456194847700995,0.14785598904673308
intensidade_z,full,32,0.375,0.06087824351297405,0.3594196818725106,0.1645812812263709
intensidade_z,pre_covid,32,0.0625,0.28443113772455086,0.40439105225003225,0.1651093616026896
quebra_livre,full,32,0.5,0.05588822355289421,0.3783834754259566,0.13028453779598065
quebra_livre,pre_covid,32,0.125,0.16966067864271456,0.4166551861260057,0.23049267492296727
volatilidade_juros,full,32,0.09375,0.13173652694610777,0.44037502000030604,0.1303858839090521
volatilidade_juros,pre_covid,32,0,0.6087824351297405,0.35426527550799813,0.1490472510148962
