sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap
full,4,4,4,ok,0.972109282711209,NA,calendario,permute,TRUE,99,50,4.764737367405231,1.8121648936306196,11.972148806060815,-7.983850126804572,0.3077817722381788,2.1639869026250786,1.7499469371387293,0.45754245754245754,38.360886405824715,1.5015095628869445e-5,0.05588822355289421,0.2695082288662884
full,4,4,4,ok,0.972109282711209,NA,episodio_s2,rotate,TRUE,69,80,6.977888328546424,1.2460141652960757,20.40184442767475,-1.131304512163069,0.6183524544760487,2.8911435738978812,2.365512038883032,0.41358641358641357,20.930736648872188,0.012961535709266328,0.3473053892215569,0.23422996008991442
full,4,4,4,ok,0.972109282711209,NA,intensidade_z,permute,FALSE,50,99,4.51910643433763,1.6544581296753242,9.727312429567862,-5.971258268901933,0.3538263313252319,29.72324739166824,2.3988595287224084,0.5454545454545454,52.542196054928134,3.5691463300867814e-8,0.003992015968063872,0.3716605110335804
full,4,4,4,ok,0.972109282711209,NA,volatilidade_juros,permute,TRUE,37,112,13.788111201535468,2.659805571992539,40.06680812386631,-1.1729248998854862,0.617616342212189,2.652163384868899,3.573390156324257,0.056943056943056944,29.373189741258646,5.604707302826768e-4,0.22554890219560877,0.3599960092260045
full,4,4,4,ok,0.972109282711209,2020-03-01,quebra_livre,rotate,TRUE,67,82,7.45683708863238,1.1752742234002673,21.64972872464945,-1.1454390531062104,0.6290973778316706,2.863231149699418,2.4756544966725427,0.34665334665334663,23.889924850055845,0.004478771955290903,0.2694610778443114,0.17990665959937285
full,4,4,5,ok,0.9685205324737718,NA,calendario,permute,TRUE,98,50,5.0102444290101324,1.9343562709336397,11.967608199256508,-8.143808147539268,0.3225213930776451,2.6574275717267875,1.8460479076026968,0.4085914085914086,35.032394881005445,5.880444909070101e-5,0.07784431137724551,0.3034796969259614
full,4,4,5,ok,0.9685205324737718,NA,episodio_s2,rotate,TRUE,69,79,6.354125458460279,1.0717506194909414,20.1731831515366,-1.2274398850886885,0.6093315451755503,2.9132460693786273,2.2560265093230014,0.4195804195804196,19.563771318532975,0.02080387341534838,0.3852295409181637,0.23967691665225666
full,4,4,5,ok,0.9685205324737718,NA,intensidade_z,permute,FALSE,49,99,4.510430298765816,1.849466315004677,9.557069964250715,-5.497903226631611,0.3652713292647007,16.490702612557286,2.4503268333202057,0.5684315684315684,52.865707420607954,3.099363286365018e-8,0.005988023952095809,0.3879797043865388
full,4,4,5,ok,0.9685205324737718,NA,volatilidade_juros,permute,TRUE,37,111,13.320564507083137,1.9976374465131705,36.77714782297255,-1.0078067796791255,0.6026290657362996,2.3224043394119507,3.4985460757590037,0.04495504495504495,26.30110072489661,0.0018235540202624174,0.2435129740518962,0.3496965030100772
full,4,4,5,ok,0.9685205324737718,2020-03-01,quebra_livre,rotate,TRUE,67,81,6.828001838298023,1.3143011663661572,21.92561448287011,-1.179854084033147,0.6268346513979117,2.8446908612093846,2.365182219700013,0.35364635364635366,22.19999790982912,0.008266282086996162,0.2654690618762475,0.20920502610330433
full,4,4,6,ok,0.9592665369691116,NA,calendario,permute,TRUE,98,49,4.7475856636722025,1.7476257343882895,11.611711428914111,-7.878576920691947,0.315141031457601,2.567878018867661,1.8240622984696646,0.4125874125874126,34.57451402419061,7.080694403118829e-5,0.059880239520958084,0.27466965981638325
full,4,4,6,ok,0.9592665369691116,NA,episodio_s2,rotate,TRUE,69,78,5.621344909500811,1.2228686478201638,18.4019519286511,-1.4458597801575843,0.5387737616463827,2.1801201004668473,2.1247422248554817,0.42157842157842157,18.238634491583564,0.03250375217843364,0.4471057884231537,0.20374778161428572
full,4,4,6,ok,0.9592665369691116,NA,intensidade_z,permute,FALSE,49,98,4.527000290176174,1.5228928013445584,9.275456544217526,-5.630344992670445,0.3757973229468602,54.01685834484069,2.469747611217133,0.5204795204795205,53.349998870878125,2.5085454687241222e-8,0.005988023952095809,0.32651970227084537
full,4,4,6,ok,0.9592665369691116,NA,volatilidade_juros,permute,TRUE,37,110,12.58144778779423,2.3608971899431968,33.81921036136538,-1.0292007954585964,0.5921963595479414,2.1640749367318937,3.3846901288965796,0.06793206793206794,26.481352509294346,0.0017033266895388013,0.20958083832335328,0.3470007055525516
full,4,4,6,ok,0.9592665369691116,2020-03-01,quebra_livre,rotate,TRUE,67,80,6.070175065420071,1.5046212041641658,18.854627322582708,-1.3755842889948635,0.5593043401518442,2.1250937231172147,2.228574767358201,0.32967032967032966,20.441054620411798,0.015377269711018032,0.38323353293413176,0.20316435562730112
full,4,4,7,ok,0.9655392987284005,NA,calendario,permute,TRUE,97,49,5.071356200847722,1.8560263993094104,11.411904942070333,-7.707617516588921,0.33254057216678506,2.7084187132075432,1.9373291048857313,0.3166833166833167,33.77913954231845,9.76433000881667e-5,0.07984031936127745,0.30712866414618956
full,4,4,7,ok,0.9655392987284005,NA,episodio_s2,rotate,TRUE,69,77,5.2693932939639145,1.100186079558628,16.56325639268874,-1.5420638308665788,0.548484448536788,2.3183772283527677,2.100064801737465,0.3876123876123876,19.466556126543086,0.021505505846046033,0.35728542914171657,0.24053978414275068
full,4,4,7,ok,0.9655392987284005,NA,intensidade_z,permute,FALSE,49,97,4.608152572927669,1.6868470422580184,8.949914216202078,-5.599988757039722,0.37359090998869776,37.30248114915615,2.5732296744325978,0.5234765234765235,55.754930373601546,8.742501064606805e-9,0.001996007984031936,0.38341503856721104
full,4,4,7,ok,0.9655392987284005,NA,volatilidade_juros,permute,TRUE,37,109,12.233685801195696,2.0988205092332555,35.62346283582042,-1.0306483080205051,0.5952769249080109,2.1555788854950078,3.416108335592865,0.04095904095904096,28.347820619871033,8.34205957822167e-4,0.14570858283433133,0.3982382305305997
full,4,4,7,ok,0.9655392987284005,2020-03-01,quebra_livre,rotate,TRUE,67,79,5.69842521857744,1.3116098049380267,18.037315224665292,-1.5074002220202107,0.5645372866353829,2.2766942360594093,2.202681633362092,0.3256743256743257,22.433037838289334,0.007603329997505659,0.3013972055888224,0.23648889657789213
full,4,4,8,ok,0.9749648767590688,NA,calendario,permute,TRUE,96,49,4.88856329512835,1.9971639064889732,11.537251612077622,-7.427047951783644,0.33171008855552975,2.682492281581639,1.9081279640041742,0.3676323676323676,31.722421172247007,2.223644202007747e-4,0.07784431137724551,0.28226893814130943
full,4,4,8,ok,0.9749648767590688,NA,episodio_s2,rotate,TRUE,69,76,5.170870962444427,1.140341608188099,17.25043231502307,-1.5267409841542792,0.5762639405759087,2.938396159305103,2.076959756609779,0.37462537462537465,18.122049400218632,0.0337836653442717,0.39520958083832336,0.24572068064391708
full,4,4,8,ok,0.9749648767590688,NA,intensidade_z,permute,FALSE,48,97,4.786432081195805,1.8511837674903573,9.39466430422457,-5.232489655393293,0.38961421590480555,30.25929455556871,2.609432840496133,0.5204795204795205,54.88208463138527,1.2826203155936513e-8,0.001996007984031936,0.4249307282043392
full,4,4,8,ok,0.9749648767590688,NA,volatilidade_juros,permute,TRUE,36,109,12.728118061424258,2.5542896726167887,36.88990286416464,-0.8921399292218982,0.5981748746513197,2.1565138227228906,3.5637831707605163,0.053946053946053944,26.76101940882584,0.0015318812820622658,0.16367265469061876,0.3961534793076376
