r,q,p,variable,point,lo68,hi68,lo90,hi90,xi_mp,f_robust_mp,ar_bounded,bands_valid,impacto_mp_pre,max_companion_root
5,5,4,yield_6m,0.005,0.005,0.005,0.005,0.005,5.240158304905198,10.060921519348764,TRUE,FALSE,1.0132019129086177e-4,0.9681262003935757
5,5,4,yield_2y,0.0072818768605230405,0.006360500551341575,0.008073306628978105,0.0057899870322121565,0.008697465927125524,5.240158304905198,10.060921519348764,TRUE,FALSE,1.0132019129086177e-4,0.9681262003935757
5,5,4,yield_5y,0.007483092668287027,0.006081364555642693,0.008795120184003965,0.005350075694507213,0.009911951135463719,5.240158304905198,10.060921519348764,TRUE,FALSE,1.0132019129086177e-4,0.9681262003935757
5,5,4,cambio_usd,0.15385505120831833,0.11342947845549267,0.1877512434952768,0.09490752244322509,0.2166332331650578,5.240158304905198,10.060921519348764,TRUE,FALSE,1.0132019129086177e-4,0.9681262003935757
5,5,4,cds_5y,30.704019331000183,24.052595950252254,38.65153839520801,19.19525689922196,46.18594228890527,5.240158304905198,10.060921519348764,TRUE,FALSE,1.0132019129086177e-4,0.9681262003935757
5,5,4,asset_ibov,-0.9679848905934691,-3.409703274208134,0.3081095474464708,-5.03313620334802,1.5631850676433807,5.240158304905198,10.060921519348764,TRUE,FALSE,1.0132019129086177e-4,0.9681262003935757
5,4,4,yield_6m,0.005,0.005,0.005,0.005,0.005,4.356863212709557,7.298105343792891,TRUE,FALSE,6.977086736882054e-5,0.9681262003935757
5,4,4,yield_2y,0.008871952128680484,0.007300640900343588,0.010007307498356792,0.00660328031546314,0.011310703602872728,4.356863212709557,7.298105343792891,TRUE,FALSE,6.977086736882054e-5,0.9681262003935757
5,4,4,yield_5y,0.009748915574343835,0.007415840089867113,0.011749595445099072,0.00634107415368635,0.01392965265669346,4.356863212709557,7.298105343792891,TRUE,FALSE,6.977086736882054e-5,0.9681262003935757
5,4,4,cambio_usd,0.2598934530512494,0.17725611592397145,0.31340007161447847,0.14398512922491363,0.384608067152483,4.356863212709557,7.298105343792891,TRUE,FALSE,6.977086736882054e-5,0.9681262003935757
5,4,4,cds_5y,43.43917045023919,30.457598520131953,56.35386478680998,24.01625750994303,69.63917073785603,4.356863212709557,7.298105343792891,TRUE,FALSE,6.977086736882054e-5,0.9681262003935757
5,4,4,asset_ibov,-1.360929801021735,-4.969592576837104,0.6846534251650522,-8.236484164549271,2.5007841986995016,4.356863212709557,7.298105343792891,TRUE,FALSE,6.977086736882054e-5,0.9681262003935757
5,3,4,yield_6m,0.005,0.005,0.005,0.005,0.005,2.843303811054628,3.8679760314831806,FALSE,FALSE,3.071267712198193e-5,0.9681262003935757
5,3,4,yield_2y,0.014333938643274835,0.011193653102224713,0.01783824384880862,0.009828165118096678,0.025572850123304406,2.843303811054628,3.8679760314831806,FALSE,FALSE,3.071267712198193e-5,0.9681262003935757
5,3,4,yield_5y,0.019357593620714316,0.013996801529781559,0.025594545878560908,0.012213720201752782,0.04023516217359523,2.843303811054628,3.8679760314831806,FALSE,FALSE,3.071267712198193e-5,0.9681262003935757
5,3,4,cambio_usd,0.46205542306501535,0.2865771880988429,0.705308273256192,0.207508063873203,1.2355380121019397,2.843303811054628,3.8679760314831806,FALSE,FALSE,3.071267712198193e-5,0.9681262003935757
5,3,4,cds_5y,104.9274100168059,68.95295237244123,155.04862526056473,55.20519425225096,264.184448459488,2.843303811054628,3.8679760314831806,FALSE,FALSE,3.071267712198193e-5,0.9681262003935757
5,3,4,asset_ibov,-20.491577159095225,-27.28773965385474,-13.88764941260254,-46.47344326547464,-11.003951038326605,2.843303811054628,3.8679760314831806,FALSE,FALSE,3.071267712198193e-5,0.9681262003935757
5,2,4,yield_6m,0.005,0.005,0.005,0.005,0.005,3.5863932591701935,5.356304109782202,FALSE,FALSE,3.317413773004686e-5,0.9681262003935757
5,2,4,yield_2y,0.01370015916755461,0.011496770245858401,0.017382607375751896,0.010504199308248178,0.024314052103826318,3.5863932591701935,5.356304109782202,FALSE,FALSE,3.317413773004686e-5,0.9681262003935757
5,2,4,yield_5y,0.018261554654200922,0.014708197296141153,0.02544297639705128,0.013012097430549301,0.03882381283901161,3.5863932591701935,5.356304109782202,FALSE,FALSE,3.317413773004686e-5,0.9681262003935757
5,2,4,cambio_usd,0.3775574495077165,0.27695927317628105,0.5779056223130503,0.22986416656147005,1.0012093798783204,3.5863932591701935,5.356304109782202,FALSE,FALSE,3.317413773004686e-5,0.9681262003935757
5,2,4,cds_5y,95.52540268448908,70.93401233474711,147.15760522119123,61.11820890742484,247.51349401387998,3.5863932591701935,5.356304109782202,FALSE,FALSE,3.317413773004686e-5,0.9681262003935757
5,2,4,asset_ibov,-19.68826707861068,-28.61130662818429,-15.762904142639314,-45.728461376403075,-13.55052170984527,3.5863932591701935,5.356304109782202,FALSE,FALSE,3.317413773004686e-5,0.9681262003935757
