variable,max_gap_q,max_gap_h,h0_q5,h6_q5,h12_q5,h24_q5,h36_q5,h48_q5,h0_q4,h6_q4,h12_q4,h24_q4,h36_q4,h48_q4,h0_q3,h6_q3,h12_q3,h24_q3,h36_q3,h48_q3,h0_q2,h6_q2,h12_q2,h24_q2,h36_q2,h48_q2,share_q2_in_q5_band90,share_q3_in_q5_band90,share_q4_in_q5_band90
asset_ibov,11.437788669435985,0,-1.5020158375666013,1.9359201430026525,1.816319799914475,-0.845169635576388,-2.7989693715294797,-3.2621560238938785,-1.72890491174244,2.411738874115733,2.3280287893987186,0.4702745639064604,-1.5065951496809877,-2.6498271081970284,-12.939804507002586,1.9518107294097335,1.7588576073402133,-0.935294719659174,-3.3280125959473135,-4.369997265859278,-12.750369956920379,1.977714485882063,1.7565524759943778,-0.8646173832370916,-3.2058413671273183,-4.244320117009612,0.9591836734693877,0.9591836734693877,1
cambio_usd,0.24974150364213893,1,0.12942167379213612,0.10537553111662783,0.005148176472454858,-0.0802709460844506,-0.10461490442367533,-0.0957913059069666,0.1990580654824396,0.1900124309054418,0.09996524446931311,-0.003779141587073489,-0.06429263626310461,-0.08640218399699835,0.29832581553810533,0.2322455170863696,0.08688059660443612,-0.04926561939533449,-0.11933630641788527,-0.13348382646448628,0.30681563112028515,0.22931261820284113,0.08731635106425045,-0.04587374613592563,-0.11522780828030206,-0.12992924564566788,0.7755102040816326,0.7755102040816326,0.8367346938775511
cds_5y,44.949363874620815,0,30.487630940485193,23.747370024040396,4.714199217140549,-16.41592844296082,-23.549470169086476,-21.905334386705334,41.10350084359539,33.25300340077801,18.40307505878168,-1.9671527592037776,-15.0683561694875,-19.94185290360345,75.436994815106,39.81353361507931,14.09882546247135,-12.954993832317651,-27.806316743116536,-30.69532782183319,75.41267071766494,39.13680374794154,14.16345748028102,-12.20923691160213,-26.87367049290409,-29.884436608012535,0.8979591836734694,0.8775510204081632,1
dlsp_exchange_adjustment,87008.91873340958,0,-20803.02161214728,2322.369171314462,3462.2109401901566,-8873.555428377591,-17091.8085486727,-17496.182941197094,-26110.409434625264,5460.990788841067,6225.469630443418,-2932.8564727324456,-11789.3415872371,-15877.909449238128,-107811.94034555685,-2117.073511134242,-140.41431604673124,-12512.056323655954,-22273.566523267233,-24767.654226423954,-106465.42501129348,-1607.75986534767,92.80981166505092,-11980.414024542893,-21558.228144452274,-24111.000868963652,0.9591836734693877,0.9591836734693877,1
embi_perc,0.4136963924070413,0,0.25073798582154366,0.17961374136446806,0.032635494743612777,-0.123125285745394,-0.1722903771602495,-0.15892786982477003,0.341438705965166,0.2593969239828959,0.14302017444185397,-0.012465650480098971,-0.10920483813996112,-0.14457279022887895,0.664434378228585,0.32006537478841796,0.11641568026882873,-0.09117962538363378,-0.20128124554552165,-0.22237473444970124,0.6597979208392721,0.3142039698853573,0.11670058287153007,-0.08571355055876727,-0.19449079671114342,-0.21649701884844913,0.8571428571428571,0.8367346938775511,1
expect_focus_cambio_ny,0.13120032100024193,2,0.07400369874089878,0.07478064977410714,-0.003204126917814074,-0.08901379338330327,-0.11393122596031471,-0.1009310749217201,0.11511442303261545,0.14004004053338595,0.07259233141224242,-0.022324330452080054,-0.07857711371410421,-0.09598815143147621,0.12214079320622208,0.15628785524931865,0.04579642025105645,-0.07770642341747004,-0.13907300862658675,-0.1448269443907397,0.12525974997784953,0.15472973222703287,0.046911119381142646,-0.0738322749129376,-0.13461558356184739,-0.1411285171780875,0.8571428571428571,0.8367346938775511,0.9795918367346939
expect_focus_fiscal_dlsp_ny,0.5874438556290928,5,-0.2075321372166664,-0.24259688531646548,-0.11414669262796631,0.24614687102026542,0.39296164906998376,0.34694481636449775,0.005835748214886966,0.11285660531118591,0.08248768031239236,0.19994358735727985,0.33145367580779644,0.3586146405131915,-0.3771048791165194,0.3255540248957937,0.3171928404289509,0.44645740993185135,0.5560195497588402,0.5224050589612985,-0.3709810192150361,0.3232837352352662,0.31125360176730743,0.43304337958051115,0.5404211266156133,0.5099815413135759,0.7959183673469388,0.7755102040816326,0.9591836734693877
expect_focus_fiscal_nominal_balance_ny,0.12375588730970297,33,-0.12325052923499659,-0.1597213734872429,-0.040109402980820524,0.14490721884570448,0.21942872112926215,0.2054195988489727,-0.14906864227076805,-0.19626143721159078,-0.11261483217329826,0.040799527514024714,0.15138795926488854,0.1917955849310711,-0.12029368555067217,-0.18992939800804873,-0.04653864152344115,0.1537826873316238,0.2742079214814395,0.2926856309534646,-0.12705317789215065,-0.188118868137022,-0.04833731474736322,0.14669806685955025,0.26542480631624904,0.2851044757767511,0.9387755102040817,0.9387755102040817,1
expect_focus_fiscal_primary_balance_ny,0.14891060145877277,2,-0.019750866522886837,-0.029328050566607377,-0.00280323889711097,0.013206592524429035,0.021388143499574765,0.025497274845818485,-0.06702340638248941,-0.10175794503277341,-0.06343897229882821,-0.021345806314328065,0.002855762896058218,0.016550901466526154,0.006771091485709299,-0.136841287342073,-0.07801212595217479,-0.018261167672316943,0.014668178280172632,0.030521364351558593,0.002646494159970554,-0.13558873542687774,-0.07757023827311366,-0.01875399543487073,0.013763281956153868,0.029500097565660025,0.6122448979591837,0.6122448979591837,0.7346938775510204
expect_focus_ipca12m,0.1951933084940735,30,0.0928796996198302,0.1516969006996796,-0.009191237223475486,-0.26655697299956194,-0.34771050899555245,-0.3004107932816444,0.09453789033356755,0.2052342011483161,0.09633151383752996,-0.12450681557323208,-0.26666339569360914,-0.30075943113053094,-0.014577856532337313,0.15297362376014872,-0.03423278156110037,-0.31381885149886624,-0.45458024637668326,-0.4437802643443314,-0.015896617402035382,0.1527391403200728,-0.02915307796699459,-0.3016036457178599,-0.4409861894781086,-0.4329192569792024,1,1,1
