window_cell,p,q,T_eff,xi_mp,xi_ar,ar_bounded_68,ar_bounded_90,ar_bounded_95,impact_mp_pre,max_root,hac_dim,interval_68,interval_90,t1_wald,t1_df,t1_p
cheia_p4,4,5,162,6.0570142714031245,6.057014271410632,TRUE,TRUE,TRUE,9.755147863918074e-5,0.9700904794964803,135,0.9998225377107365,0.9998225377107365,NA,NA,NA
cheia_p4,4,4,162,4.359013093330324,NA,TRUE,TRUE,TRUE,6.147028874475312e-5,0.9700904794964803,NA,NA,NA,5.876206494439172,1,0.015346852458991322
cheia_p4,4,3,162,2.104724006108695,NA,TRUE,FALSE,FALSE,2.350642473315047e-5,0.9700904794964803,NA,NA,NA,6.504013060567683,2,0.038696484212950445
cheia_p4,4,2,162,2.338951439606032,NA,TRUE,FALSE,FALSE,2.4622460615892642e-5,0.9700904794964803,NA,NA,NA,7.780258203647004,3,0.05077826028339092
pre_p4,4,5,90,8.643436347247281,NA,TRUE,TRUE,TRUE,1.1138105532651339e-4,0.9933587954932864,NA,NA,NA,NA,NA,NA
pre_p4,4,4,90,8.802808188195138,NA,TRUE,TRUE,TRUE,1.1000978311439126e-4,0.9933587954932864,NA,NA,NA,0.49160621837203444,1,0.48321168082727206
pre_p4,4,3,90,8.818830157816071,NA,TRUE,TRUE,TRUE,1.1023686931731637e-4,0.9933587954932864,NA,NA,NA,1.2770525478119945,2,0.5280700815338515
pre_p4,4,2,90,4.905472336516319,NA,TRUE,TRUE,TRUE,6.771228954875804e-5,0.9933587954932864,NA,NA,NA,4.458845426351151,3,0.21599068821450323
pre_p2,2,5,92,6.481934695977933,6.4819346959781745,TRUE,TRUE,TRUE,1.2416883119315502e-4,0.9861722994785893,85,0.9998225377107365,0.9998225377107365,NA,NA,NA
pre_p2,2,4,92,6.556347372324422,NA,TRUE,TRUE,TRUE,1.23946146934135e-4,0.9861722994785893,NA,NA,NA,0.039705122603840744,1,0.8420582384922504
pre_p2,2,3,92,6.497783074042131,NA,TRUE,TRUE,TRUE,1.2448192121876394e-4,0.9861722994785893,NA,NA,NA,0.0951901576275009,2,0.9535198092902344
pre_p2,2,2,92,3.957849761108434,NA,TRUE,TRUE,TRUE,8.786109856337784e-5,0.9861722994785893,NA,NA,NA,2.0720617007037814,3,0.5575855164845288
cheia_p4_lp,4,5,162,6.847996589177567,6.847996589174212,TRUE,TRUE,TRUE,8.824843169969974e-5,0.9836766921623673,135,0.9998225377107365,0.9998225377107365,NA,NA,NA
cheia_p4_lp,4,4,162,6.459420488636577,NA,TRUE,TRUE,TRUE,6.743464852444199e-5,0.9836766921623673,NA,NA,NA,3.322876214703583,1,0.06832220258774531
cheia_p4_lp,4,3,162,5.142759359717127,NA,TRUE,TRUE,TRUE,3.900025236885657e-5,0.9836766921623673,NA,NA,NA,4.4331766350550685,2,0.10898028141937927
cheia_p4_lp,4,2,162,5.124264084357306,NA,TRUE,TRUE,TRUE,3.908188376458331e-5,0.9836766921623673,NA,NA,NA,4.611364989315815,3,0.20256930051723443
