painel,escolhido,r,standardize_resid,q_hat,q,aw_ic2
completa_0.90,TRUE,6,TRUE,2,2,-0.12154352478344163
completa_0.90,FALSE,6,TRUE,2,3,-0.112625146131828
completa_0.90,FALSE,6,TRUE,2,4,-0.10041372515898245
completa_0.90,FALSE,6,TRUE,2,5,-0.08410515217649833
completa_0.90,FALSE,6,TRUE,2,6,-0.06012097565926161
completa_0.90,FALSE,7,FALSE,2,1,-0.47079909172314893
completa_0.90,TRUE,7,FALSE,2,2,-0.51824023853271
completa_0.90,FALSE,7,FALSE,2,3,-0.508084776527216
completa_0.90,FALSE,7,FALSE,2,4,-0.49731815778087257
completa_0.90,FALSE,7,FALSE,2,5,-0.4786163400713314
completa_0.90,FALSE,7,FALSE,2,6,-0.4574391116921357
completa_0.90,FALSE,7,FALSE,2,7,-0.43336046241053183
completa_0.90,FALSE,7,TRUE,2,1,-0.07032020509330737
completa_0.90,TRUE,7,TRUE,2,2,-0.12354314482781195
completa_0.90,FALSE,7,TRUE,2,3,-0.11344364096926474
completa_0.90,FALSE,7,TRUE,2,4,-0.10086749416547564
completa_0.90,FALSE,7,TRUE,2,5,-0.08040160657814249
completa_0.90,FALSE,7,TRUE,2,6,-0.056711747422488135
completa_0.90,FALSE,7,TRUE,2,7,-0.03297921641453938
completa_0.90,FALSE,8,FALSE,2,1,-0.5101790322026644
completa_0.90,TRUE,8,FALSE,2,2,-0.5520874120386713
completa_0.90,FALSE,8,FALSE,2,3,-0.5424723143405307
completa_0.90,FALSE,8,FALSE,2,4,-0.5329383838717598
completa_0.90,FALSE,8,FALSE,2,5,-0.5151361054908694
completa_0.90,FALSE,8,FALSE,2,6,-0.49558361150973684
completa_0.90,FALSE,8,FALSE,2,7,-0.47171650803365073
completa_0.90,FALSE,8,FALSE,2,8,-0.44952203409660096
completa_0.90,FALSE,8,TRUE,2,1,-0.07051439109921646
completa_0.90,TRUE,8,TRUE,2,2,-0.11970653140230755
completa_0.90,FALSE,8,TRUE,2,3,-0.10969845242384596
completa_0.90,FALSE,8,TRUE,2,4,-0.09797897387672327
completa_0.90,FALSE,8,TRUE,2,5,-0.07831342982956047
completa_0.90,FALSE,8,TRUE,2,6,-0.05618594018608425
completa_0.90,FALSE,8,TRUE,2,7,-0.03297069398813968
completa_0.90,FALSE,8,TRUE,2,8,-0.008618056633852511
completa_0.80,FALSE,3,FALSE,2,1,-0.28033170651217726
completa_0.80,TRUE,3,FALSE,2,2,-0.31107234641496195
completa_0.80,FALSE,3,FALSE,2,3,-0.29407876929150767
completa_0.80,FALSE,3,TRUE,2,1,-0.08202165901272808
completa_0.80,TRUE,3,TRUE,2,2,-0.11561591458007256
completa_0.80,FALSE,3,TRUE,2,3,-0.0989522411316319
completa_0.80,FALSE,4,FALSE,2,1,-0.32664751459330843
completa_0.80,TRUE,4,FALSE,2,2,-0.3590544318312754
completa_0.80,FALSE,4,FALSE,2,3,-0.34379671828822445
completa_0.80,FALSE,4,FALSE,2,4,-0.32750347281120756
completa_0.80,FALSE,4,TRUE,2,1,-0.07534626487545414
completa_0.80,TRUE,4,TRUE,2,2,-0.11099909212676187
completa_0.80,FALSE,4,TRUE,2,3,-0.09508933565052466
completa_0.80,FALSE,4,TRUE,2,4,-0.0786135753765479
completa_0.80,FALSE,5,FALSE,2,1,-0.3628718040919887
completa_0.80,TRUE,5,FALSE,2,2,-0.39719068563252347
completa_0.80,FALSE,5,FALSE,2,3,-0.38124137601187236
