variable,max_gap_q,max_gap_h,h0_q8,h6_q8,h12_q8,h24_q8,h36_q8,h48_q8,h0_q7,h6_q7,h12_q7,h24_q7,h36_q7,h48_q7,h0_q6,h6_q6,h12_q6,h24_q6,h36_q6,h48_q6,h0_q5,h6_q5,h12_q5,h24_q5,h36_q5,h48_q5,h0_q4,h6_q4,h12_q4,h24_q4,h36_q4,h48_q4
asset_ibov,1.5462376109329496,0,-2.051304170696643,1.8754773899766521,1.54506672339018,0.12640442832479937,-0.36833897069206123,-0.6318282189778008,-2.4173975052461283,1.8425693243771684,1.2545844145669598,-0.1632483616927261,-0.5753219175518853,-0.7128150011647454,-2.286744479531313,1.8696588727331174,1.265398073031004,-0.1557129834541613,-0.5865463672368193,-0.7322901770305922,-3.045221204629991,1.9124108222922498,1.3160174949146384,-0.261874880409057,-0.7413555397543453,-0.9209559217902032,-3.5975417816295927,1.8690150823426817,1.3423520328075047,-0.2379048298701306,-0.7616208772870924,-0.9534618569487041
cambio_usd,0.03853987400937692,1,0.09685893554686578,0.061618512313160866,-0.014549887556869643,-0.0192428522861097,0.009149525961215738,0.0253389030761036,0.10780343429819846,0.05308384576209884,-0.02720158887254047,-0.022536849723215357,0.00999084972429226,0.024781072480664922,0.10994643957209085,0.052251084798767486,-0.027794770321647712,-0.022792526165707053,0.010554348060580943,0.025756156006870073,0.11781682094315764,0.06960361618561128,-0.013178351788640123,-0.01001810747136248,0.018986829803384963,0.0314016781002242,0.10812834759872526,0.06960151123631172,-0.014869636873685277,-0.012090216047304621,0.01947864215096334,0.03308415996261204
cds_5y,6.750617025658972,2,24.653994165531508,15.21327544056197,2.882335425864892,-5.863367855063115,-6.118637983966528,-4.658627959634873,26.27275253312554,12.497365619667448,-0.6113975354402563,-7.8854235110789,-6.554572969085367,-3.796781784714373,26.50441756737426,12.313848788924414,-0.7254222677092896,-8.052149057134097,-6.727433042867631,-3.9059958049163215,29.639488433016915,14.529128338681295,-0.18939720276561228,-8.492409695207044,-7.620240893063439,-4.622559212040297,29.821754063410914,14.895668498897292,0.002014849151621248,-8.855675280787041,-7.973906495463438,-4.846024921287672
dlsp_exchange_adjustment,11065.055714365815,0,-22002.4334802113,7138.454305212239,4900.915262299404,-347.5671262704748,-2107.6516445922703,-2862.031515420162,-24747.30096918041,7431.379872896362,3749.834280599776,-1301.1101377272976,-2649.957826281704,-2896.7153484810924,-23918.46711193618,7625.3798955038565,3820.3284553541343,-1281.8448390250207,-2711.13215697347,-2985.5412302942323,-29452.924086190076,6512.615744754918,3197.786292047591,-2158.514768239974,-3532.70116148771,-3744.04869839942,-33067.489194577116,6254.309116606622,3185.3350417092465,-2097.766794422616,-3645.3746515840735,-3898.6348501525376
embi_perc,0.04772730575431022,2,0.17652269702247927,0.0958678999886012,0.005694673028574535,-0.07084063545851814,-0.07760178241693776,-0.05847956596817834,0.18483368397792194,0.06887403816268994,-0.026715023616471704,-0.08826270616066777,-0.07718272685203297,-0.04410532808367145,0.18703047418756807,0.06703180463604567,-0.028310721517768478,-0.09044451545496156,-0.0793987705609807,-0.04558762486471236,0.21388988419327581,0.07966141332356197,-0.03130660679699685,-0.10292729377063208,-0.09300397180999091,-0.05348903328613182,0.21970238420118,0.0825303432397407,-0.030688970583416065,-0.10692260649335883,-0.09730676015506895,-0.05654278336134625
expect_focus_cambio_ny,0.019638822173864354,2,0.06055109372608311,0.05362702363222306,-0.00873359005780468,-0.02864848476021142,-0.016884506367352153,-0.0024366597001622475,0.0663418411926037,0.04701353530026252,-0.020311864813529087,-0.033053568068934655,-0.014959995487376039,0.0022104342793441835,0.06847522402725166,0.04639874887072618,-0.020918009558879947,-0.033836177723739154,-0.015315550939811176,0.0023117312274769848,0.06837166171495135,0.05229119343132824,-0.01781965620387433,-0.03162862505893528,-0.014510145800129546,0.0039033999147245787,0.062461232078053215,0.05336968117795512,-0.01869913878145785,-0.03384409654378129,-0.015500207367541019,0.0039020867018253916
expect_focus_fiscal_dlsp_ny,0.26036128483072507,17,-0.17463875414914196,-0.2592067805458776,-0.18807277079458667,0.2589039007206828,0.4834127790539359,0.5080631182062055,-0.13756215710820732,-0.1755637391450462,-0.10231760294506691,0.31864681905468656,0.48617289855569895,0.4254201062670104,-0.1216911693758091,-0.1727927450463134,-0.10061616686830233,0.32739379121518253,0.5027469259414155,0.4408681640002616,-0.14535979247384298,-0.07094328918584929,0.05835261467886885,0.498875604409543,0.6383550102426298,0.5255396654738219,-0.18143502997614488,-0.08315565530445097,0.03529370781305605,0.5049272621290186,0.6664054973604826,0.5547538848858395
expect_focus_fiscal_nominal_balance_ny,0.04305904219077353,2,-0.23062340995816857,-0.17648323168425356,-0.09662152789301169,-0.0030214531298054783,0.04800903397555894,0.07175826499176204,-0.24983295655680157,-0.16756203660637414,-0.07515338873929196,0.02502462825299572,0.06772962040686041,0.07540159740026374,-0.2541308576835573,-0.16939853713086092,-0.07671913260957154,0.025442685301827306,0.06944048490957991,0.07744843655433858,-0.25921622928380167,-0.1746595785998235,-0.07811660678540776,0.031938550948410874,0.08471693162198875,0.0951308128751155,-0.26975733168198135,-0.18237093532248738,-0.08428704224260938,0.032178150072364436,0.08746783542918735,0.09874209314407363
expect_focus_fiscal_primary_balance_ny,0.045043333907211214,3,-0.09814309800311476,-0.034088279577674026,-0.013965866983141052,-0.040447770191858815,-0.04793427039026601,-0.04235483884627829,-0.11600608298924563,-0.04555438760518081,-0.019668088980281433,-0.03668486607129664,-0.039896390674935556,-0.02922922205691714,-0.12012593291783105,-0.04702273020648917,-0.02059149410194055,-0.03760805970349882,-0.04151980539251368,-0.030595543860550994,-0.1132970312304921,-0.061700343151722285,-0.04475819334780967,-0.06063206401986367,-0.05500326903427747,-0.03576864435742141,-0.11607749962635194,-0.06407312758027692,-0.043901610953259514,-0.06115986333100679,-0.0578192255860519,-0.03841327192009042
expect_focus_ipca12m,0.0693093078705717,12,0.11336532099642903,0.15518471045760376,0.011243967229521217,-0.12142089826013168,-0.1418786337683647,-0.10754805975323795,0.1169509238298273,0.13817178564698698,-0.018180138764781254,-0.13420667696505773,-0.13123267505070108,-0.07469496591449329,0.11631027322417714,0.1359809357557821,-0.02005765419817389,-0.13816280431413064,-0.13572565083512536,-0.07760887129915318,0.09644061573382583,0.11127959937918627,-0.058065340641050484,-0.17211074284790912,-0.16016386927828688,-0.08690735176784757,0.08868304738024682,0.11713737653676798,-0.05518668793019321,-0.1786783193781249,-0.1687352629343904,-0.0930608689400691
expect_focus_pib_ny,0.09455752114672847,26,-0.2642826502812074,-0.23034410495847366,-0.1413255466230454,0.06231742000628644,0.1643389843723024,0.1912723172333044,-0.273257660603093,-0.19992244825678143,-0.09830519987842877,0.10438408047937514,0.18370116592010383,0.17449301139411777,-0.2729636994124806,-0.20109900864430127,-0.09921149739097523,0.1069313105371353,0.1893448497088769,0.1801686136431956,-0.2752990104935306,-0.18107215001212557,-0.06340703392650435,0.1545783070900605,0.23672498130398556,0.21746237587983813,-0.28917298706007766,-0.19003337471426154,-0.07444385036562758,0.15636166340639693,0.246198763388114,0.22796235793192124
expect_focus_selic_ny,0.1830946558506553,27,0.6175664197442268,0.5575711100144887,0.3156990373299097,-0.12339350809750228,-0.31830358281557725,-0.37295155254168305,0.6433666725092796,0.49569377294690287,0.22579428465730253,-0.20796940446276574,-0.35982651348143047,-0.3426920145802058,0.641191130408191,0.49673777558653676,0.22777668198347886,-0.21269849050159864,-0.3709150435693552,-0.3537153470625386,0.6587056513392752,0.46896282452178867,0.1601775427830574,-0.3016082614918177,-0.4603547939541919,-0.42631390826045745,0.6790867374566086,0.4883297206863922,0.18505754445618913,-0.3051214331378016,-0.47922126084242217,-0.44667356935058083
