var,h_mp_completo,val_mp_completo,h_mp_sem_par1,val_mp_sem_par1,h_mp_sem_par2,val_mp_sem_par2,razao_sem_par1,razao_sem_par2,razao_sem_par1_defl,razao_sem_par2_defl,inverte_sinal_sem_par1,vale_sobrevive_sem_par1
yield_3m,41,-0.0062847104642754685,22,-0.005902469418286017,13,-0.021398233700331143,0.9391792114907687,3.4048081963308126,1.1028431879646106,-1.5537227931187512,FALSE,TRUE
yield_6m,40,-0.0072613279210412785,21,-0.006841617907772525,13,-0.024332983565493176,0.9421992756927349,3.3510376931171306,1.1063895369378458,-1.5291855940687153,FALSE,TRUE
yield_2y,37,-0.007977889653356525,20,-0.0073423722551985105,13,-0.02496649643406303,0.9203401619010066,3.1294612383563005,1.0807211932977803,-1.428073176473108,FALSE,TRUE
yield_10y,35,-0.005658826351818115,19,-0.004827949490767165,13,-0.01593553044337905,0.8531715219033009,2.816048673813634,1.0018475596397964,-1.285053007024353,FALSE,TRUE
juros_selic,43,-0.4847618221579541,23,-0.4491579380897985,15,-1.7103410628235838,0.9265538612144367,3.5282090805127155,1.0880177091022554,-1.6100345602987787,FALSE,TRUE
cds_5y,31,-15.352505125097537,17,-9.952454679753211,13,-30.687582523244945,0.6482625863764355,1.9988648284558044,0.7612306241987119,-0.9121459022807864,FALSE,TRUE
embi_perc,29,-0.11589188368232987,17,-0.06417808062079129,13,-0.19108043366940672,0.5537754550328063,1.6487818438880109,0.650277903059118,-0.7523918482368057,FALSE,TRUE
cambio_usd,23,-0.10872293964268359,14,-0.0329527033072442,25,0.20255334158775662,0.30308878159055297,-1.8630230405234196,0.35590587401850776,0.850156953124708,FALSE,FALSE
credit_outstanding,37,-0.6376882661815686,20,-0.5891626161485197,13,-1.9766373375942448,0.9239038059715023,3.0996921888342195,1.0849058478763653,-1.4144886077970273,FALSE,TRUE
credito_pessoa_fisica,41,-0.6173844080930802,21,-0.5940057091506357,13,-2.1121225562427903,0.9621326702845405,3.4210817904626376,1.129796580204582,-1.5611489542034866,FALSE,TRUE
credito_comercio,31,-1.024595545938789,18,-0.809828058416695,13,-2.286775792691753,0.7903880332357754,2.231881449959347,0.9281232459555872,-1.0184788335735784,FALSE,TRUE
credito_construcao,37,-1.0303194695553741,20,-0.9509577220017329,13,-3.08747193560176,0.9229736505048389,2.9966161242533182,1.0838136009360508,-1.3674517053550885,FALSE,TRUE
credito_industria_total,29,-0.7322729558636998,18,-0.46833492391750164,13,-1.2348039248476717,0.6395633215282558,1.6862618166626784,0.7510154013096889,-0.7694951576238739,FALSE,TRUE
credito_agro,34,-1.1131448551839118,19,-0.9320343162063871,13,-2.9603104339698705,0.8372983191414005,2.659411684098179,0.9832082485019829,-1.2135745427077205,FALSE,TRUE
