var,grupo,tcode,adf_rejeita_RU_5pct,kpss_p,kpss_rejeita_estac_5pct,veredito_adf_kpss,pp_stat,pp_cv5,pp_rejeita_RU_5pct,tres_concordam
ind_bens_nao_duraveis,industria,1,TRUE,0.01,TRUE,ambiguo,-3.3313843483082093,-2.8804749999999997,TRUE,FALSE
ind_bens_capital,industria,1,FALSE,0.03541462254290303,TRUE,I(1) — os dois concordam,-2.5326834326344927,-2.8804749999999997,FALSE,TRUE
ind_transformacao,industria,1,TRUE,0.01,TRUE,ambiguo,-3.0286371784980832,-2.8804749999999997,TRUE,FALSE
ind_min_extr,industria,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-2.6014156706405047,-2.8804749999999997,FALSE,TRUE
ind_uti_cap_instalada,industria,1,TRUE,0.01075830990878529,TRUE,ambiguo,-2.645033677382581,-2.8804749999999997,FALSE,FALSE
energia_comercial,energia,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-1.9993968630449963,-2.8804749999999997,FALSE,TRUE
energia_residencial,energia,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-0.22020118628924534,-2.8804749999999997,FALSE,TRUE
energia_industrial,energia,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-1.0795265357546548,-2.8804749999999997,FALSE,TRUE
energia_outros,energia,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-2.3992819265925602,-2.8804749999999997,FALSE,TRUE
pib,atividade,4,FALSE,0.01,TRUE,I(1) — os dois concordam,0.9001637467160708,-2.8804749999999997,FALSE,TRUE
ibc_br,atividade,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-1.1971072020271443,-2.8804749999999997,FALSE,TRUE
icc,atividade,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-3.0080288271599382,-2.8804749999999997,TRUE,FALSE
ics,atividade,1,TRUE,0.04310465560530441,TRUE,ambiguo,-2.8608528566439473,-2.8804749999999997,FALSE,FALSE
trab_employment_southest,trabalho,1,TRUE,0.01,TRUE,ambiguo,-4.3085486095129735,-2.8804749999999997,TRUE,FALSE
trab_employment_south,trabalho,1,TRUE,0.01,TRUE,ambiguo,-5.475684845048496,-2.8804749999999997,TRUE,FALSE
trab_employment_northeast,trabalho,1,TRUE,0.01,TRUE,ambiguo,-3.995257579851813,-2.8804749999999997,TRUE,FALSE
trab_employment_north,trabalho,1,TRUE,0.01,TRUE,ambiguo,-3.205199842281117,-2.8804749999999997,TRUE,FALSE
trab_employment_central_west,trabalho,1,TRUE,0.01,TRUE,ambiguo,-4.642984416757273,-2.8804749999999997,TRUE,FALSE
trab_min_wage,trabalho,1,FALSE,0.01,TRUE,I(1) — os dois concordam,0.667590386629669,-2.8804749999999997,FALSE,TRUE
trab_pop_forca_trab,trabalho,1,TRUE,0.01,TRUE,ambiguo,-1.6030102923886416,-2.8804749999999997,FALSE,FALSE
trab_pop_ocupada,trabalho,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-0.523277089420247,-2.8804749999999997,FALSE,TRUE
trab_tx_desemprego,trabalho,1,FALSE,0.01352951371485659,TRUE,I(1) — os dois concordam,-0.5320336525242231,-2.8804749999999997,FALSE,TRUE
trab_hrs_trabalhadas_industria,trabalho,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-2.2707690553882287,-2.8804749999999997,FALSE,TRUE
trab_menos_de_1_mes,trabalho,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-1.4282589709906521,-2.8804749999999997,FALSE,TRUE
trab_de_1_mes_a_menos_de_1_ano,trabalho,1,FALSE,0.01267996034284896,TRUE,I(1) — os dois concordam,-1.0029357517728494,-2.8804749999999997,FALSE,TRUE
trab_de_1_ano_a_menos_de_2_anos,trabalho,1,FALSE,0.01069695084258657,TRUE,I(1) — os dois concordam,-1.2146420777915663,-2.8804749999999997,FALSE,TRUE
trab_x2_anos_ou_mais,trabalho,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-0.8975377739537114,-2.8804749999999997,FALSE,TRUE
price_ipca,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-6.88225467271912,-2.8804749999999997,TRUE,FALSE
price_ipca_difusao,precos,1,TRUE,0.09061115881054392,FALSE,I(0) — os dois concordam,-3.706240729181739,-2.8804749999999997,TRUE,FALSE
price_core_ipca_ex0,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-6.024318036204804,-2.8804749999999997,TRUE,FALSE
price_core_ipca_ex1,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-7.857149937621567,-2.8804749999999997,TRUE,FALSE
price_core_ipca_dw,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-4.147820974702997,-2.8804749999999997,TRUE,FALSE
price_igp_m,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-5.467678118713439,-2.8804749999999997,TRUE,FALSE
price_ipc,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-8.517693531700171,-2.8804749999999997,TRUE,FALSE
price_core_ipc,precos,1,TRUE,0.01688041786491854,TRUE,ambiguo,-3.7143268171444905,-2.8804749999999997,TRUE,FALSE
price_incc,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-7.708796123087462,-2.8804749999999997,TRUE,FALSE
price_inpc,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-7.01081901057898,-2.8804749999999997,TRUE,FALSE
price_ipp,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-5.353132156390217,-2.8804749999999997,TRUE,FALSE
commodity_agro,commodity,1,FALSE,0.01,TRUE,I(1) — os dois concordam,0.11600794069607423,-2.8804749999999997,FALSE,TRUE
commodity_metal,commodity,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-0.25523651356145216,-2.8804749999999997,FALSE,TRUE
commodity_energia,commodity,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-1.4556438763504569,-2.8804749999999997,FALSE,TRUE
asset_ibov,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam,-11.357969997574417,-2.8804749999999997,TRUE,FALSE
asset_idiv,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam,-11.221532960730478,-2.8804749999999997,TRUE,FALSE
asset_ifix,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam,-10.162037501283898,-2.8804749999999997,TRUE,FALSE
asset_ifnc,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam,-12.07509681528147,-2.8804749999999997,TRUE,FALSE
asset_imat,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam,-10.595781686292254,-2.8804749999999997,TRUE,FALSE
asset_imob,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam,-10.486119036426018,-2.8804749999999997,TRUE,FALSE
asset_mlcx,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam,-11.473596073553393,-2.8804749999999997,TRUE,FALSE
asset_smll,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam,-10.788868935443816,-2.8804749999999997,TRUE,FALSE
