fator,transf,teste,spec,stat,cv5,h0,rejeita_h0_5pct,veredito
F5,nivel,ADF,drift,-0.353541403933458,-2.88,raiz unitaria,FALSE,I(1) - ADF e KPSS concordam
F5,nivel,ADF,trend,-0.3209198824128184,-3.43,raiz unitaria,FALSE,I(1) - ADF e KPSS concordam
F5,nivel,PP,drift,-0.4997814904854505,-2.8804749999999997,raiz unitaria,FALSE,I(1) - ADF e KPSS concordam
F5,nivel,PP,trend,-0.4477959312461298,-3.4399440962603878,raiz unitaria,FALSE,I(1) - ADF e KPSS concordam
F5,nivel,KPSS,drift,0.6779114523193925,0.463,estacionaria,TRUE,I(1) - ADF e KPSS concordam
F5,nivel,KPSS,trend,0.6779114523193973,0.146,estacionaria,TRUE,I(1) - ADF e KPSS concordam
F5,diferenca,ADF,drift,-7.923422870598076,-2.88,raiz unitaria,TRUE,ambiguo
F5,diferenca,ADF,trend,-8.092550314281693,-3.43,raiz unitaria,TRUE,ambiguo
F5,diferenca,PP,drift,-12.865738335053567,-2.8805991009166263,raiz unitaria,TRUE,ambiguo
F5,diferenca,PP,trend,-12.991420841160938,-3.4401303276172093,raiz unitaria,TRUE,ambiguo
F5,diferenca,KPSS,drift,0.4939012048920448,0.463,estacionaria,TRUE,ambiguo
F5,diferenca,KPSS,trend,0.22317745915382545,0.146,estacionaria,TRUE,ambiguo
F6,nivel,ADF,drift,-0.3237426477562597,-2.88,raiz unitaria,FALSE,I(1) - ADF e KPSS concordam
F6,nivel,ADF,trend,-0.2570933719407707,-3.43,raiz unitaria,FALSE,I(1) - ADF e KPSS concordam
F6,nivel,PP,drift,-0.40959392085062074,-2.8804749999999997,raiz unitaria,FALSE,I(1) - ADF e KPSS concordam
F6,nivel,PP,trend,-0.3033268612387926,-3.4399440962603878,raiz unitaria,FALSE,I(1) - ADF e KPSS concordam
F6,nivel,KPSS,drift,0.7420770602690705,0.463,estacionaria,TRUE,I(1) - ADF e KPSS concordam
F6,nivel,KPSS,trend,0.7420770602690725,0.146,estacionaria,TRUE,I(1) - ADF e KPSS concordam
F6,diferenca,ADF,drift,-6.071128236036902,-2.88,raiz unitaria,TRUE,ambiguo
F6,diferenca,ADF,trend,-6.5009491079869886,-3.43,raiz unitaria,TRUE,ambiguo
F6,diferenca,PP,drift,-9.885908127257753,-2.8805991009166263,raiz unitaria,TRUE,ambiguo
F6,diferenca,PP,trend,-10.237298464304313,-3.4401303276172093,raiz unitaria,TRUE,ambiguo
F6,diferenca,KPSS,drift,0.7778801552453509,0.463,estacionaria,TRUE,ambiguo
F6,diferenca,KPSS,trend,0.22397683771440438,0.146,estacionaria,TRUE,ambiguo
F7,nivel,ADF,drift,-3.449469244909512,-2.88,raiz unitaria,TRUE,I(0) - ADF e KPSS concordam
F7,nivel,ADF,trend,-3.4504274495666953,-3.43,raiz unitaria,TRUE,I(0) - ADF e KPSS concordam
