p,variable,h,point,lo68,hi68,lo90,hi90
4,yield_6m,8,0.006819024273522088,0.004822788533243698,0.010246349505678555,0.0033915124373468755,0.012351632413114126
4,yield_6m,9,0.00652326805702717,0.004560562672411208,0.010166374053004744,0.0031291215973646754,0.012411014484664478
4,yield_6m,10,0.006165201174534924,0.0042618018476588875,0.00998285113263669,0.0027563286019975783,0.012421132675982473
4,yield_6m,11,0.00574455086850179,0.0037459593178989486,0.00975190896032598,0.0022429595262833516,0.012502329252640656
4,yield_6m,12,0.005313988938148915,0.003431921871681042,0.009418042915456334,0.0017944480431064374,0.01227924831712236
4,yield_6m,13,0.004862947560849709,0.002892119981085635,0.009084191619189544,0.0014393884271439695,0.012092135952522304
4,yield_6m,14,0.004385374359741009,0.0025479774353130693,0.008749429074083619,9.374644336846145e-4,0.011621911149895237
4,yield_6m,15,0.003900364636286217,0.0020485907151121772,0.008352768042459602,5.067346756694658e-4,0.01110891309081153
4,yield_6m,16,0.003411923543218679,0.0016399474136693033,0.007924244522963786,1.242075482287454e-4,0.010546849248833859
4,yield_6m,17,0.002918633221762729,0.0012002206846270205,0.0075102118676774274,-4.006675210934456e-4,0.010055300937864959
4,yield_6m,18,0.002427582533493202,6.517935857240657e-4,0.007061123469083507,-8.56607876445998e-4,0.009751818966688582
4,yield_6m,19,0.0019435761985902506,2.2685298555989006e-4,0.006543058789177837,-0.001391577391393731,0.009003966684180726
4,yield_6m,20,0.001468069091654241,-2.0690109418613643e-4,0.006024847342190786,-0.0018079766731560725,0.008695627750455645
4,yield_6m,21,0.0010044956725023546,-6.101266107447339e-4,0.00554588595117046,-0.0022704733772970884,0.008387292455539177
4,yield_6m,22,5.562739176830007e-4,-0.0010272136804797799,0.005108971074837213,-0.0027088912332658734,0.00799140394923885
4,yield_6m,23,1.2539092955933913e-4,-0.0014793528146404829,0.004782457170921021,-0.003170764241041134,0.007515285337013114
4,yield_6m,24,-2.860247741439975e-4,-0.0018916790337067135,0.004363066896195001,-0.0034795397365414977,0.006728891040358329
4,yield_6m,25,-6.758237850843766e-4,-0.0022431838436605743,0.003999220336043716,-0.0038661864879017114,0.006380990212397345
4,yield_6m,26,-0.0010424751877084768,-0.002557616021150578,0.0035025896409034037,-0.0042710483460059795,0.005943282626026023
4,yield_6m,27,-0.0013846958228176426,-0.002859799906308393,0.0031925519525444093,-0.004535770261035529,0.005484330638025996
4,yield_6m,28,-0.001701334086332163,-0.0032002258441174002,0.002820806720831589,-0.004761453902608657,0.005006241544009762
4,yield_6m,29,-0.00199158072994053,-0.0034569647496807184,0.0024898308904150097,-0.005064534161332404,0.0047567847084087934
4,yield_6m,30,-0.0022549021430648265,-0.003702215510097804,0.0021661901195969583,-0.005288368459990332,0.004426198150344657
4,yield_6m,31,-0.002490957696179177,-0.0038985816260388374,0.00190949751827233,-0.005583070414194407,0.0040649912579759535
4,yield_6m,32,-0.002699647504624631,-0.004074337677742606,0.0016115051058240846,-0.005953330223964166,0.0038446357832679747
4,yield_6m,33,-0.0028811014635081833,-0.004210725069258415,0.001347773913044768,-0.006280321718587123,0.003638130166059869
4,yield_6m,34,-0.003035635397078233,-0.004440916622957498,0.0010539583684482114,-0.006429179815093946,0.003406911920549036
4,yield_6m,35,-0.0031637481185723933,-0.00456000639081253,7.381261044405851e-4,-0.006602173961906744,0.0033497280775519034
4,yield_6m,36,-0.003266112419170334,-0.0046815264480308235,5.938748156545653e-4,-0.0066692774651366925,0.0031957616062827997
4,yield_6m,37,-0.003343549566651952,-0.004812010607006643,4.7118143888464015e-4,-0.006781976399291312,0.003071786046218118
4,yield_6m,38,-0.0033970140181538706,-0.004920856386698212,3.563674841451596e-4,-0.006947526210075915,0.0028804707834011742
