variable,max_gap_q,max_gap_h,h0_q4,h6_q4,h12_q4,h24_q4,h36_q4,h0_q3,h6_q3,h12_q3,h24_q3,h36_q3,h0_q2,h6_q2,h12_q2,h24_q2,h36_q2,share_q2_in_q4_band90,share_q3_in_q4_band90
asset_ibov,15.557056371756019,0,-1.1679943939130668,1.2896424077566278,1.6724570841054804,0.6606641886389889,-0.4723960540583477,-0.8024019739094538,1.555111871844927,1.8069557654458053,1.885558826633746,0.8706099529317101,-16.359458345665473,1.3665465987964844,1.4101730411604898,2.5658921025017416,1.1998211493612925,0.9459459459459459,1
cambio_usd,0.33367517387404944,3,0.13548107804129525,0.10284568297379261,0.01415910681148588,-0.08036666649245856,-0.0703053244292003,0.1909640178224279,0.19668436930655397,0.13876130669572648,0.012341633148236584,-0.046382177013769614,0.27870045085492035,0.41681726370014327,0.29290122071833113,0.041934540166325036,-0.10938487546585972,0.43243243243243246,1
cds_5y,51.55117095220801,1,27.60609893701199,21.580538657575545,8.344820652547506,-9.175517511529147,-11.435958043142211,32.868692976790804,29.54069673759158,24.890698652113574,7.328522171783215,-4.382034793336349,73.29994308822525,55.22630329266206,44.36857657328411,15.308755107790999,-11.531454695247048,0.35135135135135137,1
embi_perc,0.45820357198158623,1,0.2149105664403343,0.1427908512679672,0.04341518370766229,-0.07207500900288064,-0.0759302100868329,0.25506357151638875,0.19844380175541784,0.1573471826645367,0.029787982002542658,-0.04272187106391209,0.6547151276309063,0.4212344206597383,0.31406005196488096,0.08447945644249458,-0.09464533120615011,0.3783783783783784,1
expect_focus_ipca12m,0.24468396771354753,18,0.11725407584443474,0.17112585921296133,0.09891101560448486,-0.04350876510189562,-0.09367980713942163,0.14094254249623694,0.23140194194141672,0.22632024146247848,0.11629042708848145,0.006144822793657915,0.0920286054741408,0.2520849472236326,0.2919477129586353,0.16894550914070544,-0.04301140620899083,0.5945945945945946,1
ibc_br,1.6518769412604801,1,-0.22793262585219454,0.07624306659569437,-0.003504139469242943,-0.14121169057261238,-0.15768275458445288,-0.22725951751379905,0.3409396485693786,0.3376029279815536,0.15377698169730397,0.01850743389007856,-0.6191581994765448,-0.27668122638422676,0.22496749445841385,0.03911422922268586,-0.17905379707852928,0.8918918918918919,1
price_ipca,0.21933661155991174,0,-0.04582888820892074,-0.12375242882851564,-0.12952346662263423,-0.04629625352679758,0.03594905326165124,-0.02417333451668952,-0.0749976739563802,-0.128347247111677,-0.1339352670574024,-0.05770097882756292,0.17350772335099102,0.03260312673140148,-0.07500470346498089,-0.1952538077233295,-0.08480712837207548,0.972972972972973,1
yield_2y,0.011373727652589979,19,0.0070840085984858955,0.008374566659845066,0.0049354727309732695,-0.0017445401751588145,-0.004184335197155607,0.007946630494249958,0.010210822137814669,0.010199879784163254,0.00531392350782531,2.4575724679989545e-4,0.011905570036529206,0.01221917951379663,0.013522486448299507,0.00827348992865344,-0.0016088127358321331,0.4594594594594595,1
yield_5y,0.010525218536668532,17,0.007060616564757332,0.007166070303698151,0.0036690924117098534,-0.0021203692223867136,-0.003716623097584203,0.008160698497205923,0.009243896232462787,0.008674783695904756,0.003824995205221194,-3.9025580483536626e-4,0.015061977407392612,0.013135882099341353,0.012770088714021638,0.0063320856786697275,-0.0023511727216322473,0.2972972972972973,1
yield_6m,0.009024777648464936,22,0.005,0.007324161237945722,0.005313988938148915,-2.860247741439975e-4,-0.003266112419170334,0.005,0.007605087128654482,0.008667534662674198,0.005752603459817455,0.0012361851254433249,0.005,0.005944764194465838,0.009431675693116265,0.008532542586240414,4.782741635821182e-4,0.5675675675675675,1
