matriz,p,ordem,re,im,modulo,arg,complexo,periodo_meses,quarto_ciclo,meia_volta_ciclo,meia_vida_meses
OLS,1,1,0.9893231954822452,0.05208047279961752,0.9906930709186537,0.05259397918193515,TRUE,119.46586671916468,29.86646667979117,59.73293335958234,74.12935158065608
OLS,1,2,0.9893231954822452,-0.05208047279961752,0.9906930709186537,-0.05259397918193515,TRUE,119.46586671916468,29.86646667979117,59.73293335958234,74.12935158065608
OLS,1,3,0.7676326827090227,0.07702704047877626,0.7714875893544693,0.10000885648830071,TRUE,62.82628886887242,15.706572217218104,31.41314443443621,2.6717597816006475
OLS,1,4,0.7676326827090227,-0.07702704047877626,0.7714875893544693,-0.10000885648830071,TRUE,62.82628886887242,15.706572217218104,31.41314443443621,2.6717597816006475
OLS,1,5,0.4176807342155513,0,0.4176807342155513,0,FALSE,NA,NA,NA,0.7939485274608602
Kilian,1,1,0.9959883645615394,0.0477141492545572,0.9971306145039656,0.04786973376685397,TRUE,131.25590666080117,32.81397666520029,65.62795333040059,241.21967997030276
Kilian,1,2,0.9959883645615394,-0.0477141492545572,0.9971306145039656,-0.04786973376685397,TRUE,131.25590666080117,32.81397666520029,65.62795333040059,241.21967997030276
Kilian,1,3,0.8012632153080872,0.03977048124467849,0.8022496066588549,0.04959402737584638,TRUE,126.69237889398887,31.67309472349722,63.34618944699444,3.145871701350822
Kilian,1,4,0.8012632153080872,-0.03977048124467849,0.8022496066588549,-0.04959402737584638,TRUE,126.69237889398887,31.67309472349722,63.34618944699444,3.145871701350822
Kilian,1,5,0.4464490879010987,0,0.4464490879010987,0,FALSE,NA,NA,NA,0.8595256350783292
OLS,4,1,0.9681262003935757,0,0.9681262003935757,0,FALSE,NA,NA,NA,21.39816822377992
OLS,4,2,0.957112716711467,0.08215642593399594,0.9606323078124392,0.0856278809278461,TRUE,73.37779750119101,18.344449375297753,36.688898750595506,17.25811222941354
OLS,4,3,0.957112716711467,-0.08215642593399594,0.9606323078124392,-0.0856278809278461,TRUE,73.37779750119101,18.344449375297753,36.688898750595506,17.25811222941354
OLS,4,4,0.8463422036478216,0,0.8463422036478216,0,FALSE,NA,NA,NA,4.154773884234659
OLS,4,5,0.7627947483635358,0.18666223848462155,0.7853016104701935,0.23999211207546722,TRUE,26.1807992472844,6.5451998118211,13.0903996236422,2.867948968032693
OLS,4,6,0.7627947483635358,-0.18666223848462155,0.7853016104701935,-0.23999211207546722,TRUE,26.1807992472844,6.5451998118211,13.0903996236422,2.867948968032693
OLS,4,7,-0.23222275594058234,0.6440401169433341,0.6846276948889978,1.9168580830308837,TRUE,3.2778562809641,0.819464070241025,1.63892814048205,1.8294631502586272
OLS,4,8,-0.23222275594058234,-0.6440401169433341,0.6846276948889978,-1.9168580830308837,TRUE,3.2778562809641,0.819464070241025,1.63892814048205,1.8294631502586272
OLS,4,9,-0.38219759385891683,0.5433333265206213,0.6642936884086056,2.183821375173119,TRUE,2.877151665704113,0.7192879164260283,1.4385758328520566,1.694608249388156
OLS,4,10,-0.38219759385891683,-0.5433333265206213,0.6642936884086056,-2.183821375173119,TRUE,2.877151665704113,0.7192879164260283,1.4385758328520566,1.694608249388156
OLS,4,11,-0.07078567743995878,0.6464695427543017,0.6503333620840851,1.6798576200756097,TRUE,3.740308245229011,0.9350770613072528,1.8701541226145055,1.610957970688221
OLS,4,12,-0.07078567743995878,-0.6464695427543017,0.6503333620840851,-1.6798576200756097,TRUE,3.740308245229011,0.9350770613072528,1.8701541226145055,1.610957970688221
OLS,4,13,0.4278020610774241,0.4256886442991806,0.6035109156820333,0.7829219648338146,TRUE,8.025302123837175,2.006325530959294,4.012651061918588,1.3725927251525607
OLS,4,14,0.4278020610774241,-0.4256886442991806,0.6035109156820333,-0.7829219648338146,TRUE,8.025302123837175,2.006325530959294,4.012651061918588,1.3725927251525607
OLS,4,15,-0.5172239823449503,0.24052734126566067,0.5704156815946569,2.7063060658279072,TRUE,2.3216831926426797,0.5804207981606699,1.1608415963213399,1.2346983056804333
OLS,4,16,-0.5172239823449503,-0.24052734126566067,0.5704156815946569,-2.7063060658279072,TRUE,2.3216831926426797,0.5804207981606699,1.1608415963213399,1.2346983056804333
OLS,4,17,0.47128728374473317,0.26965765016260845,0.5429796976966159,0.5197067850674298,TRUE,12.089865839185395,3.0224664597963486,6.044932919592697,1.1350353367621036
OLS,4,18,0.47128728374473317,-0.26965765016260845,0.5429796976966159,-0.5197067850674298,TRUE,12.089865839185395,3.0224664597963486,6.044932919592697,1.1350353367621036
OLS,4,19,-0.386990194916842,0,0.386990194916842,3.141592653589793,FALSE,2,0.5,1,0.730123617708756
OLS,4,20,0.12460419504968327,0,0.12460419504968327,0,FALSE,NA,NA,NA,0.3328257236826202
Kilian,4,1,0.9997865088136235,0,0.9997865088136235,0,FALSE,NA,NA,NA,3246.378453758722
Kilian,4,2,0.9623145529096226,0.0740400163335583,0.9651586516010311,0.07678823403162358,TRUE,81.82484447541783,20.45621111885446,40.91242223770892,19.545762513501266
Kilian,4,3,0.9623145529096226,-0.0740400163335583,0.9651586516010311,-0.07678823403162358,TRUE,81.82484447541783,20.45621111885446,40.91242223770892,19.545762513501266
Kilian,4,4,0.8463293554782715,0,0.8463293554782715,0,FALSE,NA,NA,NA,4.1543958524071805
Kilian,4,5,0.790229674096995,0.1397116574955863,0.8024850684365453,0.1749904797008412,TRUE,35.905869381700896,8.976467345425224,17.952934690850448,3.150067189931009
Kilian,4,6,0.790229674096995,-0.1397116574955863,0.8024850684365453,-0.1749904797008412,TRUE,35.905869381700896,8.976467345425224,17.952934690850448,3.150067189931009
Kilian,4,7,-0.23136176665163766,0.6490213717150275,0.6890261301366029,1.9132303950079221,TRUE,3.2840714445964934,0.8210178611491233,1.6420357222982467,1.860917278738491
Kilian,4,8,-0.23136176665163766,-0.6490213717150275,0.6890261301366029,-1.9132303950079221,TRUE,3.2840714445964934,0.8210178611491233,1.6420357222982467,1.860917278738491
Kilian,4,9,-0.3807423240346598,0.5386899607074526,0.6596602088032222,2.186066854989358,TRUE,2.8741963187627095,0.7185490796906774,1.4370981593813548,1.6660973839833981
Kilian,4,10,-0.3807423240346598,-0.5386899607074526,0.6596602088032222,-2.186066854989358,TRUE,2.8741963187627095,0.7185490796906774,1.4370981593813548,1.6660973839833981
Kilian,4,11,-0.06519624775429675,0.6439188583807698,0.6472109755710524,1.6717016242986387,TRUE,3.7585566801226817,0.9396391700306704,1.8792783400613409,1.5931379817487406
Kilian,4,12,-0.06519624775429675,-0.6439188583807698,0.6472109755710524,-1.6717016242986387,TRUE,3.7585566801226817,0.9396391700306704,1.8792783400613409,1.5931379817487406
Kilian,4,13,0.4064904772523717,0.4248730931641323,0.5880065079501402,0.8075059650905835,TRUE,7.780976957210165,1.9452442393025413,3.8904884786050826,1.305319485057535
Kilian,4,14,0.4064904772523717,-0.4248730931641323,0.5880065079501402,-0.8075059650905835,TRUE,7.780976957210165,1.9452442393025413,3.8904884786050826,1.305319485057535
Kilian,4,15,-0.5109320223901064,0.24562330423016485,0.5669059349526941,2.6934748495826972,TRUE,2.3327432621667312,0.5831858155416828,1.1663716310833656,1.221271537989358
Kilian,4,16,-0.5109320223901064,-0.24562330423016485,0.5669059349526941,-2.6934748495826972,TRUE,2.3327432621667312,0.5831858155416828,1.1663716310833656,1.221271537989358
Kilian,4,17,0.4924909464444151,0.19086296123964658,0.5281817890678195,0.369724397328498,TRUE,16.994240446613027,4.248560111653257,8.497120223306514,1.0859018578187731
Kilian,4,18,0.4924909464444151,-0.19086296123964658,0.5281817890678195,-0.369724397328498,TRUE,16.994240446613027,4.248560111653257,8.497120223306514,1.0859018578187731
Kilian,4,19,-0.41098676331801204,0,0.41098676331801204,3.141592653589793,FALSE,2,0.5,1,0.7795227692443062
Kilian,4,20,0.16959227369927402,0,0.16959227369927402,0,FALSE,NA,NA,NA,0.39064672210550966
OLS,6,1,0.9604554980350026,0.09206297589258823,0.9648576865195531,0.09556149725908848,TRUE,65.75017645594724,16.43754411398681,32.87508822797362,19.375365419746004
