p,var,h_extremo_mp,val_extremo_mp,dominante_complexa,quarto_ciclo
1,yield_3m,35,-0.00827310143762237,FALSE,NA
1,yield_6m,34,-0.008121648326599352,FALSE,NA
1,yield_2y,30,-0.006054632601620086,FALSE,NA
1,yield_10y,28,-0.0037191197010662033,FALSE,NA
1,juros_selic,36,-0.8204678184956281,FALSE,NA
1,cds_5y,26,-14.895194028432156,FALSE,NA
1,embi_perc,25,-0.15059014388660097,FALSE,NA
1,cambio_usd,48,0.04523530690449377,FALSE,NA
1,credit_outstanding,31,-1.2603971833979322,FALSE,NA
1,credito_pessoa_fisica,34,-0.9887106558529868,FALSE,NA
1,credito_comercio,27,-2.209618715108508,FALSE,NA
1,credito_construcao,31,-2.505313705201462,FALSE,NA
1,credito_industria_total,27,-1.602205414531932,FALSE,NA
1,credito_agro,28,-1.425579049136061,FALSE,NA
4,yield_3m,33,-0.006823651598391696,TRUE,23.595374472234425
4,yield_6m,32,-0.006701900155464996,TRUE,23.595374472234425
4,yield_2y,29,-0.004966714821176799,TRUE,23.595374472234425
4,yield_10y,26,-0.0030516001908551423,TRUE,23.595374472234425
4,juros_selic,34,-0.6757333432700895,TRUE,23.595374472234425
4,cds_5y,26,-12.25193156192169,TRUE,23.595374472234425
4,embi_perc,26,-0.12394085003295006,TRUE,23.595374472234425
4,cambio_usd,48,0.03626356469308696,TRUE,23.595374472234425
4,credit_outstanding,30,-1.053798242424242,TRUE,23.595374472234425
4,credito_pessoa_fisica,32,-0.8176667827241024,TRUE,23.595374472234425
4,credito_comercio,27,-1.8337482439896302,TRUE,23.595374472234425
4,credito_construcao,30,-2.100629611533178,TRUE,23.595374472234425
4,credito_industria_total,27,-1.3299314995520506,TRUE,23.595374472234425
4,credito_agro,27,-1.1814492408305233,TRUE,23.595374472234425
6,yield_3m,32,-0.00787863541422655,TRUE,29.47479111997135
6,yield_6m,31,-0.007790141268557994,TRUE,29.47479111997135
6,yield_2y,26,-0.006108974634706319,TRUE,29.47479111997135
6,yield_10y,22,-0.004169167347728576,TRUE,29.47479111997135
6,juros_selic,34,-0.7784439684515517,TRUE,29.47479111997135
6,cds_5y,20,-18.000722959845575,TRUE,29.47479111997135
6,embi_perc,22,-0.17183344951005736,TRUE,29.47479111997135
6,cambio_usd,17,-0.0682343716390631,TRUE,29.47479111997135
6,credit_outstanding,29,-1.2265959472402943,TRUE,29.47479111997135
6,credito_pessoa_fisica,32,-0.9377920820840657,TRUE,29.47479111997135
6,credito_comercio,26,-2.1872398887036404,TRUE,29.47479111997135
6,credito_construcao,29,-2.443130152520012,TRUE,29.47479111997135
6,credito_industria_total,25,-1.6301695736128052,TRUE,29.47479111997135
6,credito_agro,25,-1.4731964993612845,TRUE,29.47479111997135
