q,variable,share_in68,share_in90,share_in90_h12,first_out90_h,cor_path,max_abs_dev,max_abs_dev_h,rel_max_abs_dev,sign_flip_h0,ratio_h0,resto_coluna_h0,share_in90_resc,denom_ratio,veredito
3,yield_6m,0.40540540540540543,1,1,NA,0.8036753572704213,0.0060386282339614525,24,0.8185466799863258,FALSE,1,0.8141423818648482,0.9459459459459459,0.8141423818648482,parcial
3,yield_2y,0.2972972972972973,1,1,NA,0.9006862767722439,0.007201161034390281,21,0.7819414977765168,FALSE,1.1217703061439586,0.9132807489493024,1,0.8141423818648482,parcial
3,yield_5y,0.35135135135135137,1,1,NA,0.923258418640469,0.006250996502402926,20,0.7488312001141274,FALSE,1.1558053637892742,0.9409901318475671,1,0.8141423818648482,parcial
3,cambio_usd,0.32432432432432434,1,1,NA,0.9450050589709962,0.12655969559391453,14,0.8084496430725724,FALSE,1.40952537862314,1.1475543490511952,1,0.8141423818648482,parcial
3,cds_5y,0.5405405405405406,1,1,NA,0.9449376284876331,18.777589327047234,17,0.6468030581556918,FALSE,1.1906315720952214,0.9693436240290922,1,0.8141423818648482,parcial
3,asset_ibov,0.7027027027027027,1,1,NA,0.7390286407122318,1.4356722158380513,2,0.8584209600845606,FALSE,0.6869912887348808,0.5593087241310175,1,0.8141423818648482,parcial
2,yield_6m,0.32432432432432434,0.5675675675675675,0.9230769230769231,1,0.44034940214529583,0.009024777648464936,22,1.2233244862169022,FALSE,1,0.36800890351355797,0.7297297297297297,0.36800890351355797,material
2,yield_2y,0.10810810810810811,0.4594594594594595,0.6153846153846154,0,0.8365812824425636,0.011373727652589979,19,1.2350216296366174,FALSE,1.680626141401614,0.6184853835134297,0.8378378378378378,0.36800890351355797,material
2,yield_5y,0.13513513513513514,0.2972972972972973,0,0,0.9064506097043187,0.010525218536668532,17,1.2608568930165314,FALSE,2.133238261736747,0.7850506736349087,1,0.36800890351355797,material
2,cambio_usd,0.2702702702702703,0.43243243243243246,0,0,0.917137695296165,0.33367517387404944,3,2.131480910685952,FALSE,2.0571171626636393,0.7570374314307673,1,0.36800890351355797,material
2,cds_5y,0.21621621621621623,0.35135135135135137,0,0,0.9512725217985072,51.55117095220801,1,1.7757047745935688,FALSE,2.655208302175238,0.9771402958836052,1,0.36800890351355797,material
2,asset_ibov,0.4594594594594595,0.9459459459459459,0.8461538461538461,0,0.4720005160240223,15.191463951752407,0,9.08332064010935,FALSE,14.006452797138254,5.1544993359892555,0.972972972972973,0.36800890351355797,material
1,yield_6m,0.2702702702702703,0.4594594594594595,0.6153846153846154,3,0.15712323121427788,0.01057876398211826,21,1.4339700674438143,FALSE,1,0.24399751837362854,0.6756756756756757,0.24399751837362854,material
1,yield_2y,0.24324324324324326,0.4594594594594595,0.5384615384615384,0,0.7553396456682615,0.013929256486275578,18,1.5125149441563344,FALSE,2.0227909121160654,0.49355596274504854,0.7567567567567568,0.24399751837362854,material
1,yield_5y,0.16216216216216217,0.2702702702702703,0,0,0.8689128729308218,0.013848053602369192,1,1.6589122381240566,FALSE,2.77878433849784,0.6780164826889779,0.8108108108108109,0.24399751837362854,material
1,cambio_usd,0.16216216216216217,0.32432432432432434,0,0,0.9133747322800932,0.53786047436191875,3,3.4357945195756785,FALSE,2.9112328435525554,0.7103335892346255,1,0.24399751837362854,material
1,cds_5y,0.1891891891891892,0.32432432432432434,0,0,0.9395470485379143,88.95242753114881,1,3.0640089713031826,FALSE,3.8271765300911107,0.9338215757200258,1,0.24399751837362854,material
1,asset_ibov,0.35135135135135137,0.8108108108108109,0.7692307692307693,0,0.4419569519592748,20.009682421776308,0,11.96424267740093,FALSE,18.13165964327875,4.4240799569552856,0.972972972972973,0.24399751837362854,material
