r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
8,8,4,yield_6m,0,0.005,NA,NA,NA,NA,q=8
8,8,4,yield_6m,1,0.005624726634409048,NA,NA,NA,NA,q=8
8,8,4,yield_6m,2,0.006058349640732057,NA,NA,NA,NA,q=8
8,8,4,yield_6m,3,0.00663302910656676,NA,NA,NA,NA,q=8
8,8,4,yield_6m,4,0.006401426835734853,NA,NA,NA,NA,q=8
8,8,4,yield_6m,5,0.0061070927587813266,NA,NA,NA,NA,q=8
8,8,4,yield_6m,6,0.005948618394200696,NA,NA,NA,NA,q=8
8,8,4,yield_6m,7,0.005477001451748308,NA,NA,NA,NA,q=8
8,8,4,yield_6m,8,0.005000671048766856,NA,NA,NA,NA,q=8
8,8,4,yield_6m,9,0.0044671155103881725,NA,NA,NA,NA,q=8
8,8,4,yield_6m,10,0.003885346346850474,NA,NA,NA,NA,q=8
8,8,4,yield_6m,11,0.0032579973120028965,NA,NA,NA,NA,q=8
8,8,4,yield_6m,12,0.0026021613874037657,NA,NA,NA,NA,q=8
8,8,4,yield_6m,13,0.0019944930998306294,NA,NA,NA,NA,q=8
8,8,4,yield_6m,14,0.0014012338214210265,NA,NA,NA,NA,q=8
8,8,4,yield_6m,15,8.317667192215201e-4,NA,NA,NA,NA,q=8
8,8,4,yield_6m,16,3.1284395156267977e-4,NA,NA,NA,NA,q=8
8,8,4,yield_6m,17,-1.7917955945216367e-4,NA,NA,NA,NA,q=8
8,8,4,yield_6m,18,-6.431330277586645e-4,NA,NA,NA,NA,q=8
8,8,4,yield_6m,19,-0.001072079912335861,NA,NA,NA,NA,q=8
8,8,4,yield_6m,20,-0.0014700229305942881,NA,NA,NA,NA,q=8
8,8,4,yield_6m,21,-0.0018364322048027967,NA,NA,NA,NA,q=8
8,8,4,yield_6m,22,-0.002171109776276565,NA,NA,NA,NA,q=8
8,8,4,yield_6m,23,-0.00247421264460396,NA,NA,NA,NA,q=8
8,8,4,yield_6m,24,-0.0027484999781084633,NA,NA,NA,NA,q=8
