r,q,p,variable,point,lo68,hi68,lo90,hi90,n_obs_1st,xi_mp,f_robust_mp,ar_bounded,bands_valid,impacto_mp_pre,max_companion_root,dim_companion
4,4,4,yield_3m,0.003920463345940036,0.003766076192379258,0.004225774388619081,0.0035712758920433945,0.004385414838454718,149,6.383502028791398,14.162509380564398,TRUE,FALSE,1.1409872722655955e-4,0.972109282711209,16
4,4,4,yield_6m,0.005,0.005,0.005,0.005,0.005,149,6.383502028791398,14.162509380564398,TRUE,FALSE,1.1409872722655955e-4,0.972109282711209,16
4,4,4,yield_1y,0.006212018172819602,0.005820595291205219,0.0064955859262474476,0.00561539504970646,0.006804007474574756,149,6.383502028791398,14.162509380564398,TRUE,FALSE,1.1409872722655955e-4,0.972109282711209,16
4,4,4,yield_2y,0.0070840085984858955,0.006245118099523616,0.007888600684319977,0.005790071170765508,0.008548193397279177,149,6.383502028791398,14.162509380564398,TRUE,FALSE,1.1409872722655955e-4,0.972109282711209,16
4,4,4,yield_5y,0.007060616564757332,0.0059054512991890545,0.008316724175658631,0.005227887124843069,0.009268494549501603,149,6.383502028791398,14.162509380564398,TRUE,FALSE,1.1409872722655955e-4,0.972109282711209,16
4,4,4,yield_10y,0.006283702339408633,0.005133383350459906,0.00751950649570384,0.004555472699180542,0.008439478852885724,149,6.383502028791398,14.162509380564398,TRUE,FALSE,1.1409872722655955e-4,0.972109282711209,16
4,4,4,cambio_usd,0.13548107804129525,0.09545836142707462,0.16388363108978282,0.07907947219339599,0.19474654837419034,149,6.383502028791398,14.162509380564398,TRUE,FALSE,1.1409872722655955e-4,0.972109282711209,16
4,4,4,embi_perc,0.2149105664403343,0.1685527097176238,0.2848375883948822,0.13234444071983026,0.34070515096391646,149,6.383502028791398,14.162509380564398,TRUE,FALSE,1.1409872722655955e-4,0.972109282711209,16
4,4,4,cds_5y,27.60609893701199,21.900170898556407,35.039916074946746,18.272738923347678,40.669582492669505,149,6.383502028791398,14.162509380564398,TRUE,FALSE,1.1409872722655955e-4,0.972109282711209,16
4,4,4,asset_ibov,-1.1679943939130668,-3.274605679878452,-0.1978567321427213,-4.345544932503782,0.7361917959172637,149,6.383502028791398,14.162509380564398,TRUE,FALSE,1.1409872722655955e-4,0.972109282711209,16
4,4,6,yield_3m,0.003930808920410368,0.003846320587803785,0.004283930422557645,0.003675153097634431,0.004421727937316816,147,6.963790354061728,13.948418079844716,TRUE,FALSE,1.0614571288105423e-4,0.9592665369691116,24
4,4,6,yield_6m,0.005,0.005,0.005,0.005,0.005,147,6.963790354061728,13.948418079844716,TRUE,FALSE,1.0614571288105423e-4,0.9592665369691116,24
4,4,6,yield_1y,0.006187654953011664,0.0057193777003520215,0.006414485191191744,0.005541027487238441,0.006675290659896818,147,6.963790354061728,13.948418079844716,TRUE,FALSE,1.0614571288105423e-4,0.9592665369691116,24
