k,mu,V,mu_star,ER,GR,ER_dd,GR_dd,ER_pkg,GR_pkg,IC1,IC2,IC3
0,0.20947389067970715,0.9939393939393937,0.21075117050092493,1.4674524123104884,1.2335133284995259,1.5138031006048034,1.2756546492703178,NA,NA,NA,NA,NA
1,0.14274663281918132,0.8511927611202124,0.16770188767973027,1.4498258549855354,1.261233418285487,1.4217122500881139,1.2413389329067706,1.4498258549855345,1.4106833428600902,-0.098902981499881,-0.09109922096258312,-0.11985638537690584
2,0.09845777844857476,0.7527349826716376,0.13080005674656492,1.4740236551434258,1.3228673888591223,1.481976845398259,1.3329923618535728,1.474023655143426,1.166501189464731,-0.15961469526575298,-0.14400717419115722,-0.20152150301980265
3,0.06679524993036465,0.685939732741273,0.09737772393417965,1.3116551106185534,1.204598026006588,1.3544020272338189,1.2481255562946465,1.3116551106185537,1.079401972983752,-0.1903244585001081,-0.16691317688821444,-0.2531846701311826
4,0.05092440031653228,0.6350153324247407,0.08019396968272041,1.1462963821188292,1.0636152489868484,1.2739181153677042,1.1915781101801723,1.1462963821188297,0.9837512851524222,-0.20525140181378537,-0.17403635966459385,-0.2890650173218847
5,0.044425160116446455,0.5905901723082942,0.07522163794702641,1.3456769474937258,1.2608568900415424,1.1043518226520939,1.040299122716215,1.3456769474937247,1.166233131801055,-0.21556453372264767,-0.17654573103615823,-0.3203315531077719
6,0.03301324303666396,0.5575769292716303,0.059208409285853296,1.0906929945919694,1.0305959248099799,1.106482184805194,1.0448485410061084,1.0906929945919688,0.9546649588766059,-0.21087269591809257,-0.16405013269430524,-0.3365931191802416
7,0.030268135213442245,0.527308794058188,0.05740115764142213,1.122611036014398,1.0634224691730063,1.1182228477481815,1.058910377447387,1.1226110360143977,1.0015979080022044,-0.20447317228251696,-0.14984684852143176,-0.35114699942169086
8,0.02696226408115771,0.5003465299770303,0.05388718111504737,1.0589479747777315,1.0049302725456395,1.0802502444147197,1.025223898988112,1.0589479747777293,0.9443811501236326,-0.19474489462825328,-0.13231481032987025,-0.362372125644452
9,0.025461368002348717,0.4748851619746816,0.05361584239961194,1.2249772706175461,1.1669579727416712,1.2077624452519022,1.1508499013337414,1.2249772706175495,1.0848524194322502,-0.18475911915414567,-0.11452527431846482,-0.3733397540473693
10,0.020785175866579884,0.4540999861081017,0.04577224510557863,1.0375459888436147,0.9919551025459953,1.0612291411295545,1.0150104835785547,1.0375459888436147,0.9191235573942329,-0.16730103892942283,-0.08926343355644395,-0.3768350776996713
11,0.02003301645428341,0.4340669696538183,0.04615190248237583,1.1113765815690553,1.063774490260805,1.0662293905439988,1.0205852493518242,1.111376581569057,0.9907414965272284,-0.1502059330328116,-0.06436456712253491,-0.3806933756800849
12,0.0180254081168424,0.4160415615369759,0.043325979381125805,1.0050033035054795,0.9624784383705518,1.0042541400861806,0.9608530300565237,1.0050033035054793,0.8920641309001812,-0.13040591712133354,-0.03676079067375892,-0.3818467636456316
13,0.017935670513688138,0.39810589102328775,0.04505251220369147,1.0310655418611534,0.986316704318525,1.1003905878362588,1.0530863731508533,1.0310655418611545,0.9121497949870678,-0.11225936893409973,-0.01081048194922729,-0.38465361933542275
14,0.01739527681364742,0.38071061420964036,0.04569159924726611,1.124046606072555,1.076629487797691,1.0649068074263703,1.0207352575638597,1.1240466060725542,0.972912394689936,-0.09472416965367804,0.01452847786849231,-0.3880718239320259
15,0.0154755832362031,0.36523503097343724,0.04237157425714897,1.0482232359526826,1.0057319017499788,1.0380313464006066,0.9953126332236009,1.048223235952679,0.8950331651710103,-0.07400896334086138,0.04304744471860688,-0.38831002149623406
16,0.014763633074912751,0.3504713978985245,0.042125072583490575,1.0456113216189975,1.0034153017704472,1.0507180502988445,1.0075346508413727,1.0456113216190017,0.8863027753921542,-0.05305724748490825,0.07180292111185782,-0.38831170951730576
17,0.014119618609382618,0.3363517792891419,0.041978724296400434,1.0095465831617756,0.9682254943309788,1.0467190310540289,1.0039410034145662,1.0095465831617756,0.8389532462037034,-0.03196508921188346,0.10069883992218064,-0.3881729551213057
18,0.013986099150731323,0.32236568013841055,0.043385819311554094,1.0483804357144848,1.0048900353272356,1.0261241781960524,0.9839369781943769,1.0483804357144837,0.8408273157477147,-0.01222242662584505,0.12824526304551664,-0.3893836964122922
19,0.013340671643876695,0.30902500849453385,0.043170200718925536,1.059180548287017,1.0156766946525002,1.0379820918629552,0.9948586939115122,1.0591805482870174,0.7989503648529153,0.00772691010776127,0.155998360316421,-0.3903877635557109
20,0.01259527628736403,0.29642973220716984,0.04248992229484389,1.0248883089873613,0.982759534988149,1.0265215080891212,0.9834155719252322,1.0248883089873595,0.7095963344874961,0.02832858558122186,0.18440379632717965,-0.39073949195927504
