variant,sample,block,factor,squared_loading_share
add_fiscal,full,commodities,F6,0.0954121070473325
add_fiscal,full,commodities,F7,0.012054380919436829
add_fiscal,full,confianca,F1,0.037765040051950145
add_fiscal,full,confianca,F2,5.17061962584778e-4
add_fiscal,full,confianca,F3,8.523837170862801e-4
add_fiscal,full,confianca,F4,0.008956055053737706
add_fiscal,full,confianca,F5,0.0017047542258382788
add_fiscal,full,confianca,F6,0.0045427825716607495
add_fiscal,full,confianca,F7,8.69789688824603e-5
add_fiscal,full,credito_existente,F1,0.018057772187235806
add_fiscal,full,credito_existente,F2,0.13688303126824672
add_fiscal,full,credito_existente,F3,0.11613652499860744
add_fiscal,full,credito_existente,F4,0.1276976372679054
add_fiscal,full,credito_existente,F5,0.048851291296059376
add_fiscal,full,credito_existente,F6,0.19684112994253958
add_fiscal,full,credito_existente,F7,0.06602297015226027
add_fiscal,full,curva,F1,0.003534936750107715
add_fiscal,full,curva,F2,0.23824225478930242
add_fiscal,full,curva,F3,0.07498067453951457
add_fiscal,full,curva,F4,0.10229713905991916
add_fiscal,full,curva,F5,0.022954429424652603
add_fiscal,full,curva,F6,0.057627173653080746
add_fiscal,full,curva,F7,0.10486228303610454
add_fiscal,full,energia,F1,0.05302078831214516
add_fiscal,full,energia,F2,0.002211460959854085
add_fiscal,full,energia,F3,0.003877965531160443
add_fiscal,full,energia,F4,0.004843234116355751
add_fiscal,full,energia,F5,0.01589641268675306
add_fiscal,full,energia,F6,0.012404689737752729
add_fiscal,full,energia,F7,0.01782301664198008
add_fiscal,full,epu,F1,0.0033136505645968042
add_fiscal,full,epu,F2,0.008531422061365772
add_fiscal,full,epu,F3,0.002201617660138562
add_fiscal,full,epu,F4,0.025604195735173616
add_fiscal,full,epu,F5,0.02401512411658195
add_fiscal,full,epu,F6,0.02812474599444537
add_fiscal,full,epu,F7,0.4611927053603995
add_fiscal,full,fiscal,F1,0.0045899368286203765
add_fiscal,full,fiscal,F2,0.04772385038826079
add_fiscal,full,fiscal,F3,0.04139760976331149
add_fiscal,full,fiscal,F4,0.014462944609915715
add_fiscal,full,fiscal,F5,0.011835340185383285
add_fiscal,full,fiscal,F6,0.020757138381932796
add_fiscal,full,fiscal,F7,0.0143896404498969
add_fiscal,full,industria,F1,0.3157677322680707
add_fiscal,full,industria,F2,0.007184620273398546
add_fiscal,full,industria,F3,0.03206514491436051
add_fiscal,full,industria,F4,0.05503259646178533
add_fiscal,full,industria,F5,0.007088387468162665
add_fiscal,full,industria,F6,0.029470884894851623
add_fiscal,full,industria,F7,0.06696298827370589
add_fiscal,full,monetario,F1,0.019600090684228976
add_fiscal,full,monetario,F2,0.009524586766623155
add_fiscal,full,monetario,F3,0.2867644249817675
add_fiscal,full,monetario,F4,0.02957302375624994
add_fiscal,full,monetario,F5,0.04182137692241034
add_fiscal,full,monetario,F6,0.10783577307599991
add_fiscal,full,monetario,F7,0.016435153491480853
add_fiscal,full,politica,F1,1.937675117833397e-6
add_fiscal,full,politica,F2,0.01159308588038072
add_fiscal,full,politica,F3,0.08947931014014351
add_fiscal,full,politica,F4,0.02994228935362179
add_fiscal,full,politica,F5,0.02883630364631215
add_fiscal,full,politica,F6,0.04002855438858972
add_fiscal,full,politica,F7,0.005593494146530769
add_fiscal,full,precos,F1,0.008965067825953799
add_fiscal,full,precos,F2,0.03489831999837628
add_fiscal,full,precos,F3,0.029513600036089483
add_fiscal,full,precos,F4,0.028451555471309307
add_fiscal,full,precos,F5,0.580199596302713
add_fiscal,full,precos,F6,0.1858772476835055
add_fiscal,full,precos,F7,0.08951294489959101
add_fiscal,full,risco_externo,F1,0.015443415189188523
add_fiscal,full,risco_externo,F2,0.09924007155296113
add_fiscal,full,risco_externo,F3,0.0039500796428495796
add_fiscal,full,risco_externo,F4,0.026132222583194597
add_fiscal,full,risco_externo,F5,0.013244125806400352
add_fiscal,full,risco_externo,F6,0.015497900834212175
add_fiscal,full,risco_externo,F7,0.008199544831728321
add_fiscal,full,trabalho,F1,0.2559583625016367
add_fiscal,full,trabalho,F2,0.022643699111336894
add_fiscal,full,trabalho,F3,0.21103134174765042
add_fiscal,full,trabalho,F4,0.030043742871851874
add_fiscal,full,trabalho,F5,0.030598243432974383
add_fiscal,full,trabalho,F6,0.050430810109258324
add_fiscal,full,trabalho,F7,0.05425333571298861
add_fiscal,full,vendas,F1,0.06491144595382384
add_fiscal,full,vendas,F2,1.7367375781908684e-4
add_fiscal,full,vendas,F3,0.004093906013718637
add_fiscal,full,vendas,F4,0.012245089316768371
add_fiscal,full,vendas,F5,5.556581913231382e-4
add_fiscal,full,vendas,F6,0.004019518107745939
add_fiscal,full,vendas,F7,0.010828965410200012
add_fiscal,pre_covid,acoes,F1,0.15027183088858834
add_fiscal,pre_covid,acoes,F2,0.014934464790592556
add_fiscal,pre_covid,acoes,F3,0.23660073243595955
add_fiscal,pre_covid,acoes,F4,0.14088007711946182
add_fiscal,pre_covid,acoes,F5,0.00751601606649445
add_fiscal,pre_covid,acoes,F6,0.15928299143941577
add_fiscal,pre_covid,acoes,F7,0.048568492013089354
add_fiscal,pre_covid,atividade_agregada,F1,0.0012536375245084123
add_fiscal,pre_covid,atividade_agregada,F2,0.035721372425223566
add_fiscal,pre_covid,atividade_agregada,F3,0.010816680375499179
add_fiscal,pre_covid,atividade_agregada,F4,0.0050355540327276516
add_fiscal,pre_covid,atividade_agregada,F5,0.02521069921035752
add_fiscal,pre_covid,atividade_agregada,F6,0.0051018322931339144
add_fiscal,pre_covid,atividade_agregada,F7,0.032102221812801084
add_fiscal,pre_covid,cambio,F1,0.1664561487996969
add_fiscal,pre_covid,cambio,F2,0.0030220776703445995
add_fiscal,pre_covid,cambio,F3,0.00560940653458964
add_fiscal,pre_covid,cambio,F4,0.009070959999836072
add_fiscal,pre_covid,cambio,F5,0.032312065309073004
add_fiscal,pre_covid,cambio,F6,0.18450271042053473
add_fiscal,pre_covid,cambio,F7,0.021432458394150245
add_fiscal,pre_covid,combustiveis,F1,0.005372426549422933
add_fiscal,pre_covid,combustiveis,F2,0.126118520214382
add_fiscal,pre_covid,combustiveis,F3,0.021088755585307938
add_fiscal,pre_covid,combustiveis,F4,0.017956576544608756
add_fiscal,pre_covid,combustiveis,F5,0.052361750517059845
add_fiscal,pre_covid,combustiveis,F6,0.025776362459740968
add_fiscal,pre_covid,combustiveis,F7,0.10998588831728218
add_fiscal,pre_covid,commodities,F1,0.05571649711356239
add_fiscal,pre_covid,commodities,F2,0.001040657371617035
add_fiscal,pre_covid,commodities,F3,0.0046197599662488415
add_fiscal,pre_covid,commodities,F4,0.00577491524910595
add_fiscal,pre_covid,commodities,F5,0.03932707004971308
add_fiscal,pre_covid,commodities,F6,0.07233245570766463
add_fiscal,pre_covid,commodities,F7,0.03873782134796861
add_fiscal,pre_covid,confianca,F1,0.009152576762777387
add_fiscal,pre_covid,confianca,F2,0.002504423859660714
add_fiscal,pre_covid,confianca,F3,0.017654625899816128
add_fiscal,pre_covid,confianca,F4,0.018290084043634487
add_fiscal,pre_covid,confianca,F5,0.018361928599673952
add_fiscal,pre_covid,confianca,F6,0.03396817502464862
add_fiscal,pre_covid,confianca,F7,0.010418387297779674
add_fiscal,pre_covid,credito_existente,F1,0.12405966249183398
add_fiscal,pre_covid,credito_existente,F2,0.024433336786140496
add_fiscal,pre_covid,credito_existente,F3,0.19896387642297272
add_fiscal,pre_covid,credito_existente,F4,0.022570707685308868
add_fiscal,pre_covid,credito_existente,F5,0.09726153575823786
add_fiscal,pre_covid,credito_existente,F6,0.10771965622113329
add_fiscal,pre_covid,credito_existente,F7,0.009037648822667587
add_fiscal,pre_covid,curva,F1,0.21433117241503852
add_fiscal,pre_covid,curva,F2,0.006526446918332543
add_fiscal,pre_covid,curva,F3,0.04228111625237937
add_fiscal,pre_covid,curva,F4,0.007389910523879858
add_fiscal,pre_covid,curva,F5,0.1405343643558302
add_fiscal,pre_covid,curva,F6,0.005984239132832382
add_fiscal,pre_covid,curva,F7,0.0074612514076561175
add_fiscal,pre_covid,energia,F1,0.009391106400927133
add_fiscal,pre_covid,energia,F2,0.02788642181376473
add_fiscal,pre_covid,energia,F3,0.04411305646206748
add_fiscal,pre_covid,energia,F4,0.055531465855676
add_fiscal,pre_covid,energia,F5,0.015078402022319333
add_fiscal,pre_covid,energia,F6,0.009269176947591683
add_fiscal,pre_covid,energia,F7,0.0056626352993470516
add_fiscal,pre_covid,epu,F1,0.007007148720959831
add_fiscal,pre_covid,epu,F2,0.006754535863208292
add_fiscal,pre_covid,epu,F3,0.008878033108979144
add_fiscal,pre_covid,epu,F4,0.033391757770081236
add_fiscal,pre_covid,epu,F5,0.0345194708121798
add_fiscal,pre_covid,epu,F6,0.05230727076638694
add_fiscal,pre_covid,epu,F7,0.05792069379474762
add_fiscal,pre_covid,fiscal,F1,0.051715323959507405
add_fiscal,pre_covid,fiscal,F2,0.007599525483530003
add_fiscal,pre_covid,fiscal,F3,0.05474079528196057
add_fiscal,pre_covid,fiscal,F4,0.013149970305924227
add_fiscal,pre_covid,fiscal,F5,0.019941490845850247
add_fiscal,pre_covid,fiscal,F6,0.006741509542616851
add_fiscal,pre_covid,fiscal,F7,0.003257280698780859
add_fiscal,pre_covid,industria,F1,0.019585197578211144
add_fiscal,pre_covid,industria,F2,0.4091638735881218
add_fiscal,pre_covid,industria,F3,0.020459996527986208
add_fiscal,pre_covid,industria,F4,0.04709593671030986
add_fiscal,pre_covid,industria,F5,0.11365472813617472
add_fiscal,pre_covid,industria,F6,0.06380009882331306
add_fiscal,pre_covid,industria,F7,0.11026534050490043
add_fiscal,pre_covid,monetario,F1,0.01235601897629442
add_fiscal,pre_covid,monetario,F2,0.05030968649003013
add_fiscal,pre_covid,monetario,F3,0.08586428223601086
add_fiscal,pre_covid,monetario,F4,0.032613006410688344
add_fiscal,pre_covid,monetario,F5,0.08741785236758587
add_fiscal,pre_covid,monetario,F6,0.16657332971297195
add_fiscal,pre_covid,monetario,F7,0.00864152016128891
add_fiscal,pre_covid,politica,F1,0.010630162887619032
add_fiscal,pre_covid,politica,F2,0.0029506102161997324
add_fiscal,pre_covid,politica,F3,0.010598486311490615
add_fiscal,pre_covid,politica,F4,1.1450495460655931e-4
add_fiscal,pre_covid,politica,F5,0.14858344499117504
add_fiscal,pre_covid,politica,F6,0.002679991839556762
add_fiscal,pre_covid,politica,F7,0.008290373779893934
add_fiscal,pre_covid,precos,F1,0.05588302169317186
add_fiscal,pre_covid,precos,F2,0.0466256790939236
add_fiscal,pre_covid,precos,F3,0.08814896385015447
add_fiscal,pre_covid,precos,F4,0.5095361873284802
add_fiscal,pre_covid,precos,F5,0.06404668904529696
add_fiscal,pre_covid,precos,F6,0.024527340822330646
add_fiscal,pre_covid,precos,F7,0.08377602704838832
add_fiscal,pre_covid,risco_externo,F1,0.08928941824728213
add_fiscal,pre_covid,risco_externo,F2,0.002181820526993946
add_fiscal,pre_covid,risco_externo,F3,0.003783211348984581
add_fiscal,pre_covid,risco_externo,F4,0.013538658485776029
add_fiscal,pre_covid,risco_externo,F5,0.014386609873548367
add_fiscal,pre_covid,risco_externo,F6,0.01745977974776077
add_fiscal,pre_covid,risco_externo,F7,0.0032016616670732835
add_fiscal,pre_covid,trabalho,F1,0.01685600533307199
add_fiscal,pre_covid,trabalho,F2,0.1658264359019416
add_fiscal,pre_covid,trabalho,F3,0.12439740266181264
add_fiscal,pre_covid,trabalho,F4,0.06767385420350863
add_fiscal,pre_covid,trabalho,F5,0.07529904417795104
add_fiscal,pre_covid,trabalho,F6,0.05148683603865745
add_fiscal,pre_covid,trabalho,F7,0.41032332215470846
add_fiscal,pre_covid,vendas,F1,6.726436575250772e-4
add_fiscal,pre_covid,vendas,F2,0.06640011098599387
add_fiscal,pre_covid,vendas,F3,0.02138081873777909
add_fiscal,pre_covid,vendas,F4,3.858727763854364e-4
add_fiscal,pre_covid,vendas,F5,0.014186837861476675
add_fiscal,pre_covid,vendas,F6,0.01048624305971009
add_fiscal,pre_covid,vendas,F7,0.03091697547747631
add_setor_externo,full,acoes,F1,0.032461510406373344
add_setor_externo,full,acoes,F2,0.24218431898469034
add_setor_externo,full,acoes,F3,0.003740881920173037
add_setor_externo,full,acoes,F4,0.3840884788165241
add_setor_externo,full,acoes,F5,0.018583063652516007
add_setor_externo,full,acoes,F6,0.04630835310607042
add_setor_externo,full,acoes,F7,0.015829805869800595
add_setor_externo,full,atividade_agregada,F1,0.04183918911888919
add_setor_externo,full,atividade_agregada,F2,0.0016446536111779596
add_setor_externo,full,atividade_agregada,F3,0.006492045418515231
add_setor_externo,full,atividade_agregada,F4,0.005171276184215173
add_setor_externo,full,atividade_agregada,F5,0.011317267785481956
add_setor_externo,full,atividade_agregada,F6,0.004329818249571986
add_setor_externo,full,atividade_agregada,F7,0.021235646433736356
add_setor_externo,full,cambio,F1,0.02863736437469884
add_setor_externo,full,cambio,F2,0.10801683469989873
add_setor_externo,full,cambio,F3,0.06430647211945639
add_setor_externo,full,cambio,F4,0.05680163433901615
add_setor_externo,full,cambio,F5,0.13124138204787109
add_setor_externo,full,cambio,F6,0.04614769039082035
add_setor_externo,full,cambio,F7,0.03849004302750783
add_setor_externo,full,combustiveis,F1,0.09380898128081419
add_setor_externo,full,combustiveis,F2,0.004198214062190692
add_setor_externo,full,combustiveis,F3,0.016725810682282356
add_setor_externo,full,combustiveis,F4,0.023954128416453484
add_setor_externo,full,combustiveis,F5,0.00574297946537141
add_setor_externo,full,combustiveis,F6,0.04973386723089772
add_setor_externo,full,combustiveis,F7,0.012638561889022406
add_setor_externo,full,commodities,F1,0.0010259622786185608
add_setor_externo,full,commodities,F2,0.03839527144727946
add_setor_externo,full,commodities,F3,0.010868176976336262
add_setor_externo,full,commodities,F4,0.044261784419007015
add_setor_externo,full,commodities,F5,0.009862184322447485
add_setor_externo,full,commodities,F6,0.09885891702226313
add_setor_externo,full,commodities,F7,0.010880729342212802
add_setor_externo,full,confianca,F1,0.036779463263709275
add_setor_externo,full,confianca,F2,5.493399285398325e-4
add_setor_externo,full,confianca,F3,8.957469841984547e-4
add_setor_externo,full,confianca,F4,0.009922801016111059
add_setor_externo,full,confianca,F5,0.0016569688319779637
add_setor_externo,full,confianca,F6,0.005039394576372101
add_setor_externo,full,confianca,F7,0.004424497807196912
add_setor_externo,full,credito_existente,F1,0.018041519925710656
add_setor_externo,full,credito_existente,F2,0.14226570824291973
add_setor_externo,full,credito_existente,F3,0.11760526485451396
add_setor_externo,full,credito_existente,F4,0.11797192362953098
add_setor_externo,full,credito_existente,F5,0.04707553055550931
add_setor_externo,full,credito_existente,F6,0.21011038726881748
add_setor_externo,full,credito_existente,F7,0.061794649534537
add_setor_externo,full,curva,F1,0.0037628676781995963
add_setor_externo,full,curva,F2,0.24948124436427993
add_setor_externo,full,curva,F3,0.07763134069233399
add_setor_externo,full,curva,F4,0.1130617431169679
add_setor_externo,full,curva,F5,0.018776476728267745
add_setor_externo,full,curva,F6,0.06165452677514016
add_setor_externo,full,curva,F7,0.10001109540906868
add_setor_externo,full,energia,F1,0.05243920020055554
add_setor_externo,full,energia,F2,0.00205777407452144
add_setor_externo,full,energia,F3,0.004737438002110008
add_setor_externo,full,energia,F4,0.004122815703189824
add_setor_externo,full,energia,F5,0.014577469845598637
add_setor_externo,full,energia,F6,0.009690359953184657
add_setor_externo,full,energia,F7,0.02048764315463265
add_setor_externo,full,epu,F1,0.0030862638264856175
add_setor_externo,full,epu,F2,0.008921545409207272
add_setor_externo,full,epu,F3,0.003270100152803593
add_setor_externo,full,epu,F4,0.024411909418694262
add_setor_externo,full,epu,F5,0.024577326670822856
add_setor_externo,full,epu,F6,0.03534081010994813
add_setor_externo,full,epu,F7,0.48381484675219805
add_setor_externo,full,industria,F1,0.31532685910954805
add_setor_externo,full,industria,F2,0.0077434299424907795
add_setor_externo,full,industria,F3,0.035784596206266776
add_setor_externo,full,industria,F4,0.05216014240007334
add_setor_externo,full,industria,F5,0.007634933197200839
add_setor_externo,full,industria,F6,0.02767573322182294
add_setor_externo,full,industria,F7,0.031781568442735116
add_setor_externo,full,monetario,F1,0.01943369131842695
add_setor_externo,full,monetario,F2,0.009356629606314237
add_setor_externo,full,monetario,F3,0.30609008835355045
add_setor_externo,full,monetario,F4,0.020160647206250045
add_setor_externo,full,monetario,F5,0.04262926733476881
add_setor_externo,full,monetario,F6,0.10244892535387784
add_setor_externo,full,monetario,F7,0.04146118256389529
add_setor_externo,full,politica,F1,9.408013103730648e-7
add_setor_externo,full,politica,F2,0.011766929615423182
add_setor_externo,full,politica,F3,0.08925570505978413
add_setor_externo,full,politica,F4,0.0345705510265394
add_setor_externo,full,politica,F5,0.026832321109115334
add_setor_externo,full,politica,F6,0.04872901754144737
add_setor_externo,full,politica,F7,0.003202209493468426
add_setor_externo,full,precos,F1,0.008655434595012498
add_setor_externo,full,precos,F2,0.03854822993392836
add_setor_externo,full,precos,F3,0.02705831321327539
add_setor_externo,full,precos,F4,0.03263740901764719
add_setor_externo,full,precos,F5,0.5948731565954809
add_setor_externo,full,precos,F6,0.16924814461677826
add_setor_externo,full,precos,F7,0.10741170804941753
add_setor_externo,full,risco_externo,F1,0.015138140038231263
add_setor_externo,full,risco_externo,F2,0.10203668789097137
add_setor_externo,full,risco_externo,F3,0.003147791014856882
add_setor_externo,full,risco_externo,F4,0.02655941477264038
add_setor_externo,full,risco_externo,F5,0.013804107706177774
add_setor_externo,full,risco_externo,F6,0.014881045383799597
add_setor_externo,full,risco_externo,F7,0.006231687184891574
add_setor_externo,full,setor_externo,F1,0.01259152144231154
add_setor_externo,full,setor_externo,F2,0.01174429122191297
add_setor_externo,full,setor_externo,F3,0.01523663322641674
add_setor_externo,full,setor_externo,F4,0.0073978824441033484
add_setor_externo,full,setor_externo,F5,0.0014168424164735496
add_setor_externo,full,setor_externo,F6,0.01315674088174552
add_setor_externo,full,setor_externo,F7,0.007948554618410887
add_setor_externo,full,trabalho,F1,0.2528539833409818
add_setor_externo,full,trabalho,F2,0.02094655887047809
add_setor_externo,full,trabalho,F3,0.212464823410639
add_setor_externo,full,trabalho,F4,0.03188643285765725
add_setor_externo,full,trabalho,F5,0.02846585041836709
add_setor_externo,full,trabalho,F6,0.053221752509881974
add_setor_externo,full,trabalho,F7,0.030118946170589182
add_setor_externo,full,vendas,F1,0.06411710700012202
add_setor_externo,full,vendas,F2,1.4233809377568035e-4
add_setor_externo,full,vendas,F3,0.004688771712487883
add_setor_externo,full,vendas,F4,0.010859025215379224
add_setor_externo,full,vendas,F5,9.328713165515133e-4
add_setor_externo,full,vendas,F6,0.0034245158075587043
add_setor_externo,full,vendas,F7,0.002236624256678328
add_setor_externo,pre_covid,acoes,F1,0.14760670734572995
add_setor_externo,pre_covid,acoes,F2,0.020824886463355497
add_setor_externo,pre_covid,acoes,F3,0.24022228699261425
add_setor_externo,pre_covid,acoes,F4,0.15012595079738397
add_setor_externo,pre_covid,acoes,F5,0.02807942270075115
add_setor_externo,pre_covid,acoes,F6,0.1304293831887126
add_setor_externo,pre_covid,acoes,F7,0.04580635342784355
add_setor_externo,pre_covid,atividade_agregada,F1,0.002189506633205049
add_setor_externo,pre_covid,atividade_agregada,F2,0.03513774109990501
add_setor_externo,pre_covid,atividade_agregada,F3,0.014343581552083755
add_setor_externo,pre_covid,atividade_agregada,F4,0.001765842857822079
add_setor_externo,pre_covid,atividade_agregada,F5,0.024640743832674762
add_setor_externo,pre_covid,atividade_agregada,F6,0.003579288779507364
add_setor_externo,pre_covid,atividade_agregada,F7,0.03064148123591139
add_setor_externo,pre_covid,cambio,F1,0.16693817453638093
add_setor_externo,pre_covid,cambio,F2,0.006469435830504985
add_setor_externo,pre_covid,cambio,F3,0.006231996589131277
add_setor_externo,pre_covid,cambio,F4,0.013008817996106646
add_setor_externo,pre_covid,cambio,F5,0.05692003874039709
add_setor_externo,pre_covid,cambio,F6,0.158347218795513
add_setor_externo,pre_covid,cambio,F7,0.023429148120030892
add_setor_externo,pre_covid,combustiveis,F1,0.005616511894224121
add_setor_externo,pre_covid,combustiveis,F2,0.1269958002635237
add_setor_externo,pre_covid,combustiveis,F3,0.02065800285782796
add_setor_externo,pre_covid,combustiveis,F4,0.02491158954935185
add_setor_externo,pre_covid,combustiveis,F5,0.039064807353046675
add_setor_externo,pre_covid,combustiveis,F6,0.034316007810120945
add_setor_externo,pre_covid,combustiveis,F7,0.10028007903602358
add_setor_externo,pre_covid,commodities,F1,0.05748265520065203
add_setor_externo,pre_covid,commodities,F2,0.0022102541288954217
add_setor_externo,pre_covid,commodities,F3,0.004663521185471042
add_setor_externo,pre_covid,commodities,F4,6.964701769079899e-4
add_setor_externo,pre_covid,commodities,F5,0.05957225599219101
add_setor_externo,pre_covid,commodities,F6,0.05980783570608128
add_setor_externo,pre_covid,commodities,F7,0.04057620829163521
add_setor_externo,pre_covid,confianca,F1,0.008939827889521093
add_setor_externo,pre_covid,confianca,F2,0.002505805219148207
add_setor_externo,pre_covid,confianca,F3,0.02042415239309446
add_setor_externo,pre_covid,confianca,F4,0.024830220514371046
add_setor_externo,pre_covid,confianca,F5,0.004980831328455513
add_setor_externo,pre_covid,confianca,F6,0.03677743884525792
add_setor_externo,pre_covid,confianca,F7,0.011429119439118823
add_setor_externo,pre_covid,credito_existente,F1,0.12712605835117807
add_setor_externo,pre_covid,credito_existente,F2,0.026194397588829008
add_setor_externo,pre_covid,credito_existente,F3,0.18846749314157193
add_setor_externo,pre_covid,credito_existente,F4,0.04559302070413556
add_setor_externo,pre_covid,credito_existente,F5,0.08301784269383505
add_setor_externo,pre_covid,credito_existente,F6,0.1173851712088015
add_setor_externo,pre_covid,credito_existente,F7,0.009274653225096225
add_setor_externo,pre_covid,curva,F1,0.22604258968826438
add_setor_externo,pre_covid,curva,F2,0.004128151443820075
add_setor_externo,pre_covid,curva,F3,0.0533025536860049
add_setor_externo,pre_covid,curva,F4,0.0028030598519477347
add_setor_externo,pre_covid,curva,F5,0.13696671140076105
add_setor_externo,pre_covid,curva,F6,0.004276120123953069
add_setor_externo,pre_covid,curva,F7,0.006462964868168537
add_setor_externo,pre_covid,energia,F1,0.011215512278262764
add_setor_externo,pre_covid,energia,F2,0.025807317340563247
add_setor_externo,pre_covid,energia,F3,0.04566293898282247
add_setor_externo,pre_covid,energia,F4,0.05999635916410244
add_setor_externo,pre_covid,energia,F5,0.006524227734500984
add_setor_externo,pre_covid,energia,F6,0.011511967115009729
add_setor_externo,pre_covid,energia,F7,0.004023962697954304
add_setor_externo,pre_covid,epu,F1,0.007676604089649407
add_setor_externo,pre_covid,epu,F2,0.006778862453627196
add_setor_externo,pre_covid,epu,F3,0.007099327425858393
add_setor_externo,pre_covid,epu,F4,0.044367641574404204
add_setor_externo,pre_covid,epu,F5,0.02094699202211237
add_setor_externo,pre_covid,epu,F6,0.05692873234050014
add_setor_externo,pre_covid,epu,F7,0.058949051058436994
add_setor_externo,pre_covid,industria,F1,0.030404185284667037
add_setor_externo,pre_covid,industria,F2,0.39619824543680565
add_setor_externo,pre_covid,industria,F3,0.018711915311238076
add_setor_externo,pre_covid,industria,F4,0.055348737244168736
add_setor_externo,pre_covid,industria,F5,0.09244674191025905
add_setor_externo,pre_covid,industria,F6,0.06431508801545965
add_setor_externo,pre_covid,industria,F7,0.10705354506574384
add_setor_externo,pre_covid,monetario,F1,0.012585718225881466
add_setor_externo,pre_covid,monetario,F2,0.04669606915102345
add_setor_externo,pre_covid,monetario,F3,0.0696494367699732
add_setor_externo,pre_covid,monetario,F4,0.02902759086705135
add_setor_externo,pre_covid,monetario,F5,0.08170775431721454
add_setor_externo,pre_covid,monetario,F6,0.2053184336101823
add_setor_externo,pre_covid,monetario,F7,0.006134427168979348
add_setor_externo,pre_covid,politica,F1,0.011841702839655065
add_setor_externo,pre_covid,politica,F2,0.0023285332266086978
add_setor_externo,pre_covid,politica,F3,0.014104679207580236
add_setor_externo,pre_covid,politica,F4,0.010904663474926536
add_setor_externo,pre_covid,politica,F5,0.1415429096626834
add_setor_externo,pre_covid,politica,F6,1.9055860263685895e-5
add_setor_externo,pre_covid,politica,F7,0.007553673686101513
add_setor_externo,pre_covid,precos,F1,0.05707660307240576
add_setor_externo,pre_covid,precos,F2,0.04780042678039294
add_setor_externo,pre_covid,precos,F3,0.1110510508417868
add_setor_externo,pre_covid,precos,F4,0.4461238899568019
add_setor_externo,pre_covid,precos,F5,0.10156988445758075
add_setor_externo,pre_covid,precos,F6,0.017076583805581816
add_setor_externo,pre_covid,precos,F7,0.09995227748798416
add_setor_externo,pre_covid,risco_externo,F1,0.09105361274219775
add_setor_externo,pre_covid,risco_externo,F2,0.0031998266220204857
add_setor_externo,pre_covid,risco_externo,F3,0.0032896063186202613
add_setor_externo,pre_covid,risco_externo,F4,0.00691796641781236
add_setor_externo,pre_covid,risco_externo,F5,0.027902248340508296
add_setor_externo,pre_covid,risco_externo,F6,0.017519375694047216
add_setor_externo,pre_covid,risco_externo,F7,0.0022095601623906293
add_setor_externo,pre_covid,setor_externo,F1,0.015550731374159986
add_setor_externo,pre_covid,setor_externo,F2,0.022999236132615865
add_setor_externo,pre_covid,setor_externo,F3,0.03313782091474147
add_setor_externo,pre_covid,setor_externo,F4,0.007162394736204584
add_setor_externo,pre_covid,setor_externo,F5,0.007324306246384661
add_setor_externo,pre_covid,setor_externo,F6,0.009990225804828556
add_setor_externo,pre_covid,setor_externo,F7,0.030109846558255136
add_setor_externo,pre_covid,trabalho,F1,0.01982457730527506
add_setor_externo,pre_covid,trabalho,F2,0.1585702081071403
add_setor_externo,pre_covid,trabalho,F3,0.1317423376401282
add_setor_externo,pre_covid,trabalho,F4,0.07475165673920998
add_setor_externo,pre_covid,trabalho,F5,0.07566161521470849
add_setor_externo,pre_covid,trabalho,F6,0.06100072975128271
add_setor_externo,pre_covid,trabalho,F7,0.3826145672881892
add_setor_externo,pre_covid,vendas,F1,8.287212486896632e-4
add_setor_externo,pre_covid,vendas,F2,0.06515480271121935
add_setor_externo,pre_covid,vendas,F3,0.0172372981894498
add_setor_externo,pre_covid,vendas,F4,0.0016641273772921902
add_setor_externo,pre_covid,vendas,F5,0.011130666051935752
add_setor_externo,pre_covid,vendas,F6,0.011401343544896183
add_setor_externo,pre_covid,vendas,F7,0.033499081182135765
add_expectativas,full,acoes,F1,0.03420386460545237
add_expectativas,full,acoes,F2,0.20751215433671594
add_expectativas,full,acoes,F3,0.0021442629362129375
add_expectativas,full,acoes,F4,0.4236629308601107
add_expectativas,full,acoes,F5,0.016129212576745763
add_expectativas,full,acoes,F6,0.03630956200298641
add_expectativas,full,acoes,F7,0.021569633468923984
add_expectativas,full,atividade_agregada,F1,0.04204578907643895
add_expectativas,full,atividade_agregada,F2,0.0017598506185733576
add_expectativas,full,atividade_agregada,F3,0.00738308710445539
add_expectativas,full,atividade_agregada,F4,0.006828923922517286
add_expectativas,full,atividade_agregada,F5,0.012245887803161538
add_expectativas,full,atividade_agregada,F6,0.00407550861977481
add_expectativas,full,atividade_agregada,F7,0.015963255420267785
add_expectativas,full,cambio,F1,0.031145633510846763
add_expectativas,full,cambio,F2,0.11668177500823707
add_expectativas,full,cambio,F3,0.06774769307072062
add_expectativas,full,cambio,F4,0.03928955227706564
add_expectativas,full,cambio,F5,0.1184094270605948
add_expectativas,full,cambio,F6,0.05087957224213477
add_expectativas,full,cambio,F7,0.035038936702611476
add_expectativas,full,combustiveis,F1,0.09304805268039458
add_expectativas,full,combustiveis,F2,0.003639993682141073
add_expectativas,full,combustiveis,F3,0.016988336378917425
add_expectativas,full,combustiveis,F4,0.021726135482623813
add_expectativas,full,combustiveis,F5,0.004313478642767142
add_expectativas,full,combustiveis,F6,0.04030323534548153
add_expectativas,full,combustiveis,F7,0.017914011176650882
