variant,sample,block,factor,squared_loading_share
baseline,pre_covid,acoes,F5,0.06344690926262975
baseline,pre_covid,acoes,F6,0.07924695804817371
baseline,pre_covid,acoes,F7,0.047172202030823916
baseline,pre_covid,atividade_agregada,F1,0.0016113701596949521
baseline,pre_covid,atividade_agregada,F2,0.034669754087190266
baseline,pre_covid,atividade_agregada,F3,0.015649473545951267
baseline,pre_covid,atividade_agregada,F4,0.0014563367770351512
baseline,pre_covid,atividade_agregada,F5,0.025690341782449794
baseline,pre_covid,atividade_agregada,F6,0.002612684309035913
baseline,pre_covid,atividade_agregada,F7,0.03139716425680817
baseline,pre_covid,cambio,F1,0.17221633535065334
baseline,pre_covid,cambio,F2,0.004124185454857257
baseline,pre_covid,cambio,F3,0.007400947996785025
baseline,pre_covid,cambio,F4,0.009295727484608118
baseline,pre_covid,cambio,F5,0.08938485165577825
baseline,pre_covid,cambio,F6,0.12803977486693513
baseline,pre_covid,cambio,F7,0.021549671900181193
baseline,pre_covid,combustiveis,F1,0.00573780731606254
baseline,pre_covid,combustiveis,F2,0.1272790255616329
baseline,pre_covid,combustiveis,F3,0.02162499311287093
baseline,pre_covid,combustiveis,F4,0.029520734278859533
baseline,pre_covid,combustiveis,F5,0.02838830737095485
baseline,pre_covid,combustiveis,F6,0.039477928744849435
baseline,pre_covid,combustiveis,F7,0.10829130683091072
baseline,pre_covid,commodities,F1,0.059236721619953865
baseline,pre_covid,commodities,F2,0.001489333792136683
baseline,pre_covid,commodities,F3,0.003854729317502403
baseline,pre_covid,commodities,F4,7.677222673298414e-4
baseline,pre_covid,commodities,F5,0.07587723613172806
baseline,pre_covid,commodities,F6,0.042814087227084685
baseline,pre_covid,commodities,F7,0.038243834984983106
baseline,pre_covid,confianca,F1,0.0092651550803338565
baseline,pre_covid,confianca,F2,0.002738413910840965
baseline,pre_covid,confianca,F3,0.020923952001644347
baseline,pre_covid,confianca,F4,0.029773885359138004
baseline,pre_covid,confianca,F5,9.187647722378347e-4
baseline,pre_covid,confianca,F6,0.036556724903041724
baseline,pre_covid,confianca,F7,0.010881693325441415
baseline,pre_covid,credito_existente,F1,0.12883868352756392
baseline,pre_covid,credito_existente,F2,0.023877380611391285
baseline,pre_covid,credito_existente,F3,0.19395257109773398
baseline,pre_covid,credito_existente,F4,0.046165964230500046
baseline,pre_covid,credito_existente,F5,0.078573170427155975
baseline,pre_covid,credito_existente,F6,0.12763721603599612
baseline,pre_covid,credito_existente,F7,0.009638852447163558
baseline,pre_covid,curva,F1,0.22884481249969987
baseline,pre_covid,curva,F2,0.006129725465489675
baseline,pre_covid,curva,F3,0.059490371778017484
baseline,pre_covid,curva,F4,0.006126202478236525
baseline,pre_covid,curva,F5,0.12773456944184325
baseline,pre_covid,curva,F6,0.005264116810586374
baseline,pre_covid,curva,F7,0.006363231278048462
baseline,pre_covid,energia,F1,0.010562809403661928
baseline,pre_covid,energia,F2,0.027112511169843548
baseline,pre_covid,energia,F3,0.051631162317461114
baseline,pre_covid,energia,F4,0.06389607685343163
baseline,pre_covid,energia,F5,0.0065314450434559935
baseline,pre_covid,energia,F6,0.007174632022460218
baseline,pre_covid,energia,F7,0.0037090202065689793
baseline,pre_covid,epu,F1,0.007680447483603811
baseline,pre_covid,epu,F2,0.006893802685815207
baseline,pre_covid,epu,F3,0.00832702110505248
baseline,pre_covid,epu,F4,0.044768687347508045
baseline,pre_covid,epu,F5,0.018613420974011335
baseline,pre_covid,epu,F6,0.05792804256694796
baseline,pre_covid,epu,F7,0.05733207163911754
baseline,pre_covid,industria,F1,0.02406955041592864
baseline,pre_covid,industria,F2,0.4103576904474067
baseline,pre_covid,industria,F3,0.019268548549041257
baseline,pre_covid,industria,F4,0.059053132581666584
baseline,pre_covid,industria,F5,0.07921093947583505
baseline,pre_covid,industria,F6,0.0867519555951047
baseline,pre_covid,industria,F7,0.11401867892881724
baseline,pre_covid,monetario,F1,0.013054382962368926
baseline,pre_covid,monetario,F2,0.04910229574648758
baseline,pre_covid,monetario,F3,0.07185059748723442
baseline,pre_covid,monetario,F4,0.024437209843873185
baseline,pre_covid,monetario,F5,0.0527464032259332
baseline,pre_covid,monetario,F6,0.24534799753958694
baseline,pre_covid,monetario,F7,0.00827147605777578
baseline,pre_covid,politica,F1,0.011571672764954553
baseline,pre_covid,politica,F2,0.0029642816089430098
baseline,pre_covid,politica,F3,0.016522119648207774
baseline,pre_covid,politica,F4,0.018637291957899805
baseline,pre_covid,politica,F5,0.13143863335528205
baseline,pre_covid,politica,F6,0.002720433346068596
baseline,pre_covid,politica,F7,0.0073637064396039585
baseline,pre_covid,precos,F1,0.059117373058740964
baseline,pre_covid,precos,F2,0.049661647863956805
baseline,pre_covid,precos,F3,0.12065238626871087
baseline,pre_covid,precos,F4,0.41627769300083156
baseline,pre_covid,precos,F5,0.1198250787890018
baseline,pre_covid,precos,F6,0.02976373410270385
baseline,pre_covid,precos,F7,0.08719711040506774
baseline,pre_covid,risco_externo,F1,0.09342603815153323
baseline,pre_covid,risco_externo,F2,0.0026161207460557007
baseline,pre_covid,risco_externo,F3,0.0028280957959832915
baseline,pre_covid,risco_externo,F4,0.005207414734955955
baseline,pre_covid,risco_externo,F5,0.029749731990025844
baseline,pre_covid,risco_externo,F6,0.017444736380287398
baseline,pre_covid,risco_externo,F7,0.0031030372555506582
baseline,pre_covid,trabalho,F1,0.01846614481054117
baseline,pre_covid,trabalho,F2,0.16679724064743673
baseline,pre_covid,trabalho,F3,0.12497420616995308
baseline,pre_covid,trabalho,F4,0.07171391087696195
baseline,pre_covid,trabalho,F5,0.06273292401000219
baseline,pre_covid,trabalho,F6,0.07620561327595542
baseline,pre_covid,trabalho,F7,0.41225586828467436
baseline,pre_covid,vendas,F1,6.726776648206141e-4
baseline,pre_covid,vendas,F2,0.06616746165127393
baseline,pre_covid,vendas,F3,0.019887044926996673
baseline,pre_covid,vendas,F4,0.00273257037571405
baseline,pre_covid,vendas,F5,0.009137272291673519
baseline,pre_covid,vendas,F6,0.015013364225180563
baseline,pre_covid,vendas,F7,0.03321107372846167
drop_near_duplicates,full,acoes,F1,0.023445917908097063
drop_near_duplicates,full,acoes,F2,0.1923679689226377
drop_near_duplicates,full,acoes,F3,9.461601299534722e-4
drop_near_duplicates,full,acoes,F4,0.3472367500119535
drop_near_duplicates,full,acoes,F5,0.07081517269912996
drop_near_duplicates,full,acoes,F6,0.041035307553278194
drop_near_duplicates,full,acoes,F7,0.014758534667352314
drop_near_duplicates,full,atividade_agregada,F1,0.0427493936337993
drop_near_duplicates,full,atividade_agregada,F2,0.0014995244837669812
drop_near_duplicates,full,atividade_agregada,F3,0.007770005854323184
drop_near_duplicates,full,atividade_agregada,F4,0.008427643605695291
drop_near_duplicates,full,atividade_agregada,F5,0.008919279294887221
drop_near_duplicates,full,atividade_agregada,F6,0.006612663750545837
drop_near_duplicates,full,atividade_agregada,F7,0.01887499344841028
drop_near_duplicates,full,cambio,F1,0.03043201131447939
drop_near_duplicates,full,cambio,F2,0.12860370050509745
drop_near_duplicates,full,cambio,F3,0.05905520407833326
drop_near_duplicates,full,cambio,F4,0.07252150423183716
drop_near_duplicates,full,cambio,F5,0.09169585508633646
drop_near_duplicates,full,cambio,F6,0.07149660997188359
drop_near_duplicates,full,cambio,F7,0.01968153617259634
drop_near_duplicates,full,combustiveis,F1,0.09547911971340876
drop_near_duplicates,full,combustiveis,F2,0.004692436607665632
drop_near_duplicates,full,combustiveis,F3,0.02059435584927177
drop_near_duplicates,full,combustiveis,F4,0.01957163452971797
drop_near_duplicates,full,combustiveis,F5,0.009793816488523557
drop_near_duplicates,full,combustiveis,F6,0.04184858392017315
drop_near_duplicates,full,combustiveis,F7,0.01253829101427133
drop_near_duplicates,full,commodities,F1,0.0011015428432024372
drop_near_duplicates,full,commodities,F2,0.04658931541512705
drop_near_duplicates,full,commodities,F3,0.009712905610560731
drop_near_duplicates,full,commodities,F4,0.04408492124545762
drop_near_duplicates,full,commodities,F5,0.0074475945991629555
drop_near_duplicates,full,commodities,F6,0.09587698751265433
drop_near_duplicates,full,commodities,F7,0.014319621120786068
drop_near_duplicates,full,confianca,F1,0.037793522302687045
drop_near_duplicates,full,confianca,F2,4.3451361041429103e-4
drop_near_duplicates,full,confianca,F3,0.002094255608034074
drop_near_duplicates,full,confianca,F4,0.00695842464377401
drop_near_duplicates,full,confianca,F5,0.003810080322450167
drop_near_duplicates,full,confianca,F6,0.003290503686718089
drop_near_duplicates,full,confianca,F7,0.0016291781334262481
drop_near_duplicates,full,credito_existente,F1,0.01895793380764928
drop_near_duplicates,full,credito_existente,F2,0.1539047499015289
drop_near_duplicates,full,credito_existente,F3,0.12299408781814083
drop_near_duplicates,full,credito_existente,F4,0.08385759423467141
drop_near_duplicates,full,credito_existente,F5,0.07205225767301299
drop_near_duplicates,full,credito_existente,F6,0.2676549736544185
drop_near_duplicates,full,credito_existente,F7,0.07683811645953396
drop_near_duplicates,full,curva,F1,0.004361778213841966
drop_near_duplicates,full,curva,F2,0.2683141347855322
drop_near_duplicates,full,curva,F3,0.07170489327037086
drop_near_duplicates,full,curva,F4,0.09819126409169698
drop_near_duplicates,full,curva,F5,0.06351502392642068
drop_near_duplicates,full,curva,F6,0.03535500241256553
drop_near_duplicates,full,curva,F7,0.09373876251285235
drop_near_duplicates,full,energia,F1,0.053557340731137014
drop_near_duplicates,full,energia,F2,0.0024752750627783505
drop_near_duplicates,full,energia,F3,0.00586640503432171
drop_near_duplicates,full,energia,F4,0.008492720235488324
drop_near_duplicates,full,energia,F5,0.010030326845530603
drop_near_duplicates,full,energia,F6,0.010269003756489845
drop_near_duplicates,full,energia,F7,0.015316143638059049
drop_near_duplicates,full,epu,F1,0.0033214656180221153
drop_near_duplicates,full,epu,F2,0.009309309899863253
drop_near_duplicates,full,epu,F3,0.005012791702127533
drop_near_duplicates,full,epu,F4,0.030459759190105035
drop_near_duplicates,full,epu,F5,0.022262843894291996
drop_near_duplicates,full,epu,F6,0.023427178728150245
drop_near_duplicates,full,epu,F7,0.5243330845331654
drop_near_duplicates,full,industria,F1,0.3210037553906106
drop_near_duplicates,full,industria,F2,0.009333752142679277
drop_near_duplicates,full,industria,F3,0.04496681112772581
drop_near_duplicates,full,industria,F4,0.046220169031405085
drop_near_duplicates,full,industria,F5,0.005274143960031192
drop_near_duplicates,full,industria,F6,0.022914901372791074
drop_near_duplicates,full,industria,F7,0.048295067769062124
drop_near_duplicates,full,monetario,F1,0.0197499085090455
drop_near_duplicates,full,monetario,F2,0.00972409407280899
drop_near_duplicates,full,monetario,F3,0.3463125293621929
drop_near_duplicates,full,monetario,F4,0.01022286122381284
drop_near_duplicates,full,monetario,F5,0.02850525205922007
drop_near_duplicates,full,monetario,F6,0.10732050612003712
drop_near_duplicates,full,monetario,F7,0.02579831494173166
drop_near_duplicates,full,politica,F1,5.876124467740231e-7
drop_near_duplicates,full,politica,F2,0.0047996083752518725
drop_near_duplicates,full,politica,F3,0.034963001481181685
drop_near_duplicates,full,politica,F4,0.013145731667275194
drop_near_duplicates,full,politica,F5,0.02024155110515994
drop_near_duplicates,full,politica,F6,0.025183841460799158
drop_near_duplicates,full,politica,F7,0.004750086247682895
drop_near_duplicates,full,precos,F1,0.008567704631723915
drop_near_duplicates,full,precos,F2,0.043428916856978785
drop_near_duplicates,full,precos,F3,0.024879464819332262
drop_near_duplicates,full,precos,F4,0.14956073462902092
drop_near_duplicates,full,precos,F5,0.5143341107390347
drop_near_duplicates,full,precos,F6,0.15926772480760107
drop_near_duplicates,full,precos,F7,0.07982647501715903
drop_near_duplicates,full,risco_externo,F1,0.016281293525016668
drop_near_duplicates,full,risco_externo,F2,0.1033428555820917
drop_near_duplicates,full,risco_externo,F3,0.0033788929639004253
drop_near_duplicates,full,risco_externo,F4,0.02848353548851772
drop_near_duplicates,full,risco_externo,F5,0.025810088857096933
drop_near_duplicates,full,risco_externo,F6,0.015314450953981904
drop_near_duplicates,full,risco_externo,F7,0.00513215225309847
drop_near_duplicates,full,trabalho,F1,0.25739468721807135
drop_near_duplicates,full,trabalho,F2,0.020831796241635413
drop_near_duplicates,full,trabalho,F3,0.23431063943356023
drop_near_duplicates,full,trabalho,F4,0.023203313991819144
drop_near_duplicates,full,trabalho,F5,0.043448969813973976
drop_near_duplicates,full,trabalho,F6,0.06897964627321036
drop_near_duplicates,full,trabalho,F7,0.0387494900637337
drop_near_duplicates,full,vendas,F1,0.06580203702676185
drop_near_duplicates,full,vendas,F2,3.480475341433471e-4
drop_near_duplicates,full,vendas,F3,0.005437595856668855
drop_near_duplicates,full,vendas,F4,0.009361437947751567
drop_near_duplicates,full,vendas,F5,0.002043632635737043
drop_near_duplicates,full,vendas,F6,0.004152114064701884
drop_near_duplicates,full,vendas,F7,0.005420152007079938
drop_near_duplicates,pre_covid,acoes,F1,0.11777583027665219
drop_near_duplicates,pre_covid,acoes,F2,0.013868035257709117
drop_near_duplicates,pre_covid,acoes,F3,0.1297161854149138
drop_near_duplicates,pre_covid,acoes,F4,0.09103840129881985
drop_near_duplicates,pre_covid,acoes,F5,0.2757252622932269
drop_near_duplicates,pre_covid,acoes,F6,0.019382746069943075
drop_near_duplicates,pre_covid,acoes,F7,0.06790989596984677
drop_near_duplicates,pre_covid,atividade_agregada,F1,0.0018332430678765512
drop_near_duplicates,pre_covid,atividade_agregada,F2,0.03497043205606147
drop_near_duplicates,pre_covid,atividade_agregada,F3,0.01544246244949253
drop_near_duplicates,pre_covid,atividade_agregada,F4,0.0012511321355051263
drop_near_duplicates,pre_covid,atividade_agregada,F5,0.00404147343159675
drop_near_duplicates,pre_covid,atividade_agregada,F6,0.03490015535916115
drop_near_duplicates,pre_covid,atividade_agregada,F7,0.03218336155728347
drop_near_duplicates,pre_covid,cambio,F1,0.18381850230710806
drop_near_duplicates,pre_covid,cambio,F2,0.006083358926706911
drop_near_duplicates,pre_covid,cambio,F3,0.00477638988569667
drop_near_duplicates,pre_covid,cambio,F4,0.042020633429001523
drop_near_duplicates,pre_covid,cambio,F5,0.11280776193814704
drop_near_duplicates,pre_covid,cambio,F6,0.06095755986872684
drop_near_duplicates,pre_covid,cambio,F7,0.02289808681020994
drop_near_duplicates,pre_covid,combustiveis,F1,0.006106090921654483
drop_near_duplicates,pre_covid,combustiveis,F2,0.12881882851572493
drop_near_duplicates,pre_covid,combustiveis,F3,0.027612780780050177
drop_near_duplicates,pre_covid,combustiveis,F4,0.013432603122294162
drop_near_duplicates,pre_covid,combustiveis,F5,0.047434049175965685
drop_near_duplicates,pre_covid,combustiveis,F6,0.04745491172903037
drop_near_duplicates,pre_covid,combustiveis,F7,0.09392730620631738
drop_near_duplicates,pre_covid,commodities,F1,0.06353694868837195
drop_near_duplicates,pre_covid,commodities,F2,0.0021137692827250115
drop_near_duplicates,pre_covid,commodities,F3,0.005585145389183066
drop_near_duplicates,pre_covid,commodities,F4,0.009241456499059669
drop_near_duplicates,pre_covid,commodities,F5,0.041784201386054
drop_near_duplicates,pre_covid,commodities,F6,0.06515730515070034
drop_near_duplicates,pre_covid,commodities,F7,0.03577209809325238
drop_near_duplicates,pre_covid,confianca,F1,0.009578282788229201
drop_near_duplicates,pre_covid,confianca,F2,0.0025182757314004944
drop_near_duplicates,pre_covid,confianca,F3,0.010858815523093108
drop_near_duplicates,pre_covid,confianca,F4,0.024515668950915254
drop_near_duplicates,pre_covid,confianca,F5,0.05827902594929714
drop_near_duplicates,pre_covid,confianca,F6,0.007431829318827198
drop_near_duplicates,pre_covid,confianca,F7,0.006010247259659844
drop_near_duplicates,pre_covid,credito_existente,F1,0.1327736784401825
drop_near_duplicates,pre_covid,credito_existente,F2,0.026997948310778196
drop_near_duplicates,pre_covid,credito_existente,F3,0.1738201184512584
drop_near_duplicates,pre_covid,credito_existente,F4,0.11644599205384623
drop_near_duplicates,pre_covid,credito_existente,F5,0.06649646255063535
drop_near_duplicates,pre_covid,credito_existente,F6,0.07725007684658172
drop_near_duplicates,pre_covid,credito_existente,F7,0.012981894959307398
drop_near_duplicates,pre_covid,curva,F1,0.23845044404586768
drop_near_duplicates,pre_covid,curva,F2,0.004066563368100025
drop_near_duplicates,pre_covid,curva,F3,0.042045479484854854
drop_near_duplicates,pre_covid,curva,F4,0.0031363554275130375
drop_near_duplicates,pre_covid,curva,F5,0.001625361989817904
drop_near_duplicates,pre_covid,curva,F6,0.15207321876413837
drop_near_duplicates,pre_covid,curva,F7,0.007218817632124184
drop_near_duplicates,pre_covid,energia,F1,0.011052124481587851
drop_near_duplicates,pre_covid,energia,F2,0.02667981870536972
drop_near_duplicates,pre_covid,energia,F3,0.0773903936506691
drop_near_duplicates,pre_covid,energia,F4,0.027516846989474843
drop_near_duplicates,pre_covid,energia,F5,0.01819014617581551
drop_near_duplicates,pre_covid,energia,F6,0.010359759511134785
drop_near_duplicates,pre_covid,energia,F7,0.0017465238221310748
drop_near_duplicates,pre_covid,epu,F1,0.007502124188986154
drop_near_duplicates,pre_covid,epu,F2,0.006941405913513382
drop_near_duplicates,pre_covid,epu,F3,0.01518770272630661
drop_near_duplicates,pre_covid,epu,F4,0.04154702313068553
drop_near_duplicates,pre_covid,epu,F5,0.05312948904561327
drop_near_duplicates,pre_covid,epu,F6,0.03283209180887296
drop_near_duplicates,pre_covid,epu,F7,0.0623965776994174
drop_near_duplicates,pre_covid,industria,F1,0.02927403439086446
drop_near_duplicates,pre_covid,industria,F2,0.40761452381099694
drop_near_duplicates,pre_covid,industria,F3,0.030018185051873442
drop_near_duplicates,pre_covid,industria,F4,0.05875074673289023
drop_near_duplicates,pre_covid,industria,F5,0.06236997024884656
drop_near_duplicates,pre_covid,industria,F6,0.12417251592361722
drop_near_duplicates,pre_covid,industria,F7,0.13249746447163946
drop_near_duplicates,pre_covid,monetario,F1,0.013949736576636751
drop_near_duplicates,pre_covid,monetario,F2,0.050560713548857626
drop_near_duplicates,pre_covid,monetario,F3,0.0763680954841707
drop_near_duplicates,pre_covid,monetario,F4,0.11209495653015392
drop_near_duplicates,pre_covid,monetario,F5,0.13985398659138618
drop_near_duplicates,pre_covid,monetario,F6,0.08367427854466804
drop_near_duplicates,pre_covid,monetario,F7,0.007329075275656637
drop_near_duplicates,pre_covid,politica,F1,0.005373430338520439
drop_near_duplicates,pre_covid,politica,F2,9.409344595189618e-4
drop_near_duplicates,pre_covid,politica,F3,0.0032658002218387033
drop_near_duplicates,pre_covid,politica,F4,0.0020685006170845037
drop_near_duplicates,pre_covid,politica,F5,9.408170256525886e-4
drop_near_duplicates,pre_covid,politica,F6,0.0534144742315448
drop_near_duplicates,pre_covid,politica,F7,0.002313631668480833
drop_near_duplicates,pre_covid,precos,F1,0.06093912565454104
drop_near_duplicates,pre_covid,precos,F2,0.05088884428377867
drop_near_duplicates,pre_covid,precos,F3,0.21331913575328465
drop_near_duplicates,pre_covid,precos,F4,0.351353993081966
drop_near_duplicates,pre_covid,precos,F5,0.04307859313950972
drop_near_duplicates,pre_covid,precos,F6,0.1090937348311938
drop_near_duplicates,pre_covid,precos,F7,0.09168986779902286
drop_near_duplicates,pre_covid,risco_externo,F1,0.09575104165670688
drop_near_duplicates,pre_covid,risco_externo,F2,0.0031309991556142764
drop_near_duplicates,pre_covid,risco_externo,F3,0.00316729894083791
drop_near_duplicates,pre_covid,risco_externo,F4,0.014075464402183902
drop_near_duplicates,pre_covid,risco_externo,F5,0.013977549741148646
drop_near_duplicates,pre_covid,risco_externo,F6,0.03175916204463328
drop_near_duplicates,pre_covid,risco_externo,F7,0.0024037347901999396
drop_near_duplicates,pre_covid,trabalho,F1,0.021592174812735256
drop_near_duplicates,pre_covid,trabalho,F2,0.16662350512852972
drop_near_duplicates,pre_covid,trabalho,F3,0.14896553202848536
drop_near_duplicates,pre_covid,trabalho,F4,0.08967146949908393
drop_near_duplicates,pre_covid,trabalho,F5,0.04935905336401883
drop_near_duplicates,pre_covid,trabalho,F6,0.07741507360116323
drop_near_duplicates,pre_covid,trabalho,F7,0.38278451536509933
drop_near_duplicates,pre_covid,vendas,F1,6.931873634790679e-4
drop_near_duplicates,pre_covid,vendas,F2,0.06718204354461632
drop_near_duplicates,pre_covid,vendas,F3,0.02246047876398905
drop_near_duplicates,pre_covid,vendas,F4,0.001838756099520287
