variant,sample,response,horizon,point,lower_68,upper_68,lower_90,upper_90
baseline,full,yield_6m,37,-0.010223975417219202,-0.016374989829171738,-2.763243418934027e-4,-0.02951952429899425,0.004253609527988277
baseline,full,yield_6m,38,-0.009960687495192893,-0.015893730051955074,-7.001169418886967e-5,-0.0291742155784449,0.003990059919664095
baseline,full,yield_6m,39,-0.009653154448492123,-0.015573455982674456,5.22608581985894e-5,-0.02898211662182857,0.00404467875712098
baseline,full,yield_6m,40,-0.009319592565591669,-0.015272040738476171,1.4882951517665885e-4,-0.028557923353403403,0.004125423981138902
baseline,full,yield_6m,41,-0.008954557309212064,-0.014876902852046164,2.939802844265313e-4,-0.027970282358370256,0.004553793370594452
baseline,full,yield_6m,42,-0.008557695983293789,-0.014460522181414456,4.329391847265393e-4,-0.027164777746976822,0.004562615360570297
baseline,full,yield_6m,43,-0.008143481535642722,-0.013900208126660629,7.152291103109693e-4,-0.027026196087389483,0.005214684735356868
baseline,full,yield_6m,44,-0.007708178580227819,-0.013253666565875236,8.535305140226956e-4,-0.025682300247951664,0.005300334790113244
baseline,full,yield_6m,45,-0.007254704928945891,-0.012572650611497291,0.0011740602710138628,-0.02414203231514042,0.005107289863032922
baseline,full,yield_6m,46,-0.006793409587321795,-0.012016469161866028,0.0013964992664125913,-0.023232007266668284,0.005554792909592738
baseline,full,yield_6m,47,-0.006322750977557903,-0.01143965601963463,0.0017216626509775476,-0.02194094774489931,0.005956546903206465
baseline,full,yield_6m,48,-0.005846353984665359,-0.010806220960728545,0.0019880056712177,-0.021156355828741757,0.006046975988612195
baseline,full,yield_2y,0,0.010802271558785834,0.009538574901785824,0.013506889722074922,0.008739347306513056,0.015630967394034086
baseline,full,yield_2y,1,0.013587125694382527,0.010278836486056622,0.016757034618008277,0.009233867727823381,0.02047342934086832
baseline,full,yield_2y,2,0.012585338173452143,0.008266624468420867,0.01482739154519878,0.006656764352619236,0.01865502628370008
baseline,full,yield_2y,3,0.012497549635705612,0.0074442117280993595,0.014569882832826087,0.005496162213521181,0.018662648138817375
baseline,full,yield_2y,4,0.00995890885714908,0.0044025651562102485,0.012310861296649791,0.0023107121029160398,0.016614525066883743
baseline,full,yield_2y,5,0.008269988085001428,0.0026265053658572272,0.01047386918890143,5.165999624663724e-5,0.014279349338264446
baseline,full,yield_2y,6,0.008315969282828064,0.002747614426815798,0.010670024035465223,-3.873213082463675e-5,0.014820951484289656
baseline,full,yield_2y,7,0.00808283893539517,0.002064934638677351,0.010378740910427913,-1.2001468139328424e-4,0.014907928965026825
baseline,full,yield_2y,8,0.006123114318355152,5.327814778840075e-5,0.008507695213187722,-0.0029090269728067717,0.012332954211853715
baseline,full,yield_2y,9,0.00497221631270718,-8.208337441747077e-4,0.00807901066612118,-0.00472011148743028,0.011532266394059274
baseline,full,yield_2y,10,0.003243286419400027,-0.0021378414460101374,0.006746803613577102,-0.006677064980115685,0.010307885518347626
baseline,full,yield_2y,11,7.249109622481508e-4,-0.0043919772946482485,0.004839962824396592,-0.008686709507383008,0.00850622248854079
baseline,full,yield_2y,12,-2.5644413347389256e-5,-0.005119761721393349,0.004735736992347069,-0.008964012789869183,0.008962909485442117
baseline,full,yield_2y,13,-0.0016135937725099392,-0.006568759059736308,0.0036778898406481225,-0.010614441635326547,0.007734398124716664
baseline,full,yield_2y,14,-0.003192824435945814,-0.007892958169219037,0.002726334916364591,-0.012915874816916379,0.006764241650065665
baseline,full,yield_2y,15,-0.003672254825013966,-0.008286044909641719,0.002686810580632004,-0.013451379817106618,0.00673409711986012
baseline,full,yield_2y,16,-0.004755810896683457,-0.009147958473911715,0.0019078984177441141,-0.01444952085848133,0.006165073354756527
baseline,full,yield_2y,17,-0.005706259864101734,-0.009983531664514773,0.0012782216898294227,-0.016117161872605923,0.004971561700071123
baseline,full,yield_2y,18,-0.006246225075594716,-0.010394823813839707,0.0011465313537899458,-0.016585730963404616,0.004711941308979248
baseline,full,yield_2y,19,-0.0069827152987897555,-0.011164364770186756,7.405954332070546e-4,-0.01746559520031925,0.0045285496669927
baseline,full,yield_2y,20,-0.007574442582837348,-0.011850474161559979,4.0670282448794205e-4,-0.01837419852200735,0.0038767262943368345
baseline,full,yield_2y,21,-0.00785196800187199,-0.012157803586910479,2.5694940284507573e-4,-0.018883223650820798,0.003979144945301657
baseline,full,yield_2y,22,-0.008158968703757367,-0.012577018392636152,-1.8011899881056838e-4,-0.019889361010466112,0.003902847335941756
baseline,full,yield_2y,23,-0.008464474573332152,-0.013146235894320568,-4.501372085748996e-4,-0.020806021163346535,0.003641815887095551
baseline,full,yield_2y,24,-0.008558633096525728,-0.012859789435776437,-5.456441254143957e-4,-0.021869789297896472,0.0035847624826895034
baseline,full,yield_2y,25,-0.00874238992678471,-0.013471419377907603,-5.441949585744011e-4,-0.02278327755664402,0.003809019263253606
baseline,full,yield_2y,26,-0.008900931703303113,-0.014024931740052012,-5.961549859844098e-4,-0.02310070585144737,0.0036406959352070956
baseline,full,yield_2y,27,-0.008863349797886418,-0.013729957904294167,-6.397492252343016e-4,-0.023043783414604075,0.0035119763895290874
baseline,full,yield_2y,28,-0.008893385336001064,-0.013646582264847457,-5.775056365192885e-4,-0.023025336448996306,0.003628745270957822
