tag,instrument,r,q,sample,var,h,point,lo90,hi90,sig90
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_3m,40,-0.006978886846128522,-0.020999413583522128,0.0025675672017297893,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,0,0.005,0.005,0.005,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,1,0.005815627813491247,0.003787074070687955,0.00725777066666981,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,2,0.005844769390728539,0.0016518553923699313,0.007161494447319431,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,3,0.006378582167810267,7.734245984458922e-4,0.0081207199828356,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,4,0.005985048788621556,-0.0015503781363495628,0.008203832169295652,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,5,0.005938159029773794,-0.0020145081671568543,0.00840001828923682,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,6,0.005725572462235369,-0.002246491465701179,0.008787210492797593,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,7,0.004999739410987468,-0.003642639461433915,0.008446828173400811,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,8,0.004161079405484858,-0.004778999157065933,0.008334027808072953,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,9,0.003248383684001961,-0.005739100686532123,0.008063285317362182,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,10,0.002489580976903347,-0.00650874853332317,0.007734257276279822,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,11,0.0017010434858264823,-0.00722230923530315,0.00756127532841664,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,12,9.453174445240675e-4,-0.008054758192989215,0.007688332782726611,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,13,2.637831472386962e-4,-0.008681700161198357,0.007701262887686469,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,14,-4.504007516859162e-4,-0.009618622658706683,0.007650968866345514,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,15,-0.0010347741225547938,-0.010650831817614911,0.007545643447218995,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,16,-0.0014823976184070444,-0.0110048336947694,0.007692214048687158,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,17,-0.0019459944345384145,-0.01149350003598959,0.007664003067738931,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,18,-0.002349208316574149,-0.012137188741868523,0.008079683034603324,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,19,-0.002666951859035565,-0.012603343534750592,0.008216530571797566,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,20,-0.0029889784002792527,-0.013301076941835724,0.008063831286002743,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,21,-0.00328326890786371,-0.013440359198242971,0.007855146266563268,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,22,-0.0035312140022142682,-0.014673714262952999,0.007953294633254655,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,23,-0.003789896603750294,-0.015356335295481631,0.007872837797823615,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,24,-0.004051087726794999,-0.01615994682305289,0.007462382063116725,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,25,-0.004302939774971181,-0.0170155196497554,0.007269626956436796,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,26,-0.004560579926010906,-0.01715530544156235,0.006892001478491384,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,27,-0.00482243708245591,-0.0177309321189984,0.006645278738894345,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,28,-0.00508601230303517,-0.018338522084746553,0.006432313659730218,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,29,-0.005349572215676396,-0.018666860525374175,0.006101416895190986,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,30,-0.00561099655057691,-0.019154918202794295,0.005574114056462123,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,31,-0.0058663964255291495,-0.019679644549084073,0.005035722703381337,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,32,-0.006108468231788586,-0.02023262574184474,0.004636817500182556,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,33,-0.006335672446607055,-0.0206605107686399,0.004404417094091918,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,34,-0.006543681201833271,-0.020909658838271405,0.003957902967496931,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,35,-0.006726265990640353,-0.021082460357012098,0.0035360271258632154,FALSE
