sample,r,q,p,instrument,mp_var,n_obs_align,wald_mp,f_robust_mp,fs_beta,fs_se,fs_p,impact_mp_pre,sign_mp,score_hard,n_hard_avail,score_ext,n_ext_avail,fx_channel,risk_channel,yield_ordering_ok,magnitude_flag,h0_yield6m,h0_yield2y,h0_yield5y,h0_ibov,h0_cambio,dfm_max_eig,failure_class,err_msg,denom_ratio
full,6,5,6,z_jk_purif,yield_6m,147,4.796678726309848,5.284525801823678,6.852477528004583e-5,2.9808807925081173e-5,0.023422495141215485,4.488392045343971e-5,1,3,3,2,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.013098926800090747,0.01666958944861698,-13.847616668904067,0.33410055764944446,0.9736805284239931,weak_xi_mp,NA,1.0993350242408595
full,6,5,6,z_jk_purif,yield_1y,147,6.036382083327384,7.371270114573945,1.1911300192296546e-4,4.3872057980561375e-5,0.007707297154733801,7.801935112422904e-5,1,4,4,2,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.002876460763046575,0.007535709795696052,0.009589883997008384,-7.966425201962453,0.19220542899812146,0.9736805284239931,weak_xi_mp,NA,1.1024036064513845
full,6,5,6,z_jk_purif,yield_2y,147,7.412685421012894,10.149983176383653,1.7952020307705999e-4,5.6348280735703215e-5,0.0018824676537341513,1.1758623770414052e-4,1,3,3,2,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.001908553302231356,0.005,0.006362959997799779,-5.285782904294165,0.12752974451583693,0.9736805284239931,weak_xi_mp,NA,1.1770128454049853
full,6,5,6,z_jk_purif,juros_selic,147,1.7011659232046825,1.3992061232880304,-6.328733232545729e-4,5.350272982609776e-4,0.23943021730647182,-4.1453380594464275e-4,-1,0,4,1,3,apreciacao,standard,FALSE,TRUE,-0.05413782882093041,-0.1418294913682421,-0.18049107601688272,149.9359801597982,-3.6174957598006032,0.9736805284239931,negative_control,NA,1.200430214864976
full,6,5,6,z_jk_raw_purif,yield_3m,147,4.282714122910886,4.474148905800898,3.906845246318541e-5,1.847017421426651e-5,0.03668962409237897,2.5037924152404665e-5,1,4,4,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.009106590297977184,0.020112934500309536,0.023084057328701384,-4.827160897212854,0.5360637774457342,0.9736805284239931,weak_xi_mp,NA,1.0798829210443577
full,6,5,6,z_jk_raw_purif,yield_6m,147,4.79594689044154,5.314565945527008,7.115607803161079e-5,3.086584013773619e-5,0.023040979756477283,4.5602023433555384e-5,1,3,3,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.011043065429646679,0.012674369096097893,-2.65036678892049,0.29432738264551567,0.9736805284239931,weak_xi_mp,NA,1.1169234111080855
full,6,5,6,z_jk_raw_purif,yield_1y,147,5.016237664222821,5.724368981135135,1.1418510076640266e-4,4.7724966215018306e-5,0.01844171838873382,7.317817093010786e-5,1,4,4,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.003115821484326909,0.006881644103704177,0.007898214305982167,-1.6516139564529968,0.18341431645452094,0.9736805284239931,weak_xi_mp,NA,1.033998339955611
full,6,5,6,z_jk_raw_purif,yield_2y,147,5.187243778750651,6.082420501069002,1.571562450839604e-4,6.37225905451657e-5,0.01521145618801404,1.0071722570020664e-4,1,3,3,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0022638641561322226,0.005,0.0057386099796491955,-1.2000140748080705,0.13326344234787924,0.9736805284239931,weak_xi_mp,NA,1.0081576782902888
full,6,5,6,z_jk_raw_purif,juros_selic,147,0.8773704410142485,0.6998572358426683,-4.8142941460197543e-4,5.754768966099725e-4,0.4046619849132348,-3.085352095554998e-4,-1,0,4,0,3,apreciacao,standard,FALSE,TRUE,-0.07390084181843178,-0.1632183663013823,-0.18732930914383009,39.17286736576761,-4.3502082695438595,0.9736805284239931,negative_control,NA,0.8934735420579408
full,6,5,6,z_jk_raw,yield_3m,147,4.535286868876508,4.731216808587418,3.984631383136533e-5,1.831899845843673e-5,0.03178060337054035,2.5099275947063883e-5,1,4,4,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.009052128899424396,0.01973907235246947,0.022438444175753646,-4.230751746990837,0.519413089087403,0.9736805284239931,weak_xi_mp,NA,1.0825290172152955
full,6,5,6,z_jk_raw,yield_6m,147,5.038491102500627,5.565233375952841,7.213879379365612e-5,3.057927509032496e-5,0.020101234322044012,4.544037623100892e-5,1,3,3,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.010903000041086817,0.012394014946683126,-2.336882182079765,0.2869010676153934,0.9736805284239931,weak_xi_mp,NA,1.112964210807964
full,6,5,6,z_jk_raw,yield_1y,147,5.227880981892777,5.928248545437156,1.1510687938181207e-4,4.7275712009145874e-5,0.01652293809711133,7.250606269975667e-5,1,4,4,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0031335570115822477,0.006833034445205827,0.007767470487566818,-1.464550709379534,0.1798041704113297,0.9736805284239931,weak_xi_mp,NA,1.0245015352989684
