variable,defective_vintage,curve_only,canonical_2026_08_12,curve_effect,other_remote_revision_effect
yield_6m,0.005,0.005,0.005,0,0
yield_2y,0.009164443559,0.010804119620,0.010802271559,0.001639676061,-0.000001848061
yield_5y,0.009274381133,0.011678840230,0.011701719993,0.002404459097,0.000022879763
asset_ibov,-1.672583088,-2.343555423,-2.407124710,-0.670972335,-0.063569287
cambio_usd,0.149755954,0.227935603,0.228099630,0.078179649,0.000164027
