instrument,r,q,sample,cfg,var,esign,f_factor,wald_mp,h0,h6,h12,h24,peak_h,peak_val,sign_h0,sign_ok_h0,share_sign_ok,n_sig90
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,-1,5.119522408160664,6.937943050774339,-0.011142483090391588,0.008151954938064018,0.015048867718204698,0.007127550838133462,2,0.026672823722582117,-1,TRUE,0.024390243902439025,0
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,-1,5.119522408160664,6.937943050774339,0.18516757891865593,0.1339692540041655,0.020822725753171203,-0.050989609930773366,1,0.21976416233476567,1,FALSE,0.5853658536585366,7
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,1,5.119522408160664,6.937943050774339,0.005,0.005725572462235369,9.453174445240675e-4,-0.004051087726794999,40,-0.007178944293161288,1,TRUE,0.34146341463414637,4
z_jk_bs_purif,6,5,full,r6q5·full,yield_5y,1,5.119522408160664,6.937943050774339,0.008753908967703028,0.0075622076929791554,0.001214113138305997,-0.0036125990446067035,1,0.00960538323572678,1,TRUE,0.34146341463414637,8
z_jk_bs_purif,6,5,full,r6q5·full,spread_icc_juridica,1,5.119522408160664,6.937943050774339,-0.02412472989219484,-0.002097586046281986,0.028407339334178387,0.06172929511877769,23,0.061753225943322373,-1,FALSE,0.8048780487804879,0
z_jk_bs_purif,6,5,full,r6q5·full,spread_icc_fisica,1,5.119522408160664,6.937943050774339,-0.005395131622692522,0.029127194525412774,0.07117664148174184,0.08904066008845093,21,0.09101890203111104,-1,FALSE,0.8536585365853658,0
z_jk_bs_purif,6,5,full,r6q5·full,credit_outstanding,-1,5.119522408160664,6.937943050774339,0.2886456726232778,0.3054802387930433,-0.1307175746132372,-0.8139391175674304,34,-0.9578374849576354,1,FALSE,0.7317073170731707,2
z_jk_bs_purif,6,5,full,r6q5·full,credito_pessoa_fisica,-1,5.119522408160664,6.937943050774339,0.07593043817875067,0.19212716559933174,-0.08599614134409128,-0.5179880806592152,40,-0.7805492359080013,1,FALSE,0.7317073170731707,0
z_jk_bs_purif,6,5,full,r6q5·full,price_ipca,-1,5.119522408160664,6.937943050774339,0.09793984910350284,0.06962240465601412,-0.02145183934338056,-0.017209745837252648,5,0.13058025942451817,1,FALSE,0.5365853658536586,0
z_jk_bs_purif,6,5,full,r6q5·full,price_core_ipca_ex0,-1,5.119522408160664,6.937943050774339,0.08477354776507508,0.08617298387993247,0.05061830782210258,0.06119289652485972,5,0.1094213537004464,1,FALSE,0,2
z_jk_bs_purif,6,5,full,r6q5·full,cds_5y,-1,5.119522408160664,6.937943050774339,3401.0840767315126,2627.3760391052556,495.38485744025456,-1527.8922823536577,1,3480.7823685646003,1,FALSE,0.6585365853658537,7
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,asset_ibov,-1,11.658939965686008,12.486667913216092,-0.11243803371896557,-0.006039740062184885,-0.011108349058327206,-0.01134850984364737,0,-0.11243803371896557,-1,TRUE,0.7804878048780488,1
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,cambio_usd,-1,11.658939965686008,12.486667913216092,0.08994952717353352,-0.055710913021949485,0.03419503229774184,-0.0050752408863928115,1,0.1157069471316217,1,FALSE,0.6829268292682927,0
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,yield_6m,1,11.658939965686008,12.486667913216092,0.005,0.003740797954275829,0.005486586800477045,0.0028706833539517296,12,0.005486586800477045,1,TRUE,0.7560975609756098,4
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,yield_5y,1,11.658939965686008,12.486667913216092,0.008255006656855466,-1.5829206683932003e-4,0.003265878388599573,-4.6931390554711566e-4,0,0.008255006656855466,1,TRUE,0.4146341463414634,1
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,spread_icc_juridica,1,11.658939965686008,12.486667913216092,-0.030383237780554916,0.027671267637544916,0.059133425964589155,0.1368468061033666,33,0.165461671452165,-1,FALSE,0.9512195121951219,0
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,spread_icc_fisica,1,11.658939965686008,12.486667913216092,0.00935999418446022,0.15844957495686843,0.24223234783165581,0.4385179814472269,32,0.47438340892089725,1,TRUE,1,0
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,credit_outstanding,-1,11.658939965686008,12.486667913216092,0.10135843190821614,-0.3047410637718406,-0.5083930682821314,-1.1626618681715994,34,-1.4468273907147,1,FALSE,0.926829268292683,0
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,credito_pessoa_fisica,-1,11.658939965686008,12.486667913216092,0.16829092906698317,0.03491607511201256,-0.07605226459540537,-0.5930528076635633,40,-0.9772820869076715,1,FALSE,0.8048780487804879,2
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,price_ipca,-1,11.658939965686008,12.486667913216092,-0.2531873684888411,-0.10341336022433543,-0.15742166440854663,-0.1482012376241287,0,-0.2531873684888411,-1,TRUE,0.9024390243902439,0
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,price_core_ipca_ex0,-1,11.658939965686008,12.486667913216092,-0.10460926690920204,-0.04763637306154481,-0.03260756971781928,-0.016916033734037023,0,-0.10460926690920204,-1,TRUE,0.7804878048780488,0
z_jk_bs_purif,6,5,pre_covid,r6q5·pre_covid,cds_5y,-1,11.658939965686008,12.486667913216092,4083.21850423877,573.767160679035,2995.2499932774413,2157.361797816968,0,4083.21850423877,1,FALSE,0.14634146341463414,1
z_jk_bs_purif,7,6,full,r7q6·full,asset_ibov,-1,6.293365042913536,9.669439339232142,-0.022234333160129537,0.010542147644959558,0.014873883709465574,0.001560451020596579,0,-0.022234333160129537,-1,TRUE,0.3902439024390244,0
z_jk_bs_purif,7,6,full,r7q6·full,cambio_usd,-1,6.293365042913536,9.669439339232142,0.14412043411227532,0.08814245574598178,-2.595547682236237e-4,-0.05191371304721633,1,0.19130056759356442,1,FALSE,0.5365853658536586,5
z_jk_bs_purif,7,6,full,r7q6·full,yield_6m,1,6.293365042913536,9.669439339232142,0.005,0.0034533434077280503,-4.836594846019013e-4,-0.00618070715874467,31,-0.006752972018288556,1,TRUE,0.2926829268292683,4
z_jk_bs_purif,7,6,full,r7q6·full,yield_5y,1,6.293365042913536,9.669439339232142,0.009206882613002804,0.004829341703887567,-3.850412530088449e-4,-0.004365028316972749,1,0.010148948894940352,1,TRUE,0.2926829268292683,7
z_jk_bs_purif,7,6,full,r7q6·full,spread_icc_juridica,1,6.293365042913536,9.669439339232142,-0.020157980073758103,0.01878582128066592,0.05265176756866537,0.03780311807199195,11,0.0528198497427505,-1,FALSE,0.7317073170731707,0
z_jk_bs_purif,7,6,full,r7q6·full,spread_icc_fisica,1,6.293365042913536,9.669439339232142,-0.025560177404495527,0.04903075365895319,0.10830059970913507,0.03292065741271942,11,0.11249994506965133,-1,FALSE,0.6097560975609756,0
z_jk_bs_purif,7,6,full,r7q6·full,credit_outstanding,-1,6.293365042913536,9.669439339232142,-0.0030617318858894293,0.007922460652731722,-0.344805873389209,-1.0978320692503374,28,-1.1442597282801392,-1,TRUE,0.8292682926829268,0
