tag,instrument,r,q,sample,var,theory_sign,h0,share_correct,verdict
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,credito_pessoa_fisica,-1,0.014655103235861056,0.16129032258064516,incoerente
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,spread_icc_juridica,1,0.0238336867185628,0.46153846153846156,incoerente
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,spread_icc_fisica,1,0.023188778186184363,0.38461538461538464,incoerente
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,ibc_br,-1,-0.6880868538474103,0.6363636363636364,parcial
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,trab_tx_desemprego,1,-0.021109425909196743,0.6774193548387096,parcial
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,price_ipca,-1,-0.1239749077131125,0.8378378378378378,coerente
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,price_core_ipca_ex0,-1,0.0609470366557331,0.7297297297297297,parcial
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,asset_ibov,-1,-0.01856647792505672,0.2857142857142857,incoerente
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,cambio_usd,-1,0.12004472417067609,0,soft_depreciacao_fiscal_dom
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,embi_perc,-1,0.18503395569948097,0,soft_risco_abre_fiscal_dom
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,credit_outstanding,-1,0.12061943219885407,0.7741935483870968,parcial
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,credito_pessoa_fisica,-1,0.06143068348238856,0.7419354838709677,parcial
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,spread_icc_juridica,1,-0.01046731092004197,0.7692307692307693,parcial
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,spread_icc_fisica,1,-0.004318316474875086,0.8461538461538461,coerente_forte
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,ibc_br,-1,-0.4161101469976402,1,coerente
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,trab_tx_desemprego,1,-0.04958492991226653,0.6451612903225806,parcial
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,price_ipca,-1,-0.06597012173074433,0.4864864864864865,incoerente
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,price_core_ipca_ex0,-1,0.01951257413959246,0.4594594594594595,incoerente
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,asset_ibov,-1,0.06278714453114968,0.14285714285714285,incoerente
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,cambio_usd,-1,0.05599920374946014,0.7142857142857143,soft_depreciacao_fiscal_dom
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,embi_perc,-1,0.17028572453085414,0.8571428571428571,soft_risco_abre_fiscal_dom
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,credit_outstanding,-1,-0.21341555856201344,0.6774193548387096,parcial
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,credito_pessoa_fisica,-1,0.11251258140800857,0.4838709677419355,incoerente
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,spread_icc_juridica,1,0.04228146605324527,0.38461538461538464,incoerente
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,spread_icc_fisica,1,0.05267184016216533,0.5384615384615384,parcial
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,ibc_br,-1,-0.13083086759984777,0.7727272727272727,parcial
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,trab_tx_desemprego,1,0.04282328411920947,0.8387096774193549,coerente
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,price_ipca,-1,-0.35628808195819067,0.8648648648648649,coerente
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,price_core_ipca_ex0,-1,-0.08618480517757898,0.7837837837837838,parcial
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,asset_ibov,-1,-0.08928834982431337,0.42857142857142855,incoerente
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,cambio_usd,-1,0.24542395087241223,0,soft_depreciacao_fiscal_dom
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,embi_perc,-1,0.4640022154791913,0,soft_risco_abre_fiscal_dom
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,credit_outstanding,-1,0.4312702086683551,0.8387096774193549,coerente
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,credito_pessoa_fisica,-1,0.011775207894371142,1,coerente
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,spread_icc_juridica,1,-0.03212085410825231,0,incoerente
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,spread_icc_fisica,1,3.962173416730258e-4,0.23076923076923078,incoerente
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,ibc_br,-1,-0.9791771351276238,1,coerente_forte
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,trab_tx_desemprego,1,0.004322195126260142,1,coerente
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,price_ipca,-1,0.10494271766982548,0.5405405405405406,parcial
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,price_core_ipca_ex0,-1,0.05906133630004989,0,incoerente
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,asset_ibov,-1,-0.14020291522574707,0.42857142857142855,incoerente
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,cambio_usd,-1,0.06817494858281072,0.42857142857142855,soft_depreciacao_fiscal_dom
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,embi_perc,-1,0.41783238862820277,0,soft_risco_abre_fiscal_dom
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,credit_outstanding,-1,0.11581682663233117,1,coerente
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,credito_pessoa_fisica,-1,0.1317510795645127,1,coerente
