var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
price_ipca,0,-0.14908117472221497,-0.19351169279349642,-0.008768854045490116,-0.28914404605489125,0.051265840623843144,-1,TRUE,FALSE
price_ipca,1,-0.028944994305823327,-0.12135835673063847,0.07016576448414577,-0.1922744691762776,0.14075526185301324,-1,FALSE,FALSE
price_ipca,2,-0.0461326512661748,-0.14809760837178196,0.028602989428245584,-0.21263955608998159,0.08503139178587565,-1,FALSE,FALSE
price_ipca,3,-0.14317299801738775,-0.23576481836327592,-0.052533002393284386,-0.3154512408310802,0.001403489540729874,-1,TRUE,FALSE
price_ipca,4,-0.047282445212192735,-0.1576188731548564,0.03363148423656503,-0.2344300696365488,0.08215165068120259,-1,FALSE,FALSE
price_ipca,5,-0.028637476776446118,-0.147833273358643,0.023375096506787475,-0.2290371606883748,0.08218434945818326,-1,FALSE,FALSE
price_ipca,6,-0.10401216500021906,-0.1984888620598215,-0.03306123492839451,-0.27183042416862085,0.018660638981270454,-1,TRUE,FALSE
price_ipca,7,-0.09440201203521709,-0.1862096627191378,-0.009824405481340774,-0.2737813667763429,0.037954842445486206,-1,TRUE,FALSE
price_ipca,8,-0.10653175160390019,-0.1915615001550121,-0.026503614011557035,-0.2768596440169786,0.014224195002487935,-1,TRUE,FALSE
price_ipca,9,-0.15782130812785408,-0.2268342620821673,-0.0654053889424226,-0.3005530724627001,-0.014876094789028545,-1,TRUE,TRUE
price_ipca,10,-0.14457668382583788,-0.21279393450198672,-0.04898074250572171,-0.2924983812886401,-0.0019384177961485087,-1,TRUE,TRUE
price_ipca,11,-0.1282011403374887,-0.20293520153716077,-0.041386302079692315,-0.28446170224221745,4.234157396638228e-4,-1,TRUE,FALSE
price_ipca,12,-0.1298150590051775,-0.20176088719943908,-0.04533333244766532,-0.29297185631008443,-9.83390548499239e-4,-1,TRUE,TRUE
price_ipca,13,-0.10522466882145287,-0.19083088060717568,-0.02455955246167808,-0.282321120002764,0.020692505195087394,-1,TRUE,FALSE
price_ipca,14,-0.08234868134953476,-0.1706734360661929,-0.011845242046670562,-0.26971365829521077,0.04192373417172727,-1,TRUE,FALSE
price_ipca,15,-0.07287113558493202,-0.1690746679032339,-0.0033886280985607406,-0.26749323438699624,0.056228021574545754,-1,TRUE,FALSE
price_ipca,16,-0.057159802182642085,-0.16187300094451182,0.008726849848232847,-0.25114481726170473,0.0639011447488838,-1,FALSE,FALSE
price_ipca,17,-0.04297281412396077,-0.14375710202539588,0.022031754103442453,-0.23378758505991054,0.07432655761132854,-1,FALSE,FALSE
price_ipca,18,-0.03366735783446044,-0.13576763042062098,0.03200727954594326,-0.2275710180932113,0.08640857392990216,-1,FALSE,FALSE
price_ipca,19,-0.02252950961457854,-0.12870072933475066,0.04322493730717005,-0.2070102227924548,0.09641515234332085,-1,FALSE,FALSE
price_ipca,20,-0.010719959249495049,-0.11267524305539348,0.05289587545348784,-0.19557241490146632,0.1149239176791418,-1,FALSE,FALSE
price_ipca,21,8.851709579097971e-4,-0.10069734361801393,0.06117615329374266,-0.18561926163525302,0.12763016409667477,1,FALSE,FALSE
price_ipca,22,0.012541265033907432,-0.08658193305153812,0.06972237521670932,-0.17624270259277014,0.14591335278716946,1,FALSE,FALSE
price_ipca,23,0.024028046958393858,-0.07452509768571229,0.07968245062026263,-0.15884701466786447,0.15858677722280057,1,FALSE,FALSE
