tag,instrument,r,q,sample,f_factor,wald_mp,dfm_max_eig,mp_impact,curve_slope,argmax_mat,curve_ok,nucleo_share,nucleo_h0,nucleo_puzzle,cambio_h0,fx_wrong_sig,cds_h0,cds_wrong_sig,n_contam,clean
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,0.005528872487368887,yield_5y,FALSE,0,0.08477354776507508,TRUE,0.18516757891865593,TRUE,3401.0840767315126,TRUE,3,FALSE
z_jk_bs_purif_r6q5_pre_covid,z_jk_bs_purif,6,5,pre_covid,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,0.004210677005884941,yield_5y,FALSE,0.8108108108108109,-0.10460926690920204,FALSE,0.08994952717353352,FALSE,4083.21850423877,TRUE,1,FALSE
z_jk_bs_purif_r7q6_full,z_jk_bs_purif,7,6,full,6.293365042913536,9.669439339232142,0.9803559968450436,0.005,0.006373895401930313,yield_5y,FALSE,0,0.016206357441695386,TRUE,0.14412043411227532,TRUE,2952.2261012914446,TRUE,3,FALSE
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,2.354753022416676,6.895181289133251,0.9964816815029509,0.005,0.005873892000511494,yield_2y,FALSE,0.7297297297297297,0.0609470366557331,FALSE,0.16775290140044746,FALSE,4408.173142326493,FALSE,1,FALSE
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,0.004708251933521635,yield_2y,FALSE,0.4594594594594595,0.01951257413959246,TRUE,0.12004472417067609,TRUE,2589.893883818414,TRUE,3,FALSE
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,3.3685053940206773,5.1427257375949935,1.0005636406944047,0.005,-0.0020968545835832234,yield_1y,FALSE,0.7837837837837838,-0.08618480517757898,FALSE,0.05599920374946014,FALSE,1462.9853734417095,FALSE,1,FALSE
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,10.075110564105502,5.195034520878186,0.9801840973162619,0.005,0.009442738647449796,yield_5y,FALSE,0,0.05906133630004989,TRUE,0.24542395087241223,TRUE,5603.905393231206,TRUE,3,FALSE
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,15.39741612949803,13.24625220662057,0.9894543448006934,0.005,0.004456024639971679,yield_5y,FALSE,0.8918918918918919,-0.05808418644215922,FALSE,0.06817494858281072,FALSE,4105.715235550976,TRUE,1,FALSE
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,10.171455947714543,4.998623431079102,0.9803559968450436,0.005,0.009861007643547075,yield_5y,FALSE,0,0.03545869169102764,TRUE,0.2505623929286711,TRUE,5720.365559869823,TRUE,3,FALSE
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,9.61151504461801,6.54511669342677,0.9964816815029509,0.005,0.006913886120726421,yield_2y,FALSE,0.35135135135135137,0.13605727070093193,TRUE,0.12801303531402744,FALSE,4413.862343941004,FALSE,2,FALSE
