tag,r,q,sample,mp_var,f_factor,wald_mp,dfm_max_eig,mp_impact,var,theory_sign,h0,sig90_h0,h_first_signflip,extreme_h,extreme_val,n_reversals,share_correct,verdict
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_3m,1,0.0032250364803341415,TRUE,14,40,-0.006978886846128522,3,1,coerente_forte
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_6m,NA,0.005,TRUE,14,40,-0.007178944293161288,1,NA,NA
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_1y,1,0.006937531286206587,TRUE,14,3,0.008208754120364902,4,1,coerente_forte
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_2y,1,0.008446105367231062,TRUE,14,1,0.009589038403526763,4,1,coerente_forte
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_5y,1,0.008753908967703028,TRUE,14,1,0.00960538323572678,4,1,coerente_forte
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,yield_10y,1,0.007823626650111383,TRUE,14,1,0.00847695930524238,4,1,coerente_forte
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,price_ipca,-1,0.09793984910350284,FALSE,12,15,-0.03273943258159881,13,0.5945945945945946,parcial
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,price_core_ipca_ex0,-1,0.08477354776507508,FALSE,NA,40,0.04064897509991241,10,0,incoerente
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,price_core_ipca_ex1,-1,0.035880951691562205,FALSE,12,22,-0.032141108186737065,17,0.8648648648648649,coerente
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,price_core_ipca_dw,-1,0.06075952715680212,FALSE,14,18,-0.006193457538817144,11,0.4864864864864865,incoerente
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,pib,-1,-0.012668088013256806,FALSE,1,40,-0.5693370060704028,5,0.7727272727272727,parcial
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,ibc_br,-1,-0.5572155169091417,TRUE,2,11,-0.5620828511465087,8,1,coerente_forte
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,cambio_usd,-1,0.18516757891865593,TRUE,14,24,-0.050989609930773366,2,0,soft_depreciacao_fiscal_dom
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,cds_5y,-1,3401.0840767315126,TRUE,14,30,-1652.168777905923,4,0,soft_risco_abre_fiscal_dom
r6q5_full_yield_6m,6,5,full,yield_6m,5.119522408160664,6.937943050774339,0.9801840973162619,0.005,embi_perc,-1,0.250466766350897,TRUE,14,29,-0.16737352016932305,3,0,soft_risco_abre_fiscal_dom
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,yield_3m,1,0.004044329650970525,TRUE,33,12,0.005011134072451635,6,1,coerente_forte
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,yield_6m,NA,0.005,TRUE,31,12,0.005486586800477045,8,NA,NA
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,yield_1y,1,0.006045250087663236,TRUE,28,0,0.006045250087663236,6,1,coerente_forte
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,yield_2y,1,0.007320411599576201,TRUE,27,0,0.007320411599576201,6,1,coerente_forte
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,yield_5y,1,0.008255006656855466,TRUE,4,0,0.008255006656855466,6,0.5714285714285714,parcial
