group,var,tier,theory_sign,w_lo,w_hi,h0,h3,h6,h12,h24,h36,h48,peak_h,peak_val,share_correct,first_correct_h,right_sig68,right_sig90,wrong_sig90,contain0_share,channel,verdict
atividade,ind_bens_capital,scored,-1,3,24,-3.254018248601503,-2.900912044934994,-3.3469952935557683,-3.881847757835173,-2.6874173552200937,-0.8651444610074801,0.5173426625736823,12,-3.881847757835173,1,3,TRUE,TRUE,FALSE,NA,NA,coerente_forte
atividade,vendas_varejo,scored,-1,3,24,-1.2044980798635916,-1.114085354727198,-1.165330979820251,-1.243461545323106,-0.852019492162338,-0.2771729613555892,0.1642731688807612,12,-1.243461545323106,1,3,TRUE,TRUE,FALSE,NA,NA,coerente_forte
atividade,vendas_servicos,scored,-1,3,24,-0.6593317537333211,-0.37916329857928527,-0.4259047395283713,-0.7075464493583629,-0.9616229760132354,-0.7969731812106106,-0.44581325227668034,24,-0.9616229760132354,1,3,TRUE,TRUE,FALSE,NA,NA,coerente_forte
atividade,ind_automoveis,scored,-1,3,24,-6906.479876816314,-5658.51460901407,-6351.26736117797,-6912.670902663379,-4451.833389282858,-1145.6375648922626,1367.271858499427,10,-6937.370528272337,1,3,TRUE,TRUE,FALSE,NA,NA,coerente_forte
atividade,capacidade_instalada_industria,scored,-1,3,24,-0.23378572587543767,-0.20713913318683402,-0.2609994975615907,-0.3214441967969908,-0.22126235252753568,-0.06722511634992716,0.04673710545779179,12,-0.3214441967969908,1,3,TRUE,TRUE,FALSE,NA,NA,coerente_forte
trabalho,trab_tx_desemprego,scored,1,6,36,-0.12223322634714809,-0.17971701482370123,-0.1845140089148104,-0.09750839800474032,0.13187551944194767,0.24323734569221067,0.2376816326114673,41,0.25223107648190385,0.6451612903225806,17,TRUE,TRUE,TRUE,NA,NA,incoerente
trabalho,trab_pop_ocupada,scored,-1,6,36,297.67363016094413,403.815172659061,439.9411649773917,295.0466950979278,-218.08160504663212,-493.0873680947112,-500.75289244464005,42,-523.1879876545942,0.5806451612903226,19,TRUE,FALSE,TRUE,NA,NA,incoerente
trabalho,trab_hrs_trabalhadas_industria,scored,-1,6,36,-1.1302861578226047,-1.0336603637538573,-1.1173311924636375,-1.1989356539701976,-0.7956622400272023,-0.2245212373931591,0.21036750989198263,12,-1.1989356539701976,1,6,TRUE,TRUE,FALSE,NA,NA,coerente_forte
credito,credit_outstanding,scored,-1,6,36,0.5128273730095945,0.7003682310888104,0.5540609619932857,0.07046058257607068,-0.6338755097111459,-0.8728971417715559,-0.7788044042456033,38,-0.8758033890252759,0.7741935483870968,13,TRUE,TRUE,FALSE,NA,NA,parcial
credito,credito_pessoa_fisica,scored,-1,6,36,0.27496371170125933,0.45870249804307317,0.4127343739446454,0.08497641686819879,-0.5238858558622494,-0.7513702694590507,-0.6728214290286916,38,-0.7554070359461318,0.7419354838709677,14,TRUE,TRUE,FALSE,NA,NA,parcial
credito,spread_credito_pj_total,scored,1,0,12,0.007819618556710825,0.0061404811962969645,0.010329657470999436,0.018468318186170053,0.018168672619413146,0.0111359248985641,0.004475962464403087,17,0.020245640927908246,1,0,TRUE,TRUE,FALSE,NA,NA,coerente_forte
credito,spread_credito_pf_total,scored,1,0,12,-2.104158055494667e-4,2.5731032467995893e-4,0.003855688107764559,0.008071633642298034,0.005520335194292125,0.0013540542530597758,-9.919670046947837e-4,14,0.008269883815262818,0.7692307692307693,3,TRUE,TRUE,FALSE,NA,NA,parcial
credito_setorial,credito_comercio,scored,-1,6,36,0.6509992755860061,0.9476844245754235,0.6601359738849011,-0.14918531561856074,-1.111032016454816,-1.3453021800687082,-1.135821468667142,35,-1.3462133600073867,0.8387096774193549,11,TRUE,TRUE,FALSE,NA,NA,coerente_forte
credito_setorial,credito_transporte,scored,-1,6,36,1.166581563756619,1.4340584674386925,1.0086838447150193,0.025712965138335875,-1.0795389649973952,-1.3968257736106326,-1.2319900795372707,3,1.4340584674386925,0.7741935483870968,13,TRUE,TRUE,FALSE,NA,NA,parcial
credito_setorial,credito_industria_total,scored,-1,6,36,0.7215071880809942,0.9103309266918824,0.6537354233411952,0.030576975740159718,-0.6858132222849034,-0.9040543559087899,-0.8107117482269555,3,0.9103309266918824,0.7741935483870968,13,TRUE,TRUE,FALSE,NA,NA,parcial
credito_setorial,credito_agro,ambiguous,NA,6,36,0.8867627008217971,1.1147983049216492,0.8356185076604294,0.055202213835081615,-0.9623223389860991,-1.2774352007226875,-1.1282642566944001,37,-1.2793955049105854,NA,NA,NA,NA,NA,NA,NA,ambigua
