var,h,point,lo68,hi68,lo90,hi90,set_type68,set_type90,sign,sig68,sig90
yield_3m,0,0.003987547230090667,0.0038018049023245916,0.004179059574861843,0.003615679677957206,0.004383285517152082,interval,interval,1,TRUE,TRUE
yield_3m,1,0.004771364913909972,0.00417516697581269,0.005177855561970956,0.0033035027640035512,0.005454402265144921,interval,interval,1,TRUE,TRUE
yield_3m,2,0.005774260331842405,0.004663551718655507,0.006516254310647938,0.003013772951175723,0.007009364114228766,interval,interval,1,TRUE,TRUE
yield_3m,3,0.006548122415164046,0.004768458336288212,0.007689733384807753,0.0020428533476772605,0.008413746464797332,interval,interval,1,TRUE,TRUE
yield_3m,4,0.0066736791657958415,0.004233244134557798,0.008253168248713959,5.203519744605847e-4,0.00926524692011677,interval,interval,1,TRUE,TRUE
yield_3m,5,0.006744776131430466,0.0038901698458286204,0.008616008681530774,-4.1147111754086827e-4,0.00983277648363716,interval,interval,1,TRUE,FALSE
yield_3m,6,0.006693931206454568,0.0034888631565757524,0.008802368484507545,-0.0013279323613103998,0.010179000091471881,interval,interval,1,TRUE,FALSE
yield_3m,7,0.006420241192898265,0.002982756337023866,0.008725256935008982,-0.002108322939934058,0.010263746338059801,interval,interval,1,TRUE,FALSE
yield_3m,8,0.00607091163787496,0.0024687716778029915,0.008550083547785126,-0.002758943800127364,0.010255014275792002,interval,interval,1,TRUE,FALSE
yield_3m,9,0.005671468552052425,0.0019231911683821414,0.008319234963683881,-0.0034049786903077965,0.010195068605984379,interval,interval,1,TRUE,FALSE
yield_3m,10,0.005174881164088182,0.0013002747427751642,0.007997529985520542,-0.004070776560874677,0.010068558470273877,interval,interval,1,TRUE,FALSE
yield_3m,11,0.004617513758596444,6.349648673923977e-4,0.007608082305536869,-0.004747605162709345,0.009878779982286978,interval,interval,1,TRUE,FALSE
yield_3m,12,0.004022075048020332,-5.3064954940841096e-5,0.007163420470765687,-0.005438824315972718,0.009619837980734677,interval,interval,1,FALSE,FALSE
yield_3m,13,0.003381063739002484,-7.749957775085061e-4,0.006661967297555579,-0.006155017344993002,0.009296598146172758,interval,interval,1,FALSE,FALSE
yield_3m,14,0.0027078512866737536,-0.0015152316988297455,0.0061115636951181405,-0.00688253130651258,0.008908473011657847,interval,interval,1,FALSE,FALSE
yield_3m,15,0.002019412159259943,-0.0022595186329143688,0.00552608909158783,-0.007617109432044009,0.008461096167035812,interval,interval,1,FALSE,FALSE
yield_3m,16,0.001320612206502243,-0.0030069710850865656,0.004915108804496742,-0.008359916175890112,0.007968338757194837,interval,interval,1,FALSE,FALSE
yield_3m,17,6.181179966530704e-4,-0.0037538189476326407,0.004287735667283782,-0.009110041955945196,0.0074407618647407865,interval,interval,1,FALSE,FALSE
yield_3m,18,-7.778481761025242e-5,-0.004492956196531051,0.0036555026424260413,-0.009865656687117542,0.0068891126483649374,interval,interval,-1,FALSE,FALSE
yield_3m,19,-7.615530723858335e-4,-0.005222471198345669,0.0030279229111920317,-0.010627682164986977,0.0063267995620010006,interval,interval,-1,FALSE,FALSE
yield_3m,20,-0.0014287939716694576,-0.005940967097574109,0.0024128864743027368,-0.011396871715146136,0.005765435268473516,interval,interval,-1,FALSE,FALSE
yield_3m,21,-0.002073785543236107,-0.006644916485779655,0.0018181627085208612,-0.012172016829211053,0.005214646401576323,interval,interval,-1,FALSE,FALSE
yield_3m,22,-0.002692456558141769,-0.0073318596579982345,0.0012499867814698674,-0.012951560894206368,0.00468330416254782,interval,interval,-1,FALSE,FALSE
yield_3m,23,-0.003281886702751761,-0.007999619913229093,7.129111300138532e-4,-0.013732975748499557,0.0041783968122411945,interval,interval,-1,FALSE,FALSE
yield_3m,24,-0.0038390180599456357,-0.008645080993007715,2.1055970554031736e-4,-0.014512367774794054,0.0037047296283951063,interval,interval,-1,FALSE,FALSE
yield_3m,25,-0.00436142514927402,-0.009264998781444614,-2.546468691630095e-4,-0.01528471307415524,0.0032654962962649185,interval,interval,-1,TRUE,FALSE
yield_3m,26,-0.0048474614588731755,-0.009856283804630583,-6.815004198066901e-4,-0.016044253787176718,0.0028623881420048714,interval,interval,-1,TRUE,FALSE
yield_3m,27,-0.005295708390294529,-0.010415691568870544,-0.001069501020594189,-0.016784805173785472,0.002495810829761411,interval,interval,-1,TRUE,FALSE
yield_3m,28,-0.005705099371304161,-0.010940031407946025,-0.001418781335255683,-0.017499890931243534,0.0021652473668775456,interval,interval,-1,TRUE,FALSE
