r,q,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
8,4,asset_ibov,0,-0.014331518980837567,-0.06106379123694171,3.222393111630865e-4,-0.0921823239933812,0.025662673133442122,-1,FALSE,FALSE
8,4,asset_ibov,1,-0.008838744212518635,-0.03191776938124587,0.003952456088372443,-0.0474457452018847,0.016467892891218347,-1,FALSE,FALSE
8,4,asset_ibov,2,0.020295137184594327,0.004369629303924304,0.04416823716582263,-0.009020965365788497,0.06293471654881021,1,TRUE,FALSE
8,4,asset_ibov,3,0.006446819343120558,-0.009570619340467667,0.026067871282521006,-0.021108054563403474,0.041948183445393236,1,FALSE,FALSE
8,4,asset_ibov,4,0.009039542709371047,-0.007652483566313758,0.028012167645820527,-0.01752563039813043,0.048314309858775724,1,FALSE,FALSE
8,4,asset_ibov,5,0.015460193991619709,2.82490493815274e-4,0.032629248758448866,-0.011933358153573393,0.04735170155882809,1,TRUE,FALSE
8,4,asset_ibov,6,0.01130907661305684,-0.006753750925706742,0.023098910626100092,-0.018024999700015382,0.03359300971388448,1,FALSE,FALSE
8,4,asset_ibov,7,0.017603424740714906,-7.23387948232004e-4,0.028510145738523285,-0.01061241687981818,0.03926561636685756,1,FALSE,FALSE
8,4,asset_ibov,8,0.018239861268331246,0.003359549875718675,0.0323565082725877,-0.0034427265157457314,0.046155280513318186,1,TRUE,FALSE
8,4,asset_ibov,9,0.013663673756829055,5.480726559276714e-4,0.026306504664564946,-0.009565327555398642,0.038226711691852364,1,TRUE,FALSE
8,4,asset_ibov,10,0.013522853857445252,-0.002377807768947909,0.025052904065705095,-0.011651117143584248,0.03614841080018951,1,FALSE,FALSE
8,4,asset_ibov,11,0.013917005622416587,-1.914789866017398e-4,0.025055963406532017,-0.00997277171655198,0.03644681590721496,1,FALSE,FALSE
8,4,asset_ibov,12,0.018131057993469018,0.0029958669157886825,0.027738922039088815,-0.007084406346597734,0.039976748108052546,1,TRUE,FALSE
8,4,asset_ibov,13,0.014688561753001044,-0.001689354217796174,0.02336058836556466,-0.014052994362586817,0.0348759560012364,1,FALSE,FALSE
8,4,asset_ibov,14,0.011690166885407,-0.00309826961883563,0.021501884982543625,-0.013471168010927147,0.03231605009411351,1,FALSE,FALSE
8,4,asset_ibov,15,0.011513934976830535,-0.0025746246841328387,0.02239950013060924,-0.013105857222318723,0.0335502047175415,1,FALSE,FALSE
