tag,instrument,r,q,sample,var,maturity,h0
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,yield_10y,10,0.008198023132149236
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_3m,0.25,0.002863786338251557
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_6m,0.5,0.005
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_1y,1,0.007578570880020855
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_2y,2,0.010241412627998936
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_5y,5,0.012022410595221198
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_10y,10,0.010966024676613215
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_3m,0.25,0.0035314072104242773
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_6m,0.5,0.005
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_1y,1,0.006025478249064471
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_2y,2,0.004725506039405903
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_5y,5,-1.390547611059153e-4
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_10y,10,-0.0011666459685943501
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,yield_3m,0.25,0.003215476275834763
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,yield_6m,0.5,0.005
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,yield_1y,1,0.006934256172591972
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,yield_2y,2,0.008442604291682528
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,yield_5y,5,0.00873457814874495
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,yield_10y,10,0.0077878653525289875
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,yield_3m,0.25,0.004052396608579538
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,yield_6m,0.5,0.005
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,yield_1y,1,0.0060188900727879534
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,yield_2y,2,0.007233297586972596
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,yield_5y,5,0.008137301956361715
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,yield_10y,10,0.0069689904950086526
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,yield_3m,0.25,0.0028204563346703004
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,yield_6m,0.5,0.005
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,yield_1y,1,0.007301406981977815
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,yield_2y,2,0.009067704028641719
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,yield_5y,5,0.00915991983825777
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,yield_10y,10,0.007964031227551136
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,yield_3m,0.25,0.0026719441227889907
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,yield_6m,0.5,0.005
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,yield_1y,1,0.007813633643561581
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,yield_2y,2,0.009828804216014347
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,yield_5y,5,0.008589641767998238
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,yield_10y,10,0.007422653633589864
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,yield_3m,0.25,0.0032670715680194577
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,yield_6m,0.5,0.005
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,yield_1y,1,0.0067277051116634776
