instrument,r,q,sample,cfg,var,h,point,lo68,hi68,lo90,hi90,sig90
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,0,-0.011142483090391588,-0.07047649366920808,-5.029182508361306e-4,-0.10191852854932515,0.02174415352730741,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,1,0.003226747339091185,-0.02678915234843355,0.01428378904668083,-0.040998111769895776,0.030981180265808178,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,2,0.026672823722582117,0.006834054256862093,0.050343388319114675,-0.004302136986177299,0.06840311269633009,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,3,0.005895008006260295,-0.012184960278680337,0.026007955404727515,-0.023703497412955694,0.045279351628741644,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,4,0.005623010799884032,-0.012478774144265365,0.025160592608051216,-0.02320687022530012,0.04154892967824952,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,5,0.011322831233236368,-0.005974537820735115,0.028515460261052034,-0.018439226428221708,0.0445089482648013,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,6,0.008151954938064018,-0.012717901530377919,0.01994354097502307,-0.021027869231259395,0.03202116711645696,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,7,0.01388167501588667,-0.0057269636934102865,0.02478204326508498,-0.015799048326822687,0.038247768425312606,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,8,0.015095718736262916,-6.483658872270964e-4,0.028007171519824927,-0.00926586294930089,0.041174808481947225,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,9,0.013719042675415563,-8.39167172085563e-4,0.02623158317408343,-0.010761318800814513,0.03932425074790248,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,10,0.012334570006572992,-0.004273687309765923,0.022477591906622702,-0.012048327562343572,0.033486151567360324,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,11,0.010909639856283536,-0.004164381694178369,0.021620232054166882,-0.01277829121048709,0.03241642098819991,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,12,0.015048867718204698,-0.001240902412106165,0.023770838211891684,-0.012035131232713202,0.0352757069829785,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,13,0.012328922538773077,-0.00440028009060269,0.021074967901179218,-0.014618614199105687,0.031090703024758616,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,14,0.01111304339306074,-0.005032530383761071,0.019164328035577605,-0.01579990727033156,0.03081300819753308,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,15,0.012648664949828135,-0.0034926103846930736,0.021014977019928105,-0.013357943685200888,0.032050013406693556,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,16,0.010162004438134078,-0.0063893217671290945,0.018034020191238,-0.01648405423699657,0.02905896498140301,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,17,0.009660348892586976,-0.006623361015623221,0.017467830387644694,-0.016762889195332434,0.02911418639705534,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,18,0.010179319667850897,-0.005952182968501059,0.018402074970621844,-0.015456677831145332,0.030500331599965486,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,19,0.00901755574912452,-0.006169443777506169,0.017335318088516103,-0.014984636993807698,0.027836171998336132,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,20,0.008397840899942659,-0.006534748141790837,0.01682607533546188,-0.014454382280446794,0.02826765273705434,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,21,0.008073755042102511,-0.006004371122950577,0.01720123915321114,-0.014824075116579872,0.02716746239469822,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,22,0.007773166513654648,-0.005645715853652487,0.017129944785641477,-0.014361806392873332,0.027619299087988602,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,23,0.007328263126170341,-0.005315959988681753,0.0168943417975938,-0.01362368815122567,0.027252849536768247,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,24,0.007127550838133462,-0.005058194877071745,0.01687559243595241,-0.01447908596430028,0.027732830263473045,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,25,0.007003517331086553,-0.004518506345409974,0.01656153586713351,-0.01276083595741329,0.02764660276358575,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,26,0.006631936376083209,-0.004662863457376741,0.016368294436371097,-0.011891243815496992,0.02734537267944921,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,27,0.006471211415784576,-0.0041400333321806385,0.016106632520626194,-0.012047272395832701,0.02602926567926532,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,28,0.006346142874072931,-0.0040270864287013,0.015954486964785953,-0.012153579974545975,0.026251348556270794,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,29,0.0060737540684224715,-0.0041946348519101544,0.016000411349266754,-0.012126703901087573,0.0254185228159738,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,30,0.00583703638879258,-0.003889086119677126,0.016067938735688715,-0.011571700908506274,0.024537054193629542,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,31,0.00558630333793057,-0.004078643215017421,0.015454150376495819,-0.011479895169328224,0.02470797499071239,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,32,0.005258504895421296,-0.004322510226787822,0.01512369475796538,-0.011141972321235948,0.023938811981906786,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,33,0.004869316778779199,-0.004118086224141863,0.014642758146130636,-0.01183460192644273,0.023507852771245428,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,34,0.0044913002479995915,-0.004382148817631201,0.014062462437178052,-0.010966680108919883,0.023088139913518067,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,35,0.004050084878398485,-0.004686820293423605,0.01338224829502406,-0.0118878363415139,0.02379806602793679,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,36,0.0035298012082907483,-0.005364093492934273,0.012748176415819375,-0.012300049656850515,0.022831250056739315,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,37,0.0030220810468682357,-0.005638017059045302,0.011927919980382918,-0.011983934337042246,0.022092937824522867,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,38,0.0024772249630605364,-0.0062511831618362315,0.0114287260711505,-0.012657060602646257,0.022131884872815453,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,39,0.0018906137754180245,-0.006620681461939995,0.010658877224150778,-0.012767544871339763,0.021087551805633424,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,asset_ibov,40,0.0013126272172051942,-0.006978212772625448,0.010124984780726775,-0.013407763193940752,0.019978959659960945,FALSE
